206.128.0.0,206.128.63.255,isp,US 
206.128.64.0,206.128.79.255,business,US 
206.128.80.0,206.128.93.255,isp,US 
206.128.94.0,206.128.94.63,business,US 
206.128.94.64,206.128.95.255,isp,US 
206.128.96.0,206.128.96.63,hosting,US 
206.128.96.64,206.128.96.95,business,US 
206.128.96.96,206.128.111.255,hosting,US 
206.128.112.0,206.128.119.255,isp,US 
206.128.120.0,206.128.120.255,business,US 
206.128.121.0,206.128.121.55,hosting,US 
206.128.121.56,206.128.121.63,business,US 
206.128.121.64,206.128.121.111,hosting,US 
206.128.121.112,206.128.121.119,education,US 
206.128.121.120,206.128.121.127,hosting,US 
206.128.121.128,206.128.121.143,business,US 
206.128.121.144,206.128.121.159,hosting,US 
206.128.121.160,206.128.121.191,business,US 
206.128.121.192,206.128.121.199,hosting,US 
206.128.121.200,206.128.121.207,isp,US 
206.128.121.208,206.128.121.215,hosting,US 
206.128.121.216,206.128.121.223,business,US 
206.128.121.224,206.128.122.55,hosting,US 
206.128.122.56,206.128.122.79,business,US 
206.128.122.80,206.128.122.87,hosting,US 
206.128.122.88,206.128.122.95,business,US 
206.128.122.96,206.128.122.111,hosting,US 
206.128.122.112,206.128.122.127,business,US 
206.128.122.128,206.128.122.167,hosting,US 
206.128.122.168,206.128.122.175,business,US 
206.128.122.176,206.128.122.231,hosting,US 
206.128.122.232,206.128.122.239,business,US 
206.128.122.240,206.128.123.135,hosting,US 
206.128.123.136,206.128.123.159,business,US 
206.128.123.160,206.128.124.7,hosting,US 
206.128.124.8,206.128.124.15,business,US 
206.128.124.16,206.128.124.39,hosting,US 
206.128.124.40,206.128.124.47,business,US 
206.128.124.48,206.128.124.63,hosting,US 
206.128.124.64,206.128.124.71,business,US 
206.128.124.72,206.128.124.103,hosting,US 
206.128.124.104,206.128.124.111,business,US 
206.128.124.112,206.128.124.151,hosting,US 
206.128.124.152,206.128.124.159,business,US 
206.128.124.160,206.128.124.183,hosting,US 
206.128.124.184,206.128.124.191,business,US 
206.128.124.192,206.128.124.207,hosting,US 
206.128.124.208,206.128.124.223,business,US 
206.128.124.224,206.128.124.255,hosting,US 
206.128.125.0,206.128.125.15,business,US 
206.128.125.16,206.128.125.23,hosting,US 
206.128.125.24,206.128.125.27,business,US 
206.128.125.28,206.128.125.63,hosting,US 
206.128.125.64,206.128.125.103,business,US 
206.128.125.104,206.128.125.111,hosting,US 
206.128.125.112,206.128.125.127,business,US 
206.128.125.128,206.128.125.199,hosting,US 
206.128.125.200,206.128.125.215,business,US 
206.128.125.216,206.128.127.255,hosting,US 
206.128.128.0,206.128.128.255,isp,US 
206.128.129.0,206.128.129.255,hosting,US 
206.128.130.0,206.128.131.71,isp,US 
206.128.131.72,206.128.131.79,business,US 
206.128.131.80,206.128.131.127,isp,US 
206.128.131.128,206.128.131.191,business,US 
206.128.131.192,206.128.131.199,isp,US 
206.128.131.200,206.128.131.207,business,US 
206.128.131.208,206.128.131.215,isp,US 
206.128.131.216,206.128.131.255,business,US 
206.128.132.0,206.128.132.255,isp,US 
206.128.133.0,206.128.133.255,hosting,US 
206.128.134.0,206.128.151.255,isp,US 
206.128.152.0,206.128.159.255,business,US 
206.128.160.0,206.128.160.7,isp,US 
206.128.160.8,206.128.160.15,business,US 
206.128.160.16,206.128.168.47,isp,US 
206.128.168.48,206.128.168.55,education,US 
206.128.168.56,206.128.168.143,isp,US 
206.128.168.144,206.128.168.159,business,US 
206.128.168.160,206.128.170.255,isp,US 
206.128.171.0,206.128.172.255,business,US 
206.128.173.0,206.128.174.31,isp,US 
206.128.174.32,206.128.174.39,business,US 
206.128.174.40,206.128.186.71,isp,US 
206.128.186.72,206.128.186.111,business,US 
206.128.186.112,206.128.186.159,isp,US 
206.128.186.160,206.128.186.191,business,US 
206.128.186.192,206.128.186.215,education,US 
206.128.186.216,206.128.186.255,isp,US 
206.128.187.0,206.128.187.15,business,US 
206.128.187.16,206.128.187.95,isp,US 
206.128.187.96,206.128.187.103,business,US 
206.128.187.104,206.128.187.111,isp,US 
206.128.187.112,206.128.187.191,business,US 
206.128.187.192,206.128.188.239,isp,US 
206.128.188.240,206.128.188.255,business,US 
206.128.189.0,206.128.190.159,isp,US 
206.128.190.160,206.128.190.191,business,US 
206.128.190.192,206.128.190.199,isp,US 
206.128.190.200,206.128.190.207,business,US 
206.128.190.208,206.128.190.255,isp,US 
206.128.191.0,206.128.191.191,business,US 
206.128.191.192,206.129.255.255,isp,US 
