206.251.0.0,206.251.15.255,isp,US,AS20001 
206.251.16.0,206.251.19.255,business,IL,AS29802 
206.251.20.0,206.251.23.255,business,US,AS13760 
206.251.24.0,206.251.31.255,business,US,AS20001 
206.251.32.0,206.251.35.255,isp,US, 
206.251.36.0,206.251.39.255,isp,US,AS54804 
206.251.40.0,206.251.47.255,isp,US,AS19045 
206.251.64.0,206.251.95.255,isp,US,AS11123 
206.251.96.0,206.251.159.255,isp,US, 
206.251.160.0,206.251.160.255,isp,US,AS13693 
206.251.161.0,206.251.161.255,business,US,AS13693 
206.251.162.0,206.251.173.255,isp,US,AS13693 
206.251.174.0,206.251.176.255,business,US,AS13693 
206.251.177.0,206.251.177.255,isp,US,AS13693 
206.251.178.0,206.251.178.255,business,US,AS13693 
206.251.179.0,206.251.179.255,isp,US,AS13693 
206.251.180.0,206.251.181.255,business,US,AS13693 
206.251.182.0,206.251.183.255,isp,US,AS13693 
206.251.184.0,206.251.184.255,business,US,AS13693 
206.251.185.0,206.251.185.79,isp,US,AS4314 
206.251.185.80,206.251.185.87,business,US,AS4314 
206.251.185.88,206.251.185.95,isp,US,AS13693 
206.251.185.96,206.251.185.127,isp,US,AS4314 
206.251.185.128,206.251.185.135,isp,US,AS13693 
206.251.185.136,206.251.185.143,business,US,AS4314 
206.251.185.144,206.251.185.151,isp,US,AS13693 
206.251.185.152,206.251.185.159,isp,US,AS4314 
206.251.185.160,206.251.185.167,business,US,AS4314 
206.251.185.168,206.251.185.183,isp,US,AS4314 
206.251.185.184,206.251.185.191,business,US,AS4314 
206.251.185.192,206.251.185.255,isp,US,AS4314 
206.251.186.0,206.251.191.255,isp,US,AS13693 
206.251.192.0,206.251.192.255,hosting,US,AS62976 
206.251.193.0,206.251.193.255,isp,US,AS33307 
206.251.194.0,206.251.207.255,hosting,US,AS62976 
206.251.208.0,206.251.223.255,isp,US,AS40237 
206.251.224.0,206.251.224.231,hosting,US,AS11320 
206.251.224.232,206.251.224.235,hosting,,AS11320 
206.251.224.236,206.251.225.31,hosting,US,AS11320 
206.251.225.32,206.251.225.63,education,US,AS11320 
206.251.225.64,206.251.225.127,hosting,US,AS11320 
206.251.225.128,206.251.225.191,business,US,AS11320 
206.251.225.192,206.251.226.31,hosting,US,AS11320 
206.251.226.32,206.251.226.63,business,US,AS11320 
206.251.226.64,206.251.226.191,hosting,US,AS11320 
206.251.226.192,206.251.226.255,business,US,AS11320 
206.251.227.0,206.251.227.15,hosting,US,AS11320 
206.251.227.16,206.251.227.31,business,US,AS11320 
206.251.227.32,206.251.227.47,hosting,US,AS11320 
206.251.227.48,206.251.227.95,business,US,AS11320 
206.251.227.96,206.251.227.111,hosting,US,AS11320 
206.251.227.112,206.251.227.143,business,US,AS11320 
206.251.227.144,206.251.227.207,hosting,US,AS11320 
206.251.227.208,206.251.227.223,hosting,,AS11320 
206.251.227.224,206.251.228.255,hosting,US,AS11320 
206.251.229.0,206.251.229.15,business,US,AS11320 
206.251.229.16,206.251.229.23,hosting,US,AS11320 
206.251.229.24,206.251.229.31,business,US,AS11320 
206.251.229.32,206.251.229.55,hosting,US,AS11320 
206.251.229.56,206.251.229.79,business,US,AS11320 
206.251.229.80,206.251.229.111,hosting,US,AS11320 
206.251.229.112,206.251.229.127,business,US,AS11320 
206.251.229.128,206.251.229.255,hosting,US,AS11320 
206.251.230.0,206.251.230.255,business,US,AS11320 
206.251.231.0,206.251.232.87,hosting,US,AS11320 
206.251.232.88,206.251.232.95,hosting,,AS11320 
206.251.232.96,206.251.232.247,hosting,US,AS11320 
206.251.232.248,206.251.232.255,hosting,,AS11320 
206.251.233.0,206.251.233.255,hosting,US,AS11320 
206.251.234.0,206.251.235.15,business,US,AS11320 
206.251.235.16,206.251.235.31,hosting,US,AS11320 
206.251.235.32,206.251.235.39,business,US,AS11320 
206.251.235.40,206.251.235.95,hosting,US,AS11320 
206.251.235.96,206.251.235.111,business,US,AS11320 
206.251.235.112,206.251.235.191,hosting,US,AS11320 
206.251.235.192,206.251.235.223,business,US,AS11320 
206.251.235.224,206.251.239.47,hosting,US,AS11320 
206.251.239.48,206.251.239.51,hosting,,AS11320 
206.251.239.52,206.251.239.255,hosting,US,AS11320 
206.251.240.0,206.251.240.255,business,US,AS11320 
206.251.241.0,206.251.241.255,hosting,,AS11320 
206.251.242.0,206.251.242.255,business,US,AS11320 
206.251.243.0,206.251.243.127,hosting,US,AS11320 
206.251.243.128,206.251.243.255,business,US,AS11320 
206.251.244.0,206.251.244.255,hosting,US,AS21581 
206.251.245.0,206.251.245.255,business,US,AS11320 
206.251.246.0,206.251.246.15,hosting,US,AS11320 
206.251.246.16,206.251.246.31,hosting,,AS11320 
206.251.246.32,206.251.246.223,hosting,US,AS11320 
206.251.246.224,206.251.246.255,hosting,,AS11320 
206.251.247.0,206.251.247.23,hosting,US,AS11320 
206.251.247.24,206.251.247.31,isp,US,AS11320 
206.251.247.32,206.251.247.255,hosting,US,AS11320 
206.251.248.0,206.251.248.127,business,US,AS11320 
206.251.248.128,206.251.248.255,hosting,,AS11320 
206.251.249.0,206.251.249.255,business,US,AS6130 
206.251.250.0,206.251.250.31,hosting,US,AS11320 
206.251.250.32,206.251.250.39,business,US,AS11320 
206.251.250.40,206.251.250.47,hosting,,AS11320 
206.251.250.48,206.251.250.95,hosting,US,AS11320 
206.251.250.96,206.251.250.159,business,US,AS11320 
206.251.250.160,206.251.250.255,hosting,US,AS11320 
206.251.251.0,206.251.251.63,hosting,,AS11320 
206.251.251.64,206.251.251.255,hosting,US,AS11320 
206.251.252.0,206.251.253.255,business,US,AS11320 
206.251.254.0,206.251.254.255,hosting,US,AS11320 
206.251.255.0,206.251.255.15,hosting,US,AS21581 
206.251.255.16,206.251.255.31,hosting,PK,AS21581 
206.251.255.32,206.251.255.255,hosting,US,AS21581 
