206.3.0.0,206.3.31.255,hosting,JP 
206.3.32.0,206.3.41.255,isp,US 
206.3.42.0,206.3.42.255,business,US 
206.3.43.0,206.3.63.255,isp,US 
206.3.64.0,206.3.68.255,business,US 
206.3.69.0,206.3.69.255,isp,US 
206.3.70.0,206.3.95.255,business,US 
206.3.96.0,206.3.138.255,isp,US 
206.3.139.0,206.3.139.255,business,US 
206.3.140.0,206.3.201.255,isp,US 
206.3.202.0,206.3.202.255,business,US 
206.3.203.0,206.7.255.255,isp,US 
