206.125.0.0,206.125.31.255,business,US, 
206.125.32.0,206.125.39.255,hosting,US,AS393521 
206.125.40.0,206.125.47.255,business,US, 
206.125.48.0,206.125.49.255,isp,US,AS23089 
206.125.50.0,206.125.50.255,isp,US,AS174 
206.125.51.0,206.125.60.255,isp,US,AS23089 
206.125.61.0,206.125.62.231,isp,US,AS174 
206.125.62.232,206.125.62.255,isp,US,AS23089 
206.125.63.0,206.125.63.255,isp,US,AS174 
206.125.64.0,206.125.95.255,isp,US,AS13868 
206.125.96.0,206.125.119.255,business,US, 
206.125.120.0,206.125.127.255,education,US, 
206.125.128.0,206.125.128.31,business,US,AS15129 
206.125.128.32,206.125.128.39,isp,US,AS15129 
206.125.128.40,206.125.128.55,business,US,AS15129 
206.125.128.56,206.125.128.63,isp,US,AS15129 
206.125.128.64,206.125.128.79,business,US,AS15129 
206.125.128.80,206.125.128.87,isp,US,AS15129 
206.125.128.88,206.125.128.95,business,US,AS15129 
206.125.128.96,206.125.128.119,isp,US,AS15129 
206.125.128.120,206.125.128.127,business,US,AS15129 
206.125.128.128,206.125.128.159,isp,US,AS15129 
206.125.128.160,206.125.128.175,business,US,AS15129 
206.125.128.176,206.125.128.215,isp,US,AS15129 
206.125.128.216,206.125.128.239,business,US,AS15129 
206.125.128.240,206.125.129.79,isp,US,AS15129 
206.125.129.80,206.125.129.95,business,US,AS15129 
206.125.129.96,206.125.129.111,isp,US,AS15129 
206.125.129.112,206.125.129.127,business,US,AS15129 
206.125.129.128,206.125.129.191,isp,US,AS15129 
206.125.129.192,206.125.129.199,business,US,AS15129 
206.125.129.200,206.125.129.223,isp,US,AS15129 
206.125.129.224,206.125.129.231,business,US,AS15129 
206.125.129.232,206.125.129.239,isp,US,AS15129 
206.125.129.240,206.125.129.255,business,US,AS15129 
206.125.130.0,206.125.130.71,isp,US,AS15129 
206.125.130.72,206.125.130.95,business,US,AS15129 
206.125.130.96,206.125.130.103,isp,US,AS15129 
206.125.130.104,206.125.130.127,business,US,AS15129 
206.125.130.128,206.125.130.135,isp,US,AS15129 
206.125.130.136,206.125.130.143,business,US,AS15129 
206.125.130.144,206.125.130.207,isp,US,AS15129 
206.125.130.208,206.125.130.215,business,US,AS15129 
206.125.130.216,206.125.130.255,isp,US,AS15129 
206.125.131.0,206.125.131.7,education,US,AS15129 
206.125.131.8,206.125.131.15,business,US,AS15129 
206.125.131.16,206.125.131.23,isp,US,AS15129 
206.125.131.24,206.125.131.31,business,US,AS15129 
206.125.131.32,206.125.131.39,isp,US,AS15129 
206.125.131.40,206.125.131.47,business,US,AS15129 
206.125.131.48,206.125.131.127,isp,US,AS15129 
206.125.131.128,206.125.131.135,business,US,AS15129 
206.125.131.136,206.125.131.175,isp,US,AS15129 
206.125.131.176,206.125.131.191,business,US,AS15129 
206.125.131.192,206.125.131.255,isp,US,AS15129 
206.125.132.0,206.125.132.39,business,US,AS15129 
206.125.132.40,206.125.132.63,isp,US,AS15129 
206.125.132.64,206.125.132.79,business,US,AS15129 
206.125.132.80,206.125.132.87,isp,US,AS15129 
206.125.132.88,206.125.132.95,business,US,AS15129 
206.125.132.96,206.125.132.103,isp,US,AS15129 
206.125.132.104,206.125.132.135,business,US,AS15129 
206.125.132.136,206.125.132.143,isp,US,AS15129 
206.125.132.144,206.125.132.167,business,US,AS15129 
206.125.132.168,206.125.132.199,isp,US,AS15129 
206.125.132.200,206.125.132.215,business,US,AS15129 
206.125.132.216,206.125.133.31,isp,US,AS15129 
206.125.133.32,206.125.133.47,business,US,AS15129 
206.125.133.48,206.125.133.87,isp,US,AS15129 
206.125.133.88,206.125.133.103,business,US,AS15129 
206.125.133.104,206.125.133.143,isp,US,AS15129 
206.125.133.144,206.125.133.151,business,US,AS15129 
206.125.133.152,206.125.133.167,isp,US,AS15129 
206.125.133.168,206.125.133.175,business,US,AS15129 
206.125.133.176,206.125.133.191,isp,US,AS15129 
206.125.133.192,206.125.133.255,business,US,AS15129 
206.125.134.0,206.125.134.7,isp,US,AS15129 
206.125.134.8,206.125.134.23,business,US,AS15129 
206.125.134.24,206.125.134.95,isp,US,AS15129 
