206.252.0.0,206.252.31.255,isp,US 
206.252.32.0,206.252.129.255,business,US 
206.252.130.0,206.252.133.255,hosting,US 
206.252.134.0,206.252.135.255,business,US 
206.252.136.0,206.252.136.255,hosting,US 
206.252.137.0,206.252.137.31,business,US 
206.252.137.32,206.252.137.63,hosting,US 
206.252.137.64,206.252.137.159,business,US 
206.252.137.160,206.252.137.191,hosting,US 
206.252.137.192,206.252.137.223,business,US 
206.252.137.224,206.252.138.15,hosting,US 
206.252.138.16,206.252.138.31,business,US 
206.252.138.32,206.252.138.47,hosting,US 
206.252.138.48,206.252.138.63,business,US 
206.252.138.64,206.252.138.79,hosting,US 
206.252.138.80,206.252.138.95,business,US 
206.252.138.96,206.252.138.111,hosting,US 
206.252.138.112,206.252.138.159,business,US 
206.252.138.160,206.252.138.191,hosting,US 
206.252.138.192,206.252.139.39,business,US 
206.252.139.40,206.252.139.48,hosting,US 
206.252.139.49,206.252.139.55,business,US 
206.252.139.56,206.252.139.64,hosting,US 
206.252.139.65,206.252.139.71,business,US 
206.252.139.72,206.252.139.80,hosting,US 
206.252.139.81,206.252.139.103,business,US 
206.252.139.104,206.252.139.112,hosting,US 
206.252.139.113,206.252.139.151,business,US 
206.252.139.152,206.252.139.160,hosting,US 
206.252.139.161,206.252.139.175,business,US 
206.252.139.176,206.252.139.191,hosting,US 
206.252.139.192,206.252.140.255,business,US 
206.252.141.0,206.252.141.15,hosting,US 
206.252.141.16,206.252.141.31,business,US 
206.252.141.32,206.252.141.47,hosting,US 
206.252.141.48,206.252.141.63,business,US 
206.252.141.64,206.252.141.79,hosting,US 
206.252.141.80,206.252.141.111,education,US 
206.252.141.112,206.252.141.143,hosting,US 
206.252.141.144,206.252.141.159,business,US 
206.252.141.160,206.252.141.175,hosting,US 
206.252.141.176,206.252.141.191,business,US 
206.252.141.192,206.252.141.223,hosting,US 
206.252.141.224,206.252.141.255,business,US 
206.252.142.0,206.252.142.31,hosting,US 
206.252.142.32,206.252.142.191,business,US 
206.252.142.192,206.252.142.255,hosting,US 
206.252.143.0,206.252.143.95,business,US 
206.252.143.96,206.252.143.159,hosting,US 
206.252.143.160,206.252.143.175,education,US 
206.252.143.176,206.252.143.191,business,US 
206.252.143.192,206.252.143.255,hosting,US 
206.252.144.0,206.252.144.63,business,US 
206.252.144.64,206.252.144.127,hosting,US 
206.252.144.128,206.252.144.191,business,US 
206.252.144.192,206.252.144.207,hosting,US 
206.252.144.208,206.252.145.63,business,US 
206.252.145.64,206.252.145.127,hosting,US 
206.252.145.128,206.252.145.191,business,US 
206.252.145.192,206.252.145.207,hosting,US 
206.252.145.208,206.252.146.255,business,US 
206.252.147.0,206.252.147.255,hosting,US 
206.252.148.0,206.252.148.255,business,US 
206.252.149.0,206.252.149.63,hosting,US 
206.252.149.64,206.252.149.191,business,US 
206.252.149.192,206.252.149.207,hosting,US 
206.252.149.208,206.252.149.255,business,US 
206.252.150.0,206.252.150.63,hosting,US 
206.252.150.64,206.252.150.127,business,US 
206.252.150.128,206.252.150.255,hosting,US 
206.252.151.0,206.252.151.15,business,US 
206.252.151.16,206.252.151.24,education,US 
206.252.151.25,206.252.151.31,business,US 
206.252.151.32,206.252.151.40,hosting,US 
206.252.151.41,206.252.151.167,business,US 
206.252.151.168,206.252.151.176,hosting,US 
206.252.151.177,206.252.152.191,business,US 
206.252.152.192,206.252.152.255,hosting,US 
206.252.153.0,206.252.153.127,education,US 
206.252.153.128,206.252.154.63,business,US 
206.252.154.64,206.252.154.127,hosting,US 
206.252.154.128,206.252.155.15,business,US 
206.252.155.16,206.252.155.32,hosting,US 
206.252.155.33,206.252.155.48,business,US 
206.252.155.49,206.252.155.63,hosting,US 
206.252.155.64,206.252.155.95,business,US 
206.252.155.96,206.252.155.112,hosting,US 
206.252.155.113,206.252.155.127,business,US 
206.252.155.128,206.252.155.208,hosting,US 
206.252.155.209,206.252.159.255,business,US 
206.252.160.0,206.252.204.255,isp,US 
206.252.205.0,206.252.205.127,business,US 
206.252.205.128,206.252.208.255,isp,US 
206.252.209.0,206.252.209.255,business,US 
206.252.210.0,206.252.223.255,isp,US 
206.252.224.0,206.252.255.255,hosting,PL 
