206.211.0.0,206.211.31.255,business,US, 
206.211.32.0,206.211.63.255,education,US,AS394762 
206.211.64.0,206.211.95.255,education,US,AS19718 
206.211.96.0,206.211.127.255,business,US, 
206.211.128.0,206.211.159.255,education,US,AS17369 
206.211.160.0,206.211.191.255,government,US,AS16426 
206.211.192.0,206.211.207.255,business,US,AS19472 
206.211.208.0,206.211.208.15,hosting,US,AS23308 
206.211.208.16,206.211.208.23,business,US,AS23308 
206.211.208.24,206.211.208.39,hosting,US,AS23308 
206.211.208.40,206.211.208.47,business,US,AS23308 
206.211.208.48,206.211.208.63,hosting,US,AS23308 
206.211.208.64,206.211.208.71,business,US,AS23308 
206.211.208.72,206.211.208.79,hosting,US,AS23308 
206.211.208.80,206.211.208.87,business,US,AS23308 
206.211.208.88,206.211.208.119,hosting,US,AS23308 
206.211.208.120,206.211.208.127,business,US,AS23308 
206.211.208.128,206.211.208.151,hosting,US,AS23308 
206.211.208.152,206.211.208.183,business,US,AS23308 
206.211.208.184,206.211.208.199,hosting,US,AS23308 
206.211.208.200,206.211.208.207,business,US,AS23308 
206.211.208.208,206.211.208.223,hosting,US,AS23308 
206.211.208.224,206.211.208.255,business,US,AS23308 
206.211.209.0,206.211.209.7,hosting,US,AS23308 
206.211.209.8,206.211.209.15,business,US,AS23308 
206.211.209.16,206.211.209.31,hosting,US,AS23308 
206.211.209.32,206.211.209.47,business,US,AS23308 
206.211.209.48,206.211.209.55,hosting,US,AS23308 
206.211.209.56,206.211.209.87,business,US,AS23308 
206.211.209.88,206.211.209.95,hosting,US,AS23308 
206.211.209.96,206.211.209.103,business,US,AS23308 
206.211.209.104,206.211.209.111,hosting,US,AS23308 
206.211.209.112,206.211.209.119,business,US,AS23308 
206.211.209.120,206.211.209.151,hosting,US,AS23308 
206.211.209.152,206.211.209.183,business,US,AS23308 
206.211.209.184,206.211.209.215,hosting,US,AS23308 
206.211.209.216,206.211.209.231,business,US,AS23308 
206.211.209.232,206.211.210.7,hosting,US,AS23308 
206.211.210.8,206.211.210.15,business,US,AS23308 
206.211.210.16,206.211.210.55,hosting,US,AS23308 
206.211.210.56,206.211.210.63,business,US,AS23308 
206.211.210.64,206.211.210.71,hosting,US,AS23308 
206.211.210.72,206.211.210.79,isp,US,AS23308 
206.211.210.80,206.211.210.87,hosting,US,AS23308 
206.211.210.88,206.211.210.95,business,US,AS23308 
206.211.210.96,206.211.210.127,hosting,US,AS23308 
206.211.210.128,206.211.210.143,business,US,AS23308 
206.211.210.144,206.211.210.151,hosting,US,AS23308 
206.211.210.152,206.211.210.175,business,US,AS23308 
206.211.210.176,206.211.210.183,hosting,US,AS23308 
206.211.210.184,206.211.210.191,business,US,AS23308 
206.211.210.192,206.211.210.199,hosting,US,AS23308 
206.211.210.200,206.211.210.207,business,US,AS23308 
206.211.210.208,206.211.210.223,hosting,US,AS23308 
206.211.210.224,206.211.210.255,business,US,AS23308 
206.211.211.0,206.211.211.63,isp,US,AS23308 
206.211.211.64,206.211.211.95,hosting,US,AS23308 
206.211.211.96,206.211.211.127,business,US,AS23308 
206.211.211.128,206.211.211.159,hosting,US,AS23308 
206.211.211.160,206.211.211.167,business,US,AS23308 
206.211.211.168,206.211.211.179,hosting,US,AS23308 
206.211.211.180,206.211.211.215,business,US,AS23308 
206.211.211.216,206.211.211.223,hosting,US,AS23308 
206.211.211.224,206.211.211.227,business,US,AS23308 
206.211.211.228,206.211.211.239,hosting,US,AS23308 
206.211.211.240,206.211.211.247,business,US,AS23308 
206.211.211.248,206.211.212.255,hosting,US,AS23308 
206.211.213.0,206.211.213.255,business,US,AS23308 
206.211.214.0,206.211.214.255,hosting,US,AS23308 
206.211.215.0,206.211.215.255,business,US,AS23308 
206.211.216.0,206.211.216.7,isp,CA,AS16796 
206.211.216.8,206.211.216.15,education,CA,AS16796 
206.211.216.16,206.211.217.63,isp,CA,AS16796 
206.211.217.64,206.211.217.79,business,CA,AS16796 
206.211.217.80,206.211.217.255,isp,CA,AS16796 
206.211.218.0,206.211.223.255,business,US,AS30551 
206.211.224.0,206.211.255.255,business,US, 
