108.220.0.112,108.220.0.119,business,US,AS7018 
108.220.0.120,108.220.3.199,isp,US,AS7018 
108.220.3.200,108.220.3.207,business,US,AS7018 
108.220.3.208,108.220.7.223,isp,US,AS7018 
108.220.7.224,108.220.7.239,business,US,AS7018 
108.220.7.240,108.220.32.87,isp,US,AS7018 
108.220.32.88,108.220.32.95,business,US,AS7018 
108.220.32.96,108.220.114.23,isp,US,AS7018 
108.220.114.24,108.220.114.31,business,US,AS7018 
108.220.114.32,108.220.114.79,isp,US,AS7018 
108.220.114.80,108.220.114.87,business,US,AS7018 
108.220.114.88,108.220.114.175,isp,US,AS7018 
108.220.114.176,108.220.114.183,business,US,AS7018 
108.220.114.184,108.220.115.7,isp,US,AS7018 
108.220.115.8,108.220.115.15,business,US,AS7018 
108.220.115.16,108.220.115.55,isp,US,AS7018 
108.220.115.56,108.220.115.63,business,US,AS7018 
108.220.115.64,108.220.115.127,isp,US,AS7018 
108.220.115.128,108.220.115.135,business,US,AS7018 
108.220.115.136,108.220.115.191,isp,US,AS7018 
108.220.115.192,108.220.115.199,business,US,AS7018 
108.220.115.200,108.220.172.55,isp,US,AS7018 
108.220.172.56,108.220.172.71,business,US,AS7018 
108.220.172.72,108.220.172.87,isp,US,AS7018 
108.220.172.88,108.220.172.103,business,US,AS7018 
108.220.172.104,108.220.172.127,isp,US,AS7018 
108.220.172.128,108.220.172.135,business,US,AS7018 
108.220.172.136,108.220.172.143,isp,US,AS7018 
108.220.172.144,108.220.172.151,business,US,AS7018 
108.220.172.152,108.220.172.191,isp,US,AS7018 
108.220.172.192,108.220.172.207,business,US,AS7018 
108.220.172.208,108.220.172.223,isp,US,AS7018 
108.220.172.224,108.220.172.247,business,US,AS7018 
108.220.172.248,108.220.173.15,isp,US,AS7018 
108.220.173.16,108.220.173.31,business,US,AS7018 
108.220.173.32,108.220.173.95,isp,US,AS7018 
108.220.173.96,108.220.173.103,business,US,AS7018 
108.220.173.104,108.220.173.231,isp,US,AS7018 
108.220.173.232,108.220.173.239,business,US,AS7018 
108.220.173.240,108.220.183.255,isp,US,AS7018 
108.220.184.0,108.220.184.7,business,US,AS7018 
108.220.184.8,108.220.184.151,isp,US,AS7018 
108.220.184.152,108.220.184.159,business,US,AS7018 
108.220.184.160,108.220.184.223,isp,US,AS7018 
108.220.184.224,108.220.184.231,business,US,AS7018 
108.220.184.232,108.220.185.79,isp,US,AS7018 
108.220.185.80,108.220.185.87,business,US,AS7018 
108.220.185.88,108.220.185.119,isp,US,AS7018 
108.220.185.120,108.220.185.127,business,US,AS7018 
108.220.185.128,108.220.186.39,isp,US,AS7018 
108.220.186.40,108.220.186.55,business,US,AS7018 
108.220.186.56,108.220.187.55,isp,US,AS7018 
108.220.187.56,108.220.187.63,business,US,AS7018 
108.220.187.64,108.220.204.167,isp,US,AS7018 
108.220.204.168,108.220.204.175,business,US,AS7018 
108.220.204.176,108.220.205.23,isp,US,AS7018 
108.220.205.24,108.220.205.31,business,US,AS7018 
108.220.205.32,108.220.205.95,isp,US,AS7018 
108.220.205.96,108.220.205.103,business,US,AS7018 
108.220.205.104,108.220.205.111,isp,US,AS7018 
108.220.205.112,108.220.205.119,business,US,AS7018 
108.220.205.120,108.220.205.135,isp,US,AS7018 
108.220.205.136,108.220.205.151,business,US,AS7018 
108.220.205.152,108.220.205.167,isp,US,AS7018 
108.220.205.168,108.220.205.175,business,US,AS7018 
108.220.205.176,108.220.205.207,isp,US,AS7018 
108.220.205.208,108.220.205.215,business,US,AS7018 
108.220.205.216,108.220.206.47,isp,US,AS7018 
108.220.206.48,108.220.206.55,business,US,AS7018 
108.220.206.56,108.220.206.79,isp,US,AS7018 
108.220.206.80,108.220.206.87,business,US,AS7018 
108.220.206.88,108.220.206.239,isp,US,AS7018 
108.220.206.240,108.220.206.247,business,US,AS7018 
108.220.206.248,108.220.207.7,isp,US,AS7018 
108.220.207.8,108.220.207.15,business,US,AS7018 
108.220.207.16,108.220.207.135,isp,US,AS7018 
108.220.207.136,108.220.207.143,business,US,AS7018 
108.220.207.144,108.220.207.239,isp,US,AS7018 
108.220.207.240,108.220.207.247,business,US,AS7018 
108.220.207.248,108.220.208.207,isp,US,AS7018 
108.220.208.208,108.220.208.215,business,US,AS7018 
108.220.208.216,108.220.209.127,isp,US,AS7018 
108.220.209.128,108.220.209.143,business,US,AS7018 
108.220.209.144,108.220.209.247,isp,US,AS7018 
108.220.209.248,108.220.209.255,business,US,AS7018 
108.220.210.0,108.220.210.151,isp,US,AS7018 
108.220.210.152,108.220.210.159,business,US,AS7018 
108.220.210.160,108.220.215.183,isp,US,AS7018 
108.220.215.184,108.220.215.191,business,US,AS7018 
108.220.215.192,108.221.0.15,isp,US,AS7018 
