108.171.0.0,108.171.31.255,education,US, 
108.171.32.0,108.171.63.255,hosting,US,AS58061 
108.171.64.0,108.171.95.255,isp,CA,AS11290 
108.171.96.0,108.171.101.255,hosting,US,AS22781 
108.171.102.0,108.171.104.255,hosting,US,AS62651 
108.171.105.0,108.171.105.63,hosting,VE,AS62651 
108.171.105.64,108.171.105.127,hosting,GT,AS62651 
108.171.105.128,108.171.105.191,hosting,DO,AS62651 
108.171.105.192,108.171.105.255,hosting,HN,AS62651 
108.171.106.0,108.171.106.63,hosting,JM,AS62651 
108.171.106.64,108.171.106.127,hosting,TT,AS62651 
108.171.106.128,108.171.106.191,hosting,BZ,AS62651 
108.171.106.192,108.171.106.255,hosting,BS,AS62651 
108.171.107.0,108.171.107.63,hosting,KY,AS62651 
108.171.107.64,108.171.107.255,hosting,US,AS22781 
108.171.108.0,108.171.108.255,hosting,SG,AS140952 
108.171.109.0,108.171.109.63,hosting,VN,AS140952 
108.171.109.64,108.171.109.127,hosting,ID,AS140952 
108.171.109.128,108.171.109.191,hosting,KH,AS140952 
108.171.109.192,108.171.109.255,hosting,LK,AS140952 
108.171.110.0,108.171.110.63,hosting,NP,AS140952 
108.171.110.64,108.171.110.127,hosting,BD,AS140952 
108.171.110.128,108.171.110.191,hosting,MM,AS140952 
108.171.110.192,108.171.110.255,hosting,BT,AS140952 
108.171.111.0,108.171.111.63,hosting,LA,AS140952 
108.171.111.64,108.171.111.127,hosting,BN,AS140952 
108.171.111.128,108.171.127.255,hosting,US,AS22781 
108.171.128.0,108.171.159.255,hosting,US,AS36692 
108.171.160.0,108.171.163.255,hosting,US,AS33070 
108.171.164.0,108.171.164.7,hosting,US,AS19994 
108.171.164.8,108.171.164.15,hosting,US,AS33070 
108.171.164.16,108.171.164.31,hosting,US,AS19994 
108.171.164.32,108.171.164.71,hosting,US,AS33070 
108.171.164.72,108.171.164.111,hosting,US,AS19994 
108.171.164.112,108.171.164.119,hosting,US,AS33070 
108.171.164.120,108.171.164.127,hosting,US,AS19994 
108.171.164.128,108.171.164.159,hosting,US,AS33070 
108.171.164.160,108.171.164.167,hosting,US,AS19994 
108.171.164.168,108.171.164.175,hosting,US,AS33070 
108.171.164.176,108.171.164.183,hosting,US,AS19994 
108.171.164.184,108.171.164.191,hosting,US,AS33070 
108.171.164.192,108.171.164.199,hosting,US,AS19994 
108.171.164.200,108.171.164.207,hosting,US,AS33070 
108.171.164.208,108.171.164.215,hosting,US,AS19994 
108.171.164.216,108.171.164.223,hosting,CA,AS19994 
108.171.164.224,108.171.164.231,hosting,US,AS19994 
108.171.164.232,108.171.164.255,hosting,US,AS33070 
