78.157.0.0,78.157.31.255,isp,MK,AS43612 
78.157.32.0,78.157.57.63,hosting,IR,AS62442 
78.157.57.64,78.157.57.95,business,IR,AS62442 
78.157.57.96,78.157.63.255,hosting,IR,AS62442 
78.157.64.0,78.157.95.255,isp,LT,AS21211 
78.157.96.0,78.157.100.23,business,DK,AS39642 
78.157.100.24,78.157.100.31,isp,DK,AS39642 
78.157.100.32,78.157.100.79,business,DK,AS39642 
78.157.100.80,78.157.100.95,isp,DK,AS39642 
78.157.100.96,78.157.100.119,business,DK,AS39642 
78.157.100.120,78.157.100.127,isp,DK,AS39642 
78.157.100.128,78.157.100.143,business,DK,AS39642 
78.157.100.144,78.157.100.159,isp,DK,AS39642 
78.157.100.160,78.157.100.191,business,DK,AS39642 
78.157.100.192,78.157.100.199,isp,DK,AS39642 
78.157.100.200,78.157.101.47,business,DK,AS39642 
78.157.101.48,78.157.101.55,isp,DK,AS39642 
78.157.101.56,78.157.101.71,business,DK,AS39642 
78.157.101.72,78.157.101.79,isp,DK,AS39642 
78.157.101.80,78.157.101.95,business,DK,AS39642 
78.157.101.96,78.157.101.103,isp,DK,AS39642 
78.157.101.104,78.157.101.175,business,DK,AS39642 
78.157.101.176,78.157.101.183,isp,DK,AS39642 
78.157.101.184,78.157.101.195,business,DK,AS39642 
78.157.101.196,78.157.101.199,isp,DK,AS39642 
78.157.101.200,78.157.101.239,business,DK,AS39642 
78.157.101.240,78.157.101.247,isp,DK,AS39642 
78.157.101.248,78.157.102.15,business,DK,AS39642 
78.157.102.16,78.157.102.23,isp,DK,AS39642 
78.157.102.24,78.157.102.63,business,DK,AS39642 
78.157.102.64,78.157.102.95,isp,DK,AS39642 
78.157.102.96,78.157.103.47,business,DK,AS39642 
78.157.103.48,78.157.103.79,isp,DK,AS39642 
78.157.103.80,78.157.103.111,business,DK,AS39642 
78.157.103.112,78.157.103.127,isp,DK,AS39642 
78.157.103.128,78.157.122.255,business,DK,AS39642 
78.157.123.0,78.157.123.7,isp,DK,AS39642 
78.157.123.8,78.157.123.215,business,DK,AS39642 
78.157.123.216,78.157.123.219,isp,DK,AS39642 
78.157.123.220,78.157.123.247,business,DK,AS39642 
78.157.123.248,78.157.123.255,isp,DK,AS39642 
78.157.124.0,78.157.127.255,business,DK,AS39642 
78.157.128.0,78.157.159.255,isp,CZ,AS30764 
78.157.160.0,78.157.179.255,isp,CZ,AS43709 
78.157.180.0,78.157.187.255,isp,PL,AS43709 
78.157.188.0,78.157.191.255,isp,CZ,AS43709 
78.157.192.0,78.157.195.255,hosting,GB,AS42831 
78.157.196.0,78.157.199.255,business,GB,AS42831 
78.157.200.0,78.157.204.255,hosting,GB,AS42831 
78.157.205.0,78.157.205.255,isp,GB,AS215000 
78.157.206.0,78.157.211.239,hosting,GB,AS42831 
78.157.211.240,78.157.211.243,isp,GB,AS42831 
78.157.211.244,78.157.212.123,hosting,GB,AS42831 
78.157.212.124,78.157.212.127,business,GB,AS42831 
78.157.212.128,78.157.223.255,hosting,GB,AS42831 
78.157.224.0,78.157.231.255,business,RU,AS42742 
78.157.232.0,78.157.255.255,isp,RU,AS42742 
