78.141.0.0,78.141.63.255,business,GB,AS5413 
78.141.64.0,78.141.127.255,isp,SK,AS15962 
78.141.128.0,78.141.164.31,isp,LU,AS6661 
78.141.164.32,78.141.164.39,business,LU,AS6661 
78.141.164.40,78.141.164.151,isp,LU,AS6661 
78.141.164.152,78.141.164.159,business,LU,AS6661 
78.141.164.160,78.141.164.167,isp,LU,AS6661 
78.141.164.168,78.141.164.175,business,LU,AS6661 
78.141.164.176,78.141.164.215,isp,LU,AS6661 
78.141.164.216,78.141.164.223,business,LU,AS6661 
78.141.164.224,78.141.164.231,isp,LU,AS6661 
78.141.164.232,78.141.164.239,business,LU,AS6661 
78.141.164.240,78.141.165.7,isp,LU,AS6661 
78.141.165.8,78.141.165.15,business,LU,AS6661 
78.141.165.16,78.141.165.55,isp,LU,AS6661 
78.141.165.56,78.141.165.63,business,LU,AS6661 
78.141.165.64,78.141.165.255,isp,LU,AS6661 
78.141.166.0,78.141.166.15,business,LU,AS6661 
78.141.166.16,78.141.166.127,isp,LU,AS6661 
78.141.166.128,78.141.166.135,business,LU,AS6661 
78.141.166.136,78.141.166.143,isp,LU,AS6661 
78.141.166.144,78.141.166.151,business,LU,AS6661 
78.141.166.152,78.141.166.239,isp,LU,AS6661 
78.141.166.240,78.141.166.247,business,LU,AS6661 
78.141.166.248,78.141.167.255,isp,LU,AS6661 
78.141.168.0,78.141.168.7,business,LU,AS6661 
78.141.168.8,78.141.168.31,isp,LU,AS6661 
78.141.168.32,78.141.168.39,business,LU,AS6661 
78.141.168.40,78.141.168.143,isp,LU,AS6661 
78.141.168.144,78.141.168.167,business,LU,AS6661 
78.141.168.168,78.141.168.207,isp,LU,AS6661 
78.141.168.208,78.141.168.215,business,LU,AS6661 
78.141.168.216,78.141.168.223,isp,LU,AS6661 
78.141.168.224,78.141.168.231,business,LU,AS6661 
78.141.168.232,78.141.168.239,isp,LU,AS6661 
78.141.168.240,78.141.168.255,business,LU,AS6661 
78.141.169.0,78.141.169.31,isp,LU,AS6661 
78.141.169.32,78.141.169.39,business,LU,AS6661 
78.141.169.40,78.141.169.47,isp,LU,AS6661 
78.141.169.48,78.141.169.55,business,LU,AS6661 
78.141.169.56,78.141.169.119,isp,LU,AS6661 
78.141.169.120,78.141.169.127,business,LU,AS6661 
78.141.169.128,78.141.169.151,isp,LU,AS6661 
78.141.169.152,78.141.169.159,business,LU,AS6661 
78.141.169.160,78.141.172.55,isp,LU,AS6661 
78.141.172.56,78.141.172.63,business,LU,AS6661 
78.141.172.64,78.141.172.79,isp,LU,AS6661 
78.141.172.80,78.141.172.87,business,LU,AS6661 
