78.159.0.0,78.159.31.255,isp,FR 
78.159.32.0,78.159.63.255,isp,UA 
78.159.64.0,78.159.95.255,isp,PL 
78.159.96.0,78.159.106.63,hosting,DE 
78.159.106.64,78.159.106.127,hosting,PT 
78.159.106.128,78.159.108.255,hosting,DE 
78.159.109.0,78.159.109.127,business,PL 
78.159.109.128,78.159.109.255,hosting,DE 
78.159.110.0,78.159.110.255,business,PL 
78.159.111.0,78.159.121.255,hosting,DE 
78.159.122.0,78.159.122.255,hosting,HK 
78.159.123.0,78.159.123.255,hosting,DE 
78.159.124.0,78.159.124.127,hosting,PL 
78.159.124.128,78.159.124.255,hosting,DE 
78.159.125.0,78.159.125.127,hosting,PL 
78.159.125.128,78.159.127.255,hosting,DE 
78.159.128.0,78.159.129.255,hosting,BG 
78.159.130.0,78.159.130.255,business,BG 
78.159.131.0,78.159.131.255,hosting,BG 
78.159.132.0,78.159.135.255,business,FR 
78.159.136.0,78.159.139.255,hosting,BG 
78.159.140.0,78.159.143.255,hosting,US 
78.159.144.0,78.159.147.255,isp,IT 
78.159.148.0,78.159.148.255,business,FR 
78.159.149.0,78.159.150.255,hosting,BG 
78.159.151.0,78.159.151.255,hosting,SE 
78.159.152.0,78.159.155.255,hosting,BG 
78.159.156.0,78.159.156.255,isp,BG 
78.159.157.0,78.159.159.255,hosting,BG 
78.159.160.0,78.159.191.255,isp,KW 
78.159.192.0,78.159.199.255,hosting,IT 
78.159.200.0,78.159.215.255,isp,IT 
78.159.216.0,78.159.223.255,hosting,IT 
78.159.224.0,78.159.255.255,business,RU 
