78.155.0.0,78.155.24.63,isp,CH,AS15547 
78.155.24.64,78.155.24.127,business,CH,AS15547 
78.155.24.128,78.155.25.255,isp,CH,AS15547 
78.155.26.0,78.155.27.255,business,CH,AS15547 
78.155.28.0,78.155.31.255,isp,CH,AS15547 
78.155.32.0,78.155.63.255,isp,ME,AS8585 
78.155.64.0,78.155.95.255,isp,SY,AS29256 
78.155.96.0,78.155.124.191,isp,PL,AS43435 
78.155.124.192,78.155.124.255,business,PL,AS43435 
78.155.125.0,78.155.127.255,isp,PL,AS43435 
78.155.128.0,78.155.128.91,business,FR,AS15557 
78.155.128.92,78.155.128.95,isp,FR,AS15557 
78.155.128.96,78.155.128.107,business,FR,AS15557 
78.155.128.108,78.155.128.111,isp,FR,AS15557 
78.155.128.112,78.155.128.167,business,FR,AS15557 
78.155.128.168,78.155.129.31,isp,FR,AS15557 
78.155.129.32,78.155.129.47,business,FR,AS15557 
78.155.129.48,78.155.129.55,isp,FR,AS15557 
78.155.129.56,78.155.129.63,business,FR,AS15557 
78.155.129.64,78.155.129.71,isp,FR,AS15557 
78.155.129.72,78.155.129.80,business,FR,AS15557 
78.155.129.81,78.155.129.95,isp,FR,AS15557 
78.155.129.96,78.155.129.103,business,FR,AS15557 
78.155.129.104,78.155.129.119,isp,FR,AS15557 
78.155.129.120,78.155.129.127,business,FR,AS15557 
78.155.129.128,78.155.129.199,isp,FR,AS15557 
78.155.129.200,78.155.129.200,business,FR,AS15557 
78.155.129.201,78.155.129.201,isp,FR,AS15557 
78.155.129.202,78.155.129.207,business,FR,AS15557 
78.155.129.208,78.155.129.255,isp,FR,AS15557 
78.155.130.0,78.155.130.3,business,FR,AS15557 
78.155.130.4,78.155.130.15,isp,FR,AS15557 
78.155.130.16,78.155.130.23,business,FR,AS15557 
78.155.130.24,78.155.130.31,isp,FR,AS15557 
78.155.130.32,78.155.130.39,business,FR,AS15557 
78.155.130.40,78.155.130.47,isp,FR,AS15557 
78.155.130.48,78.155.130.55,business,FR,AS15557 
78.155.130.56,78.155.130.71,isp,FR,AS15557 
78.155.130.72,78.155.130.77,business,FR,AS15557 
78.155.130.78,78.155.130.111,isp,FR,AS15557 
78.155.130.112,78.155.130.119,business,FR,AS15557 
78.155.130.120,78.155.130.191,isp,FR,AS15557 
78.155.130.192,78.155.130.199,business,FR,AS15557 
78.155.130.200,78.155.130.207,isp,FR,AS15557 
78.155.130.208,78.155.130.215,business,FR,AS15557 
78.155.130.216,78.155.130.223,isp,FR,AS15557 
78.155.130.224,78.155.130.239,business,FR,AS15557 
78.155.130.240,78.155.130.255,isp,FR,AS15557 
78.155.131.0,78.155.131.67,business,FR,AS15557 
78.155.131.68,78.155.131.71,isp,FR,AS15557 
78.155.131.72,78.155.131.87,business,FR,AS15557 
78.155.131.88,78.155.131.95,isp,FR,AS15557 
78.155.131.96,78.155.131.143,business,FR,AS15557 
78.155.131.144,78.155.131.223,isp,FR,AS15557 
78.155.131.224,78.155.131.231,business,FR,AS15557 
78.155.131.232,78.155.132.71,isp,FR,AS15557 
78.155.132.72,78.155.132.87,business,FR,AS15557 
78.155.132.88,78.155.132.111,isp,FR,AS15557 
78.155.132.112,78.155.132.119,business,FR,AS15557 
78.155.132.120,78.155.132.135,isp,FR,AS15557 
78.155.132.136,78.155.132.151,business,FR,AS15557 
78.155.132.152,78.155.132.167,isp,FR,AS15557 
78.155.132.168,78.155.132.175,business,FR,AS15557 
78.155.132.176,78.155.132.207,isp,FR,AS15557 
78.155.132.208,78.155.132.215,business,FR,AS15557 
78.155.132.216,78.155.132.231,isp,FR,AS15557 
78.155.132.232,78.155.132.247,business,FR,AS15557 
78.155.132.248,78.155.132.255,isp,FR,AS15557 
78.155.133.0,78.155.133.7,business,FR,AS15557 
78.155.133.8,78.155.133.23,isp,FR,AS15557 
78.155.133.24,78.155.133.31,business,FR,AS15557 
78.155.133.32,78.155.133.63,isp,FR,AS15557 
78.155.133.64,78.155.133.71,business,FR,AS15557 
78.155.133.72,78.155.133.95,isp,FR,AS15557 
78.155.133.96,78.155.133.111,business,FR,AS15557 
78.155.133.112,78.155.133.119,isp,FR,AS15557 
78.155.133.120,78.155.133.127,business,FR,AS15557 
78.155.133.128,78.155.133.191,isp,FR,AS15557 
78.155.133.192,78.155.133.199,business,FR,AS15557 
78.155.133.200,78.155.133.217,isp,FR,AS15557 
78.155.133.218,78.155.133.231,business,FR,AS15557 
78.155.133.232,78.155.133.255,isp,FR,AS15557 
78.155.134.0,78.155.134.3,business,FR,AS15557 
78.155.134.4,78.155.134.4,isp,FR,AS15557 
78.155.134.5,78.155.134.7,business,FR,AS15557 
78.155.134.8,78.155.134.11,isp,FR,AS15557 
78.155.134.12,78.155.134.55,business,FR,AS15557 
78.155.134.56,78.155.134.59,isp,FR,AS15557 
78.155.134.60,78.155.134.72,business,FR,AS15557 
78.155.134.73,78.155.134.73,isp,FR,AS15557 
78.155.134.74,78.155.134.75,business,FR,AS15557 
78.155.134.76,78.155.134.79,isp,FR,AS15557 
78.155.134.80,78.155.134.84,business,FR,AS15557 
78.155.134.85,78.155.134.87,isp,FR,AS15557 
78.155.134.88,78.155.134.159,business,FR,AS15557 
78.155.134.160,78.155.134.255,isp,FR,AS15557 
78.155.135.0,78.155.135.255,business,FR,AS15557 
78.155.136.0,78.155.136.7,isp,FR,AS15557 
78.155.136.8,78.155.136.15,business,FR,AS15557 
78.155.136.16,78.155.136.23,isp,FR,AS15557 
78.155.136.24,78.155.136.25,business,FR,AS15557 
78.155.136.26,78.155.136.26,isp,FR,AS15557 
78.155.136.27,78.155.136.35,business,FR,AS15557 
78.155.136.36,78.155.136.55,isp,FR,AS15557 
78.155.136.56,78.155.136.67,business,FR,AS15557 
78.155.136.68,78.155.136.68,isp,FR,AS15557 
78.155.136.69,78.155.136.95,business,FR,AS15557 
78.155.136.96,78.155.136.119,isp,FR,AS15557 
78.155.136.120,78.155.136.127,business,FR,AS15557 
78.155.136.128,78.155.136.143,isp,FR,AS15557 
78.155.136.144,78.155.136.151,business,FR,AS15557 
78.155.136.152,78.155.136.175,isp,FR,AS15557 
78.155.136.176,78.155.136.183,business,FR,AS15557 
78.155.136.184,78.155.136.191,isp,FR,AS15557 
78.155.136.192,78.155.136.199,business,FR,AS15557 
78.155.136.200,78.155.136.207,isp,FR,AS15557 
78.155.136.208,78.155.136.215,business,FR,AS15557 
