78.137.0.0,78.137.63.255,isp,UA,AS25133 
78.137.64.0,78.137.95.255,isp,YE,AS30873 
78.137.96.0,78.137.103.255,hosting,DE,AS8560 
78.137.104.0,78.137.111.255,isp,RU,AS25520 
78.137.112.0,78.137.125.255,business,GB,AS61323 
78.137.126.0,78.137.126.255,education,GB,AS61323 
78.137.127.0,78.137.127.127,business,GB,AS61323 
78.137.127.128,78.137.127.255,education,GB,AS61323 
78.137.128.0,78.137.139.255,isp,IE,AS31122 
78.137.140.0,78.137.140.255,isp,,AS31122 
78.137.141.0,78.137.153.255,isp,IE,AS31122 
78.137.154.0,78.137.155.255,isp,,AS31122 
78.137.156.0,78.137.157.255,isp,IE,AS31122 
78.137.158.0,78.137.158.63,business,IE,AS31122 
78.137.158.64,78.137.158.95,isp,IE,AS31122 
78.137.158.96,78.137.158.111,business,IE,AS31122 
78.137.158.112,78.137.162.15,isp,IE,AS31122 
78.137.162.16,78.137.162.31,business,IE,AS31122 
78.137.162.32,78.137.162.63,isp,IE,AS31122 
78.137.162.64,78.137.162.95,isp,,AS31122 
78.137.162.96,78.137.162.111,business,IE,AS31122 
78.137.162.112,78.137.162.127,isp,,AS31122 
78.137.162.128,78.137.162.223,isp,IE,AS31122 
78.137.162.224,78.137.162.239,isp,,AS31122 
78.137.162.240,78.137.163.15,isp,IE,AS31122 
78.137.163.16,78.137.163.31,isp,,AS31122 
78.137.163.32,78.137.163.63,isp,IE,AS31122 
78.137.163.64,78.137.163.111,business,IE,AS31122 
78.137.163.112,78.137.163.255,isp,IE,AS31122 
78.137.164.0,78.137.165.255,business,IE,AS31122 
78.137.166.0,78.137.167.255,isp,IE,AS31122 
78.137.168.0,78.137.168.255,business,IE,AS31122 
78.137.169.0,78.137.169.127,isp,IE,AS31122 
78.137.169.128,78.137.169.255,business,IE,AS31122 
78.137.170.0,78.137.172.7,isp,IE,AS31122 
78.137.172.8,78.137.172.15,isp,,AS31122 
78.137.172.16,78.137.172.31,isp,IE,AS31122 
78.137.172.32,78.137.172.63,business,IE,AS31122 
78.137.172.64,78.137.172.79,isp,IE,AS31122 
78.137.172.80,78.137.172.87,isp,,AS31122 
78.137.172.88,78.137.172.95,business,IE,AS31122 
78.137.172.96,78.137.172.111,isp,,AS31122 
78.137.172.112,78.137.172.183,business,IE,AS31122 
78.137.172.184,78.137.172.199,isp,IE,AS31122 
78.137.172.200,78.137.172.207,isp,,AS31122 
78.137.172.208,78.137.172.215,isp,IE,AS31122 
78.137.172.216,78.137.172.223,business,IE,AS31122 
78.137.172.224,78.137.172.227,isp,,AS31122 
78.137.172.228,78.137.172.231,isp,IE,AS31122 
78.137.172.232,78.137.172.239,business,IE,AS31122 
78.137.172.240,78.137.172.247,isp,,AS31122 
78.137.172.248,78.137.173.23,isp,IE,AS31122 
78.137.173.24,78.137.173.47,isp,,AS31122 
78.137.173.48,78.137.173.55,business,IE,AS31122 
78.137.173.56,78.137.173.255,isp,,AS31122 
78.137.174.0,78.137.175.255,isp,IE,AS31122 
78.137.176.0,78.137.176.55,isp,,AS31122 
78.137.176.56,78.137.176.63,isp,IE,AS31122 
78.137.176.64,78.137.176.127,isp,,AS31122 
78.137.176.128,78.137.176.195,business,IE,AS31122 
78.137.176.196,78.137.176.199,isp,IE,AS31122 
78.137.176.200,78.137.176.207,business,IE,AS31122 
78.137.176.208,78.137.176.211,isp,IE,AS31122 
78.137.176.212,78.137.176.215,business,IE,AS31122 
78.137.176.216,78.137.176.223,isp,IE,AS31122 
78.137.176.224,78.137.176.247,business,IE,AS31122 
78.137.176.248,78.137.177.31,isp,IE,AS31122 
78.137.177.32,78.137.177.63,business,IE,AS31122 
78.137.177.64,78.137.177.151,isp,IE,AS31122 
78.137.177.152,78.137.177.175,business,IE,AS31122 
78.137.177.176,78.137.177.183,isp,IE,AS31122 
78.137.177.184,78.137.177.195,business,IE,AS31122 
78.137.177.196,78.137.177.199,isp,IE,AS31122 
78.137.177.200,78.137.177.219,business,IE,AS31122 
78.137.177.220,78.137.177.255,isp,IE,AS31122 
78.137.178.0,78.137.178.15,isp,,AS31122 
78.137.178.16,78.137.178.23,isp,IE,AS31122 
78.137.178.24,78.137.178.31,isp,,AS31122 
78.137.178.32,78.137.178.47,business,IE,AS31122 
78.137.178.48,78.137.178.55,isp,IE,AS31122 
78.137.178.56,78.137.178.63,isp,,AS31122 
78.137.178.64,78.137.178.71,isp,IE,AS31122 
78.137.178.72,78.137.178.87,business,IE,AS31122 
78.137.178.88,78.137.178.127,isp,IE,AS31122 
78.137.178.128,78.137.178.131,business,IE,AS31122 
78.137.178.132,78.137.178.143,isp,IE,AS31122 
