77.95.74.52,77.95.74.59,isp,NO,AS31726 
77.95.74.60,77.95.74.115,business,NO,AS31726 
77.95.74.116,77.95.74.119,isp,NO,AS31726 
77.95.74.120,77.95.74.123,business,NO,AS31726 
77.95.74.124,77.95.74.127,isp,NO,AS31726 
77.95.74.128,77.95.74.131,business,NO,AS31726 
77.95.74.132,77.95.74.135,isp,NO,AS31726 
77.95.74.136,77.95.74.143,business,NO,AS31726 
77.95.74.144,77.95.74.147,isp,NO,AS31726 
77.95.74.148,77.95.74.159,business,NO,AS31726 
77.95.74.160,77.95.74.167,isp,NO,AS31726 
77.95.74.168,77.95.74.171,business,NO,AS31726 
77.95.74.172,77.95.74.175,isp,NO,AS31726 
77.95.74.176,77.95.74.179,business,NO,AS31726 
77.95.74.180,77.95.74.199,isp,NO,AS31726 
77.95.74.200,77.95.74.203,business,NO,AS31726 
77.95.74.204,77.95.74.207,isp,NO,AS31726 
77.95.74.208,77.95.74.211,business,NO,AS31726 
77.95.74.212,77.95.74.215,isp,NO,AS31726 
77.95.74.216,77.95.74.227,business,NO,AS31726 
77.95.74.228,77.95.74.231,isp,NO,AS31726 
77.95.74.232,77.95.74.251,business,NO,AS31726 
77.95.74.252,77.95.74.255,isp,NO,AS31726 
77.95.75.0,77.95.75.127,business,NO,AS31726 
77.95.75.128,77.95.75.255,isp,NO,AS31726 
77.95.76.0,77.95.76.255,business,NO,AS31726 
77.95.77.0,77.95.78.255,isp,NO,AS31726 
77.95.79.0,77.95.79.27,business,NO,AS31726 
77.95.79.28,77.95.79.35,isp,NO,AS31726 
77.95.79.36,77.95.79.59,business,NO,AS31726 
77.95.79.60,77.95.79.63,isp,NO,AS31726 
77.95.79.64,77.95.79.67,business,NO,AS31726 
77.95.79.68,77.95.79.71,isp,NO,AS31726 
77.95.79.72,77.95.79.79,business,NO,AS31726 
77.95.79.80,77.95.79.95,isp,NO,AS31726 
77.95.79.96,77.95.79.103,business,NO,AS31726 
77.95.79.104,77.95.79.107,isp,NO,AS31726 
77.95.79.108,77.95.79.111,business,NO,AS31726 
77.95.79.112,77.95.79.119,isp,NO,AS31726 
77.95.79.120,77.95.79.123,business,NO,AS31726 
77.95.79.124,77.95.79.139,isp,NO,AS31726 
77.95.79.140,77.95.79.143,business,NO,AS31726 
77.95.79.144,77.95.79.151,isp,NO,AS31726 
77.95.79.152,77.95.79.159,business,NO,AS31726 
77.95.79.160,77.95.79.183,isp,NO,AS31726 
77.95.79.184,77.95.79.191,business,NO,AS31726 
77.95.79.192,77.95.79.255,isp,NO,AS31726 
77.95.80.0,77.95.80.255,hosting,GB,AS19229 
