77.109.0.0,77.109.1.255,isp,UA 
77.109.2.0,77.109.3.255,business,UA 
77.109.4.0,77.109.7.255,isp,UA 
77.109.8.0,77.109.8.255,business,UA 
77.109.9.0,77.109.9.255,isp,UA 
77.109.10.0,77.109.11.255,business,UA 
77.109.12.0,77.109.63.255,isp,UA 
77.109.64.0,77.109.65.255,isp,BE 
77.109.66.0,77.109.67.255,isp,NL 
77.109.68.0,77.109.69.255,isp,BE 
77.109.70.0,77.109.75.255,isp,NL 
77.109.76.0,77.109.106.255,isp,BE 
77.109.107.0,77.109.107.255,isp,NL 
77.109.108.0,77.109.109.255,isp,BE 
77.109.110.0,77.109.111.255,business,BE 
77.109.112.0,77.109.127.255,isp,BE 
77.109.128.0,77.109.130.31,hosting,CH 
77.109.130.32,77.109.130.47,business,CH 
77.109.130.48,77.109.130.63,hosting,CH 
77.109.130.64,77.109.130.127,business,CH 
77.109.130.128,77.109.130.135,isp,CH 
77.109.130.136,77.109.130.159,business,CH 
77.109.130.160,77.109.130.191,hosting,CH 
77.109.130.192,77.109.130.207,business,CH 
77.109.130.208,77.109.130.215,hosting,CH 
77.109.130.216,77.109.130.223,business,CH 
77.109.130.224,77.109.130.231,hosting,CH 
77.109.130.232,77.109.130.255,business,CH 
77.109.131.0,77.109.131.31,hosting,CH 
77.109.131.32,77.109.131.47,business,CH 
77.109.131.48,77.109.131.55,hosting,CH 
77.109.131.56,77.109.131.59,business,CH 
77.109.131.60,77.109.131.63,business,ES 
77.109.131.64,77.109.131.103,hosting,CH 
77.109.131.104,77.109.131.119,business,CH 
77.109.131.120,77.109.131.127,hosting,CH 
77.109.131.128,77.109.131.191,business,CH 
77.109.131.192,77.109.131.199,hosting,CH 
77.109.131.200,77.109.131.207,business,CH 
77.109.131.208,77.109.131.223,hosting,CH 
77.109.131.224,77.109.131.239,business,CH 
77.109.131.240,77.109.132.31,hosting,CH 
77.109.132.32,77.109.132.39,business,CH 
77.109.132.40,77.109.132.47,hosting,CH 
77.109.132.48,77.109.132.55,business,CH 
77.109.132.56,77.109.132.63,hosting,CH 
77.109.132.64,77.109.132.103,business,CH 
77.109.132.104,77.109.132.111,hosting,CH 
77.109.132.112,77.109.132.119,business,CH 
77.109.132.120,77.109.132.127,hosting,CH 
77.109.132.128,77.109.132.159,business,CH 
77.109.132.160,77.109.132.191,hosting,CH 
77.109.132.192,77.109.133.15,business,CH 
77.109.133.16,77.109.133.47,hosting,CH 
77.109.133.48,77.109.133.63,business,CH 
77.109.133.64,77.109.133.127,hosting,CH 
77.109.133.128,77.109.133.255,business,CH 
77.109.134.0,77.109.136.15,hosting,CH 
77.109.136.16,77.109.136.39,business,CH 
77.109.136.40,77.109.136.47,education,CH 
77.109.136.48,77.109.136.63,business,CH 
77.109.136.64,77.109.136.127,hosting,CH 
77.109.136.128,77.109.136.135,business,CH 
77.109.136.136,77.109.136.191,hosting,CH 
77.109.136.192,77.109.136.207,business,CH 
77.109.136.208,77.109.136.239,hosting,CH 
77.109.136.240,77.109.136.255,business,CH 
77.109.137.0,77.109.137.95,hosting,CH 
77.109.137.96,77.109.137.143,business,CH 
77.109.137.144,77.109.137.159,hosting,CH 
77.109.137.160,77.109.137.191,business,CH 
77.109.137.192,77.109.138.39,hosting,CH 
77.109.138.40,77.109.138.47,business,CH 
77.109.138.48,77.109.138.127,hosting,CH 
77.109.138.128,77.109.138.159,business,CH 
77.109.138.160,77.109.138.223,hosting,CH 
77.109.138.224,77.109.138.255,hosting,AT 
77.109.139.0,77.109.139.23,business,CH 
77.109.139.24,77.109.139.39,hosting,CH 
77.109.139.40,77.109.139.47,business,CH 
77.109.139.48,77.109.139.55,hosting,PL 
77.109.139.56,77.109.139.111,business,CH 
77.109.139.112,77.109.139.127,hosting,CH 
77.109.139.128,77.109.139.159,business,CH 
77.109.139.160,77.109.139.191,hosting,CH 
77.109.139.192,77.109.139.223,business,CH 
77.109.139.224,77.109.139.231,hosting,CH 
77.109.139.232,77.109.139.255,business,CH 
77.109.140.0,77.109.141.7,hosting,CH 
77.109.141.8,77.109.141.15,business,CH 
77.109.141.16,77.109.141.31,hosting,CH 
77.109.141.32,77.109.141.79,business,CH 
77.109.141.80,77.109.141.95,hosting,CH 
77.109.141.96,77.109.141.111,business,CH 
77.109.141.112,77.109.141.119,hosting,CH 
77.109.141.120,77.109.141.127,business,CH 
77.109.141.128,77.109.141.143,hosting,CH 
77.109.141.144,77.109.141.159,business,CH 
77.109.141.160,77.109.141.167,hosting,CH 
77.109.141.168,77.109.141.175,hosting,DK 
77.109.141.176,77.109.141.183,hosting,CH 
77.109.141.184,77.109.141.191,business,CH 
77.109.141.192,77.109.141.223,hosting,CH 
77.109.141.224,77.109.141.239,business,CH 
77.109.141.240,77.109.142.255,hosting,CH 
77.109.143.0,77.109.143.127,isp,CH 
77.109.143.128,77.109.143.255,hosting,CH 
77.109.144.0,77.109.144.31,business,CH 
77.109.144.32,77.109.144.47,hosting,CH 
77.109.144.48,77.109.144.111,business,CH 
77.109.144.112,77.109.144.119,hosting,CH 
77.109.144.120,77.109.144.127,education,CH 
77.109.144.128,77.109.144.135,business,CH 
77.109.144.136,77.109.144.191,hosting,CH 
77.109.144.192,77.109.144.207,hosting,ES 
77.109.144.208,77.109.144.215,business,CH 
77.109.144.216,77.109.144.223,hosting,CH 
77.109.144.224,77.109.144.255,business,CH 
77.109.145.0,77.109.145.75,hosting,CH 
77.109.145.76,77.109.145.79,hosting,PT 
77.109.145.80,77.109.145.255,hosting,CH 
77.109.146.0,77.109.146.7,business,CH 
77.109.146.8,77.109.146.15,hosting,CH 
77.109.146.16,77.109.146.31,business,CH 
77.109.146.32,77.109.146.55,hosting,CH 
77.109.146.56,77.109.146.63,business,CH 
77.109.146.64,77.109.146.127,hosting,CH 
77.109.146.128,77.109.146.143,business,CH 
77.109.146.144,77.109.146.159,hosting,CH 
77.109.146.160,77.109.146.191,isp,CH 
77.109.146.192,77.109.147.63,business,CH 
77.109.147.64,77.109.147.95,hosting,CH 
77.109.147.96,77.109.147.135,business,CH 
77.109.147.136,77.109.147.151,hosting,CH 
77.109.147.152,77.109.147.159,business,CH 
77.109.147.160,77.109.148.63,hosting,CH 
77.109.148.64,77.109.148.79,business,CH 
77.109.148.80,77.109.148.95,hosting,CH 
77.109.148.96,77.109.148.111,education,CH 
77.109.148.112,77.109.148.127,hosting,CH 
77.109.148.128,77.109.148.191,isp,CH 
77.109.148.192,77.109.149.15,hosting,CH 
77.109.149.16,77.109.149.23,business,CH 
77.109.149.24,77.109.149.39,hosting,CH 
77.109.149.40,77.109.149.47,business,CH 
77.109.149.48,77.109.149.55,isp,CH 
77.109.149.56,77.109.149.63,business,CH 
77.109.149.64,77.109.149.79,hosting,CH 
77.109.149.80,77.109.149.87,hosting,CZ 
77.109.149.88,77.109.149.111,hosting,CH 
77.109.149.112,77.109.149.119,education,CH 
77.109.149.120,77.109.150.23,hosting,CH 
77.109.150.24,77.109.150.31,business,CH 
77.109.150.32,77.109.150.63,hosting,CH 
77.109.150.64,77.109.150.119,business,CH 
77.109.150.120,77.109.151.63,hosting,CH 
77.109.151.64,77.109.151.79,business,CH 
77.109.151.80,77.109.151.95,isp,CH 
77.109.151.96,77.109.151.111,business,CH 
77.109.151.112,77.109.165.23,hosting,CH 
77.109.165.24,77.109.165.31,business,CH 
77.109.165.32,77.109.165.111,hosting,CH 
77.109.165.112,77.109.165.143,business,CH 
77.109.165.144,77.109.165.159,hosting,CH 
77.109.165.160,77.109.165.207,business,CH 
77.109.165.208,77.109.165.215,hosting,CH 
77.109.165.216,77.109.165.223,business,CH 
77.109.165.224,77.109.165.231,hosting,CH 
77.109.165.232,77.109.165.239,business,CH 
77.109.165.240,77.109.178.255,hosting,CH 
77.109.179.0,77.109.179.255,business,CH 
77.109.180.0,77.109.181.255,hosting,CH 
77.109.182.0,77.109.182.255,business,CH 
77.109.183.0,77.109.183.11,hosting,CH 
77.109.183.12,77.109.183.15,business,CH 
77.109.183.16,77.109.183.91,hosting,CH 
77.109.183.92,77.109.183.95,business,CH 
77.109.183.96,77.109.183.191,hosting,CH 
77.109.183.192,77.109.183.223,business,CH 
77.109.183.224,77.109.188.255,hosting,CH 
77.109.189.0,77.109.189.255,business,CH 
77.109.190.0,77.109.191.255,hosting,CH 
77.109.192.0,77.109.232.255,isp,FI 
77.109.233.0,77.109.233.31,business,FI 
77.109.233.32,77.109.236.191,isp,FI 
77.109.236.192,77.109.236.223,business,FI 
77.109.236.224,77.109.238.175,isp,FI 
77.109.238.176,77.109.238.255,business,FI 
77.109.239.0,77.109.255.255,isp,FI 
