77.233.0.0,77.233.31.255,isp,RU,AS42478 
77.233.32.0,77.233.63.255,business,US,AS22773 
77.233.64.0,77.233.91.255,isp,EE,AS1257 
77.233.92.0,77.233.92.255,business,EE,AS1257 
77.233.93.0,77.233.94.255,isp,EE,AS1257 
77.233.95.0,77.233.95.255,business,EE,AS1257 
77.233.96.0,77.233.127.255,isp,FR,AS42117 
77.233.128.0,77.233.159.255,isp,GB, 
77.233.160.0,77.233.191.255,isp,RU,AS29648 
77.233.192.0,77.233.223.255,isp,RU,AS34602 
77.233.224.0,77.233.225.7,business,DK,AS31027 
77.233.225.8,77.233.225.15,hosting,DK,AS31027 
77.233.225.16,77.233.225.23,business,DK,AS31027 
77.233.225.24,77.233.225.63,hosting,DK,AS31027 
77.233.225.64,77.233.225.191,business,DK,AS31027 
77.233.225.192,77.233.225.255,hosting,DK,AS31027 
77.233.226.0,77.233.226.35,business,DK,AS31027 
77.233.226.36,77.233.226.127,hosting,DK,AS31027 
77.233.226.128,77.233.226.191,business,DK,AS31027 
77.233.226.192,77.233.227.255,hosting,DK,AS31027 
77.233.228.0,77.233.228.127,business,DK,AS31027 
77.233.228.128,77.233.228.223,hosting,DK,AS31027 
77.233.228.224,77.233.229.255,business,DK,AS31027 
77.233.230.0,77.233.230.255,isp,DK,AS31027 
77.233.231.0,77.233.231.63,hosting,DK,AS31027 
77.233.231.64,77.233.232.103,business,DK,AS31027 
77.233.232.104,77.233.232.111,hosting,DK,AS31027 
77.233.232.112,77.233.232.127,business,DK,AS31027 
77.233.232.128,77.233.232.191,hosting,DK,AS31027 
77.233.232.192,77.233.232.215,business,DK,AS31027 
77.233.232.216,77.233.232.255,hosting,DK,AS31027 
77.233.233.0,77.233.233.63,business,DK,AS31027 
77.233.233.64,77.233.233.111,hosting,DK,AS31027 
77.233.233.112,77.233.233.127,business,DK,AS31027 
77.233.233.128,77.233.233.131,hosting,DK,AS31027 
77.233.233.132,77.233.233.135,business,SE,AS31027 
77.233.233.136,77.233.233.143,business,DK,AS31027 
77.233.233.144,77.233.233.255,hosting,DK,AS31027 
77.233.234.0,77.233.236.127,business,DK,AS31027 
77.233.236.128,77.233.236.143,hosting,DK,AS31027 
77.233.236.144,77.233.236.191,business,DK,AS31027 
77.233.236.192,77.233.236.223,hosting,DK,AS31027 
77.233.236.224,77.233.236.255,business,DK,AS31027 
77.233.237.0,77.233.237.39,hosting,DK,AS31027 
77.233.237.40,77.233.237.63,business,DK,AS31027 
77.233.237.64,77.233.237.71,education,DK,AS31027 
77.233.237.72,77.233.237.79,hosting,DK,AS31027 
77.233.237.80,77.233.237.159,business,DK,AS31027 
77.233.237.160,77.233.237.175,hosting,DK,AS31027 
77.233.237.176,77.233.237.191,business,DK,AS31027 
77.233.237.192,77.233.237.223,hosting,DK,AS31027 
77.233.237.224,77.233.237.239,business,DK,AS31027 
77.233.237.240,77.233.237.255,hosting,DK,AS31027 
77.233.238.0,77.233.240.255,isp,DK,AS31027 
77.233.241.0,77.233.241.31,business,DK,AS31027 
77.233.241.32,77.233.241.47,education,DK,AS31027 
77.233.241.48,77.233.241.79,business,DK,AS31027 
77.233.241.80,77.233.241.95,hosting,DK,AS31027 
77.233.241.96,77.233.241.127,business,DK,AS31027 
77.233.241.128,77.233.241.159,hosting,DK,AS31027 
77.233.241.160,77.233.241.175,business,DK,AS31027 
77.233.241.176,77.233.241.191,hosting,DK,AS31027 
77.233.241.192,77.233.241.223,business,DK,AS31027 
77.233.241.224,77.233.241.239,hosting,DK,AS31027 
77.233.241.240,77.233.241.255,business,DK,AS31027 
77.233.242.0,77.233.242.255,isp,DK,AS31027 
