77.221.0.0,77.221.31.255,isp,BA,AS42560 
77.221.32.0,77.221.35.255,isp,HU,AS197889 
77.221.36.0,77.221.41.255,business,HU,AS12301 
77.221.42.0,77.221.42.255,isp,HU,AS200964 
77.221.43.0,77.221.43.0,business,HU,AS12301 
77.221.43.1,77.221.43.255,isp,HU,AS197889 
77.221.44.0,77.221.45.255,business,HU,AS197889 
77.221.46.0,77.221.47.255,isp,HU,AS197889 
77.221.48.0,77.221.48.255,business,HU,AS62214 
77.221.49.0,77.221.49.255,hosting,HU,AS39679 
77.221.50.0,77.221.50.255,business,HU, 
77.221.51.0,77.221.51.255,business,HU,AS197248 
77.221.52.0,77.221.53.255,isp,HU,AS197889 
77.221.54.0,77.221.55.255,business,HU,AS12301 
77.221.56.0,77.221.57.255,isp,HU,AS197889 
77.221.58.0,77.221.61.255,business,HU,AS212910 
77.221.62.0,77.221.62.255,business,HU,AS12301 
77.221.63.0,77.221.63.255,business,HU,AS212910 
77.221.64.0,77.221.95.255,isp,LT,AS21412 
77.221.96.0,77.221.127.255,isp,SA,AS42769 
77.221.128.0,77.221.131.255,hosting,RU,AS41535 
77.221.132.0,77.221.133.255,hosting,NL,AS216139 
77.221.134.0,77.221.134.255,hosting,NL,AS215376 
77.221.135.0,77.221.135.255,business,US,AS216300 
77.221.136.0,77.221.143.255,hosting,SE,AS210644 
77.221.144.0,77.221.144.255,hosting,FI,AS216300 
77.221.145.0,77.221.145.255,hosting,NL,AS216024 
77.221.146.0,77.221.146.255,hosting,LV,AS206728 
77.221.147.0,77.221.147.255,hosting,DE,AS216300 
77.221.148.0,77.221.148.255,hosting,NL,AS210644 
77.221.149.0,77.221.149.255,hosting,US,AS210644 
77.221.150.0,77.221.150.255,hosting,CZ,AS44477 
77.221.151.0,77.221.151.255,hosting,RU,AS216246 
77.221.152.0,77.221.153.255,hosting,FR,AS210644 
77.221.154.0,77.221.155.255,hosting,NL,AS210644 
77.221.156.0,77.221.157.255,hosting,DE,AS210644 
77.221.158.0,77.221.159.255,hosting,FI,AS210644 
77.221.160.0,77.221.176.191,business,GB,AS8607 
77.221.176.192,77.221.176.192,hosting,GB,AS8607 
77.221.176.193,77.221.176.224,business,GB,AS8607 
77.221.176.225,77.221.176.255,hosting,GB,AS8607 
77.221.177.0,77.221.180.95,business,GB,AS8607 
77.221.180.96,77.221.180.223,hosting,GB,AS8607 
77.221.180.224,77.221.181.95,business,GB,AS8607 
77.221.181.96,77.221.181.159,hosting,GB,AS8607 
77.221.181.160,77.221.185.255,business,GB,AS8607 
77.221.186.0,77.221.188.255,hosting,GB,AS8607 
77.221.189.0,77.221.189.255,business,GB,AS8607 
77.221.190.0,77.221.190.23,hosting,GB,AS8607 
77.221.190.24,77.221.190.31,business,GB,AS8607 
77.221.190.32,77.221.191.31,hosting,GB,AS8607 
77.221.191.32,77.221.191.127,business,GB,AS8607 
77.221.191.128,77.221.191.159,hosting,GB,AS8607 
77.221.191.160,77.221.191.255,business,GB,AS8607 
77.221.192.0,77.221.195.255,business,RU,AS42676 
77.221.196.0,77.221.213.255,isp,RU,AS42676 
77.221.214.0,77.221.214.255,business,RU,AS42676 
77.221.215.0,77.221.223.255,isp,RU,AS42676 
77.221.224.0,77.221.255.255,hosting,DK,AS42876 
