77.239.0.0,77.239.31.255,isp,BA,AS42560 
77.239.32.0,77.239.63.255,business,CH,AS15600 
77.239.64.0,77.239.73.255,isp,BA,AS42571 
77.239.74.0,77.239.79.255,business,BA,AS42571 
77.239.80.0,77.239.89.255,isp,BA,AS42571 
77.239.90.0,77.239.95.255,business,BA,AS42571 
77.239.96.0,77.239.103.255,business,GB, 
77.239.104.0,77.239.104.255,business,DE, 
77.239.105.0,77.239.105.255,business,GB, 
77.239.106.0,77.239.106.255,business,US, 
77.239.107.0,77.239.127.255,business,GB, 
77.239.128.0,77.239.131.75,isp,IT,AS30848 
77.239.131.76,77.239.131.79,business,IT,AS30848 
77.239.131.80,77.239.131.91,isp,IT,AS30848 
77.239.131.92,77.239.131.95,business,IT,AS30848 
77.239.131.96,77.239.131.127,isp,IT,AS30848 
77.239.131.128,77.239.131.131,business,IT,AS30848 
77.239.131.132,77.239.131.151,isp,IT,AS30848 
77.239.131.152,77.239.131.155,business,IT,AS30848 
77.239.131.156,77.239.131.187,isp,IT,AS30848 
77.239.131.188,77.239.131.191,business,IT,AS30848 
77.239.131.192,77.239.131.207,isp,IT,AS30848 
77.239.131.208,77.239.131.211,business,IT,AS30848 
77.239.131.212,77.239.131.231,isp,IT,AS30848 
77.239.131.232,77.239.131.235,business,IT,AS30848 
77.239.131.236,77.239.131.247,isp,IT,AS30848 
77.239.131.248,77.239.131.251,business,IT,AS30848 
77.239.131.252,77.239.132.79,isp,IT,AS30848 
77.239.132.80,77.239.132.95,business,IT,AS30848 
77.239.132.96,77.239.132.99,isp,IT,AS30848 
77.239.132.100,77.239.132.103,business,IT,AS30848 
77.239.132.104,77.239.132.159,isp,IT,AS30848 
77.239.132.160,77.239.132.163,business,IT,AS30848 
77.239.132.164,77.239.132.219,isp,IT,AS30848 
77.239.132.220,77.239.132.223,business,IT,AS30848 
77.239.132.224,77.239.133.163,isp,IT,AS30848 
77.239.133.164,77.239.133.167,business,IT,AS30848 
77.239.133.168,77.239.133.187,isp,IT,AS30848 
77.239.133.188,77.239.133.191,business,IT,AS30848 
77.239.133.192,77.239.133.231,isp,IT,AS30848 
77.239.133.232,77.239.133.239,business,IT,AS30848 
77.239.133.240,77.239.134.3,isp,IT,AS30848 
77.239.134.4,77.239.134.7,business,IT,AS30848 
77.239.134.8,77.239.134.39,isp,IT,AS30848 
77.239.134.40,77.239.134.43,business,IT,AS30848 
77.239.134.44,77.239.134.47,isp,IT,AS30848 
77.239.134.48,77.239.134.55,business,IT,AS30848 
77.239.134.56,77.239.134.87,isp,IT,AS30848 
77.239.134.88,77.239.134.91,business,IT,AS30848 
77.239.134.92,77.239.134.99,isp,IT,AS30848 
77.239.134.100,77.239.134.103,business,IT,AS30848 
77.239.134.104,77.239.134.143,isp,IT,AS30848 
77.239.134.144,77.239.134.147,business,IT,AS30848 
77.239.134.148,77.239.134.219,isp,IT,AS30848 
77.239.134.220,77.239.134.223,business,IT,AS30848 
77.239.134.224,77.239.135.55,isp,IT,AS30848 
77.239.135.56,77.239.135.63,business,IT,AS30848 
77.239.135.64,77.239.136.7,isp,IT,AS30848 
77.239.136.8,77.239.136.15,business,IT,AS30848 
77.239.136.16,77.239.136.143,isp,IT,AS30848 
77.239.136.144,77.239.136.151,business,IT,AS30848 
