77.104.0.0,77.104.63.255,isp,FR,AS15557 
77.104.64.0,77.104.69.255,hosting,IR,AS42337 
77.104.70.0,77.104.70.255,education,IR,AS42337 
77.104.71.0,77.104.76.255,hosting,IR,AS42337 
77.104.77.0,77.104.77.255,business,IR,AS42337 
77.104.78.0,77.104.79.127,hosting,IR,AS42337 
77.104.79.128,77.104.80.255,education,IR,AS42337 
77.104.81.0,77.104.91.255,hosting,IR,AS42337 
77.104.92.0,77.104.92.255,hosting,IR,AS205207 
77.104.93.0,77.104.123.255,hosting,IR,AS42337 
77.104.124.0,77.104.124.255,hosting,IR,AS204812 
77.104.125.0,77.104.127.255,hosting,IR,AS42337 
77.104.128.0,77.104.191.255,isp,GB,AS13037 
77.104.192.0,77.104.193.255,hosting,CZ,AS39906 
77.104.194.0,77.104.194.255,business,CZ,AS201476 
77.104.195.0,77.104.197.255,hosting,CZ,AS39906 
77.104.198.0,77.104.199.255,business,CZ,AS39906 
77.104.200.0,77.104.207.255,isp,CZ,AS39906 
77.104.208.0,77.104.208.255,hosting,CZ,AS39906 
77.104.209.0,77.104.209.255,business,CZ,AS39906 
77.104.210.0,77.104.210.255,business,CZ,AS201476 
77.104.211.0,77.104.211.255,hosting,CZ,AS39906 
77.104.212.0,77.104.213.255,business,CZ,AS39906 
77.104.214.0,77.104.215.223,hosting,CZ,AS39906 
77.104.215.224,77.104.215.239,business,CZ,AS39906 
77.104.215.240,77.104.215.247,hosting,CZ,AS39906 
77.104.215.248,77.104.215.255,business,CZ,AS39906 
77.104.216.0,77.104.216.255,business,CZ,AS201476 
77.104.217.0,77.104.217.127,business,CZ,AS39906 
77.104.217.128,77.104.217.191,education,CZ,AS39906 
77.104.217.192,77.104.218.255,hosting,CZ,AS39906 
77.104.219.0,77.104.219.255,business,CZ,AS39906 
77.104.220.0,77.104.220.127,hosting,CZ,AS39906 
77.104.220.128,77.104.220.255,business,CZ,AS39906 
77.104.221.0,77.104.221.255,hosting,CZ,AS39906 
77.104.222.0,77.104.222.255,business,CZ,AS39906 
77.104.223.0,77.104.223.255,business,CZ,AS201476 
77.104.224.0,77.104.224.255,business,CZ,AS39906 
77.104.225.0,77.104.225.127,hosting,CZ,AS39906 
77.104.225.128,77.104.225.191,education,CZ,AS39906 
77.104.225.192,77.104.225.255,hosting,CZ,AS39906 
77.104.226.0,77.104.227.255,business,CZ,AS39906 
77.104.228.0,77.104.231.255,hosting,CZ,AS39906 
77.104.232.0,77.104.233.255,business,CZ,AS39906 
77.104.234.0,77.104.234.255,hosting,CZ,AS39906 
77.104.235.0,77.104.235.15,business,CZ,AS39906 
77.104.235.16,77.104.235.63,hosting,CZ,AS39906 
77.104.235.64,77.104.235.127,business,CZ,AS39906 
77.104.235.128,77.104.235.191,hosting,CZ,AS39906 
77.104.235.192,77.104.235.255,business,CZ,AS39906 
77.104.236.0,77.104.237.63,hosting,CZ,AS39906 
77.104.237.64,77.104.237.127,business,CZ,AS39906 
77.104.237.128,77.104.237.255,hosting,CZ,AS39906 
77.104.238.0,77.104.238.255,business,CZ,AS39906 
77.104.239.0,77.104.239.223,hosting,CZ,AS39906 
77.104.239.224,77.104.239.255,business,CZ,AS39906 
77.104.240.0,77.104.240.255,business,CZ,AS201476 
77.104.241.0,77.104.241.63,business,CZ,AS39906 
77.104.241.64,77.104.241.255,hosting,CZ,AS39906 
77.104.242.0,77.104.242.63,business,CZ,AS39906 
77.104.242.64,77.104.242.127,hosting,CZ,AS39906 
77.104.242.128,77.104.242.143,business,CZ,AS39906 
77.104.242.144,77.104.244.255,hosting,CZ,AS39906 
77.104.245.0,77.104.245.255,business,CZ,AS201476 
77.104.246.0,77.104.246.31,business,CZ,AS39906 
77.104.246.32,77.104.246.87,hosting,CZ,AS39906 
77.104.246.88,77.104.246.95,business,CZ,AS39906 
77.104.246.96,77.104.246.127,hosting,CZ,AS39906 
77.104.246.128,77.104.246.159,business,CZ,AS39906 
77.104.246.160,77.104.246.207,hosting,CZ,AS39906 
77.104.246.208,77.104.246.223,business,CZ,AS39906 
77.104.246.224,77.104.246.255,hosting,CZ,AS39906 
77.104.247.0,77.104.247.71,business,CZ,AS39906 
77.104.247.72,77.104.247.79,hosting,CZ,AS39906 
77.104.247.80,77.104.247.95,business,CZ,AS39906 
77.104.247.96,77.104.247.111,hosting,CZ,AS39906 
77.104.247.112,77.104.247.159,business,CZ,AS39906 
77.104.247.160,77.104.247.167,hosting,CZ,AS39906 
77.104.247.168,77.104.247.183,business,CZ,AS39906 
77.104.247.184,77.104.247.255,hosting,CZ,AS39906 
77.104.248.0,77.104.249.255,business,CZ,AS39906 
77.104.250.0,77.104.252.15,hosting,CZ,AS39906 
77.104.252.16,77.104.252.47,business,CZ,AS39906 
77.104.252.48,77.104.252.63,hosting,CZ,AS39906 
77.104.252.64,77.104.252.95,isp,CZ,AS39906 
77.104.252.96,77.104.252.143,business,CZ,AS39906 
77.104.252.144,77.104.255.255,hosting,CZ,AS39906 
