77.153.96.24,77.153.96.47,business,FR,AS15557 
77.153.96.48,77.153.98.7,isp,FR,AS15557 
77.153.98.8,77.153.98.15,business,FR,AS15557 
77.153.98.16,77.153.100.3,isp,FR,AS15557 
77.153.100.4,77.153.100.31,business,FR,AS15557 
77.153.100.32,77.153.100.39,isp,FR,AS15557 
77.153.100.40,77.153.100.43,business,FR,AS15557 
77.153.100.44,77.153.100.47,isp,FR,AS15557 
77.153.100.48,77.153.100.79,business,FR,AS15557 
77.153.100.80,77.153.100.83,isp,FR,AS15557 
77.153.100.84,77.153.100.135,business,FR,AS15557 
77.153.100.136,77.153.100.139,isp,FR,AS15557 
77.153.100.140,77.153.100.171,business,FR,AS15557 
77.153.100.172,77.153.100.175,isp,FR,AS15557 
77.153.100.176,77.153.100.187,business,FR,AS15557 
77.153.100.188,77.153.100.191,isp,FR,AS15557 
77.153.100.192,77.153.100.215,business,FR,AS15557 
77.153.100.216,77.153.100.219,isp,FR,AS15557 
77.153.100.220,77.153.100.223,business,FR,AS15557 
77.153.100.224,77.153.100.231,isp,FR,AS15557 
77.153.100.232,77.153.100.239,business,FR,AS15557 
77.153.100.240,77.153.100.255,isp,FR,AS15557 
77.153.101.0,77.153.101.7,business,FR,AS15557 
77.153.101.8,77.153.101.63,isp,FR,AS15557 
77.153.101.64,77.153.101.159,business,FR,AS15557 
77.153.101.160,77.153.101.223,isp,FR,AS15557 
77.153.101.224,77.153.101.251,business,FR,AS15557 
77.153.101.252,77.153.103.0,isp,FR,AS15557 
77.153.103.1,77.153.103.1,business,FR,AS15557 
77.153.103.2,77.153.103.3,isp,FR,AS15557 
77.153.103.4,77.153.103.35,business,FR,AS15557 
77.153.103.36,77.153.103.39,isp,FR,AS15557 
77.153.103.40,77.153.103.87,business,FR,AS15557 
77.153.103.88,77.153.103.91,isp,FR,AS15557 
77.153.103.92,77.153.103.119,business,FR,AS15557 
77.153.103.120,77.153.103.135,isp,FR,AS15557 
77.153.103.136,77.153.103.151,business,FR,AS15557 
77.153.103.152,77.153.103.159,isp,FR,AS15557 
77.153.103.160,77.153.103.191,business,FR,AS15557 
77.153.103.192,77.153.103.207,isp,FR,AS15557 
77.153.103.208,77.153.103.211,business,FR,AS15557 
77.153.103.212,77.153.103.239,isp,FR,AS15557 
77.153.103.240,77.153.103.247,business,FR,AS15557 
77.153.103.248,77.153.103.255,isp,FR,AS15557 
77.153.104.0,77.153.104.255,business,FR,AS15557 
77.153.105.0,77.153.105.7,isp,FR,AS15557 
77.153.105.8,77.153.105.43,business,FR,AS15557 
77.153.105.44,77.153.105.47,isp,FR,AS15557 
77.153.105.48,77.153.105.131,business,FR,AS15557 
77.153.105.132,77.153.105.135,isp,FR,AS15557 
77.153.105.136,77.153.105.191,business,FR,AS15557 
77.153.105.192,77.153.105.195,isp,FR,AS15557 
77.153.105.196,77.153.105.199,business,FR,AS15557 
77.153.105.200,77.153.105.231,isp,FR,AS15557 
77.153.105.232,77.153.105.235,business,FR,AS15557 
77.153.105.236,77.153.106.1,isp,FR,AS15557 
77.153.106.2,77.153.106.7,business,FR,AS15557 
77.153.106.8,77.153.106.15,isp,FR,AS15557 
77.153.106.16,77.153.106.95,business,FR,AS15557 
77.153.106.96,77.153.106.99,isp,FR,AS15557 
77.153.106.100,77.153.106.191,business,FR,AS15557 
77.153.106.192,77.153.106.199,isp,FR,AS15557 
77.153.106.200,77.153.106.215,business,FR,AS15557 
77.153.106.216,77.153.106.251,isp,FR,AS15557 
77.153.106.252,77.153.106.252,business,FR,AS15557 
77.153.106.253,77.153.107.0,isp,FR,AS15557 
77.153.107.1,77.153.107.31,business,FR,AS15557 
77.153.107.32,77.153.107.39,isp,FR,AS15557 
77.153.107.40,77.153.107.71,business,FR,AS15557 
77.153.107.72,77.153.107.79,isp,FR,AS15557 
77.153.107.80,77.153.107.127,business,FR,AS15557 
77.153.107.128,77.153.107.135,isp,FR,AS15557 
77.153.107.136,77.153.107.191,business,FR,AS15557 
77.153.107.192,77.153.107.199,isp,FR,AS15557 
77.153.107.200,77.153.107.235,business,FR,AS15557 
77.153.107.236,77.153.108.7,isp,FR,AS15557 
77.153.108.8,77.153.108.11,business,FR,AS15557 
77.153.108.12,77.153.108.15,isp,FR,AS15557 
77.153.108.16,77.153.108.23,business,FR,AS15557 
77.153.108.24,77.153.108.31,isp,FR,AS15557 
77.153.108.32,77.153.108.83,business,FR,AS15557 
77.153.108.84,77.153.108.87,isp,FR,AS15557 
77.153.108.88,77.153.108.95,business,FR,AS15557 
77.153.108.96,77.153.108.99,isp,FR,AS15557 
77.153.108.100,77.153.108.135,business,FR,AS15557 
77.153.108.136,77.153.108.143,isp,FR,AS15557 
77.153.108.144,77.153.108.147,business,FR,AS15557 
