157.120.0.0,157.120.63.255,isp,JP,AS2514 
157.120.64.0,157.120.111.255,isp,JP,AS9621 
157.120.112.0,157.120.114.255,business,JP,AS146987 
157.120.115.0,157.120.115.255,hosting,JP,AS131921 
157.120.116.0,157.120.119.255,business,JP,AS146987 
157.120.120.0,157.120.123.255,isp,JP,AS24259 
157.120.124.0,157.120.159.255,hosting,JP,AS9604 
157.120.160.0,157.120.160.255,business,SG,AS59349 
157.120.161.0,157.120.162.255,hosting,SG,AS59349 
157.120.163.0,157.120.167.255,business,SG,AS59349 
157.120.168.0,157.120.191.255,hosting,SG,AS59349 
157.120.192.0,157.120.199.255,isp,JP,AS131931 
157.120.200.0,157.120.207.255,hosting,JP,AS58791 
157.120.208.0,157.120.208.31,business,JP,AS58791 
157.120.208.32,157.120.208.255,hosting,JP,AS58791 
157.120.209.0,157.120.209.95,business,JP,AS58791 
157.120.209.96,157.120.209.255,hosting,JP,AS58791 
157.120.210.0,157.120.214.7,business,JP,AS58791 
157.120.214.8,157.120.214.31,hosting,JP,AS58791 
157.120.214.32,157.120.214.63,business,JP,AS58791 
157.120.214.64,157.120.223.255,hosting,JP,AS58791 
157.120.224.0,157.120.226.175,isp,HK,AS8220 
157.120.226.176,157.120.226.199,business,HK,AS8220 
157.120.226.200,157.120.226.207,isp,HK,AS8220 
157.120.226.208,157.120.226.223,business,HK,AS8220 
157.120.226.224,157.120.226.239,isp,HK,AS8220 
157.120.226.240,157.120.226.255,business,HK,AS8220 
157.120.227.0,157.120.227.7,isp,HK,AS8220 
157.120.227.8,157.120.227.15,business,HK,AS8220 
157.120.227.16,157.120.227.16,isp,HK,AS8220 
157.120.227.17,157.120.227.22,business,HK,AS8220 
157.120.227.23,157.120.227.31,isp,HK,AS8220 
157.120.227.32,157.120.227.79,business,HK,AS8220 
157.120.227.80,157.120.227.127,isp,HK,AS8220 
157.120.227.128,157.120.227.135,business,HK,AS8220 
157.120.227.136,157.120.227.143,isp,HK,AS8220 
157.120.227.144,157.120.227.159,business,HK,AS8220 
157.120.227.160,157.120.227.167,isp,HK,AS8220 
157.120.227.168,157.120.227.175,business,HK,AS8220 
157.120.227.176,157.120.227.223,isp,HK,AS8220 
157.120.227.224,157.120.227.247,business,HK,AS8220 
157.120.227.248,157.120.228.31,isp,HK,AS8220 
157.120.228.32,157.120.228.79,business,HK,AS8220 
157.120.228.80,157.120.228.95,isp,HK,AS8220 
157.120.228.96,157.120.228.111,business,HK,AS8220 
157.120.228.112,157.120.228.119,business,JP,AS8220 
157.120.228.120,157.120.228.127,business,HK,AS8220 
157.120.228.128,157.120.228.151,isp,HK,AS8220 
157.120.228.152,157.120.228.159,business,HK,AS8220 
157.120.228.160,157.120.228.191,isp,HK,AS8220 
157.120.228.192,157.120.228.207,business,HK,AS8220 
157.120.228.208,157.120.228.223,isp,HK,AS8220 
157.120.228.224,157.120.228.231,business,HK,AS8220 
157.120.228.232,157.120.229.39,isp,HK,AS8220 
157.120.229.40,157.120.229.55,business,HK,AS8220 
157.120.229.56,157.120.229.63,isp,HK,AS8220 
157.120.229.64,157.120.229.79,business,HK,AS8220 
157.120.229.80,157.120.229.167,isp,HK,AS8220 
157.120.229.168,157.120.229.207,business,HK,AS8220 
157.120.229.208,157.120.229.223,isp,HK,AS8220 
157.120.229.224,157.120.229.255,business,HK,AS8220 
157.120.230.0,157.120.230.111,isp,HK,AS8220 
157.120.230.112,157.120.230.119,business,HK,AS8220 
157.120.230.120,157.120.230.191,isp,HK,AS8220 
157.120.230.192,157.120.230.199,business,HK,AS8220 
157.120.230.200,157.120.230.207,isp,HK,AS8220 
157.120.230.208,157.120.230.231,business,HK,AS8220 
157.120.230.232,157.120.230.239,isp,HK,AS8220 
157.120.230.240,157.120.230.247,business,HK,AS8220 
157.120.230.248,157.120.231.7,isp,HK,AS8220 
157.120.231.8,157.120.231.15,business,HK,AS8220 
157.120.231.16,157.120.231.23,isp,HK,AS8220 
157.120.231.24,157.120.231.31,business,HK,AS8220 
