162.246.137.72,162.246.137.75,hosting,US,AS33132 
162.246.137.76,162.246.137.79,business,US,AS33132 
162.246.137.80,162.246.137.83,hosting,US,AS33132 
162.246.137.84,162.246.137.87,business,US,AS33132 
162.246.137.88,162.246.137.91,hosting,US,AS33132 
162.246.137.92,162.246.137.95,business,US,AS33132 
162.246.137.96,162.246.137.99,hosting,US,AS33132 
162.246.137.100,162.246.137.103,business,US,AS33132 
162.246.137.104,162.246.137.107,hosting,US,AS33132 
162.246.137.108,162.246.137.111,business,US,AS33132 
162.246.137.112,162.246.137.115,hosting,US,AS33132 
162.246.137.116,162.246.137.119,business,US,AS33132 
162.246.137.120,162.246.137.123,hosting,US,AS33132 
162.246.137.124,162.246.137.131,business,US,AS33132 
162.246.137.132,162.246.137.135,hosting,US,AS33132 
162.246.137.136,162.246.137.139,business,US,AS33132 
162.246.137.140,162.246.137.143,hosting,US,AS33132 
162.246.137.144,162.246.137.147,business,US,AS33132 
162.246.137.148,162.246.137.151,hosting,US,AS33132 
162.246.137.152,162.246.137.155,business,US,AS33132 
162.246.137.156,162.246.137.159,hosting,US,AS33132 
162.246.137.160,162.246.137.163,business,US,AS33132 
162.246.137.164,162.246.137.167,hosting,US,AS33132 
162.246.137.168,162.246.137.171,business,US,AS33132 
162.246.137.172,162.246.137.175,hosting,US,AS33132 
162.246.137.176,162.246.137.179,business,US,AS33132 
162.246.137.180,162.246.137.183,hosting,US,AS33132 
162.246.137.184,162.246.137.187,business,US,AS33132 
162.246.137.188,162.246.137.191,hosting,US,AS33132 
162.246.137.192,162.246.137.195,business,US,AS33132 
162.246.137.196,162.246.137.199,hosting,US,AS33132 
162.246.137.200,162.246.137.203,business,US,AS33132 
162.246.137.204,162.246.137.207,hosting,US,AS33132 
162.246.137.208,162.246.137.211,business,US,AS33132 
162.246.137.212,162.246.137.215,hosting,US,AS33132 
162.246.137.216,162.246.137.219,business,US,AS33132 
162.246.137.220,162.246.137.223,hosting,US,AS33132 
162.246.137.224,162.246.137.227,business,US,AS33132 
162.246.137.228,162.246.137.231,hosting,US,AS33132 
162.246.137.232,162.246.137.235,business,US,AS33132 
162.246.137.236,162.246.137.239,hosting,US,AS33132 
162.246.137.240,162.246.137.243,business,US,AS33132 
162.246.137.244,162.246.137.247,hosting,US,AS33132 
162.246.137.248,162.246.137.251,business,US,AS33132 
162.246.137.252,162.246.137.255,hosting,US,AS33132 
162.246.138.0,162.246.138.3,business,US,AS33132 
162.246.138.4,162.246.138.7,hosting,US,AS33132 
162.246.138.8,162.246.138.11,business,US,AS33132 
162.246.138.12,162.246.138.15,hosting,US,AS33132 
162.246.138.16,162.246.138.23,business,US,AS33132 
162.246.138.24,162.246.138.63,hosting,US,AS33132 
162.246.138.64,162.246.138.127,business,US,AS33132 
162.246.138.128,162.246.138.159,hosting,US,AS33132 
162.246.138.160,162.246.138.175,business,US,AS33132 
162.246.138.176,162.246.138.215,hosting,US,AS33132 
162.246.138.216,162.246.138.223,business,US,AS33132 
162.246.138.224,162.246.138.239,hosting,US,AS33132 
162.246.138.240,162.246.138.247,business,US,AS33132 
162.246.138.248,162.246.139.7,hosting,US,AS33132 
162.246.139.8,162.246.139.15,business,US,AS33132 
162.246.139.16,162.246.139.47,hosting,US,AS33132 
162.246.139.48,162.246.139.55,business,US,AS33132 
162.246.139.56,162.246.139.63,hosting,US,AS33132 
162.246.139.64,162.246.139.79,business,US,AS33132 
162.246.139.80,162.246.139.87,isp,US,AS33132 
162.246.139.88,162.246.139.95,business,US,AS33132 
162.246.139.96,162.246.139.111,hosting,US,AS33132 
162.246.139.112,162.246.139.135,business,US,AS33132 
162.246.139.136,162.246.139.143,hosting,US,AS33132 
162.246.139.144,162.246.139.151,business,US,AS33132 
162.246.139.152,162.246.139.159,hosting,US,AS33132 
162.246.139.160,162.246.139.183,business,US,AS33132 
162.246.139.184,162.246.139.187,hosting,US,AS33132 
162.246.139.188,162.246.139.207,business,US,AS33132 
162.246.139.208,162.246.139.215,hosting,US,AS33132 
162.246.139.216,162.246.139.247,business,US,AS33132 
162.246.139.248,162.246.139.255,hosting,US,AS33132 
162.246.140.0,162.246.140.139,business,US,AS33132 
162.246.140.140,162.246.140.143,hosting,US,AS33132 
162.246.140.144,162.246.140.151,business,US,AS33132 
162.246.140.152,162.246.140.159,hosting,US,AS33132 
162.246.140.160,162.246.140.183,business,US,AS33132 
162.246.140.184,162.246.140.191,hosting,US,AS33132 
162.246.140.192,162.246.140.223,business,US,AS33132 
162.246.140.224,162.246.140.231,hosting,US,AS33132 
162.246.140.232,162.246.140.247,business,US,AS33132 
162.246.140.248,162.246.140.255,hosting,US,AS33132 
162.246.141.0,162.246.141.215,business,US,AS33132 
162.246.141.216,162.246.141.223,hosting,US,AS33132 
162.246.141.224,162.246.141.239,business,US,AS33132 
162.246.141.240,162.246.141.255,hosting,US,AS33132 
162.246.142.0,162.246.142.175,business,US,AS33132 
162.246.142.176,162.246.142.183,hosting,US,AS33132 
162.246.142.184,162.246.143.79,business,US,AS33132 
162.246.143.80,162.246.143.95,hosting,US,AS33132 
