142.120.24.0,142.120.47.255,business,CA,AS63131 
142.120.48.0,142.120.131.255,isp,CA,AS577 
142.120.132.0,142.120.132.255,business,CA,AS577 
142.120.133.0,142.120.151.255,isp,CA,AS577 
142.120.152.0,142.120.153.255,business,CA,AS577 
142.120.154.0,142.120.154.255,isp,CA,AS577 
142.120.155.0,142.120.155.255,business,CA,AS577 
142.120.156.0,142.120.156.255,isp,CA,AS577 
142.120.157.0,142.120.166.255,business,CA,AS577 
142.120.167.0,142.120.167.255,isp,CA,AS577 
142.120.168.0,142.120.172.255,business,CA,AS577 
142.120.173.0,142.120.173.255,isp,CA,AS577 
142.120.174.0,142.120.174.255,business,CA,AS577 
142.120.175.0,142.120.175.255,isp,CA,AS577 
142.120.176.0,142.120.183.255,business,CA,AS577 
142.120.184.0,142.120.184.255,isp,CA,AS577 
142.120.185.0,142.120.193.255,business,CA,AS577 
142.120.194.0,142.120.194.255,isp,CA,AS577 
142.120.195.0,142.120.204.255,business,CA,AS577 
142.120.205.0,142.120.205.255,isp,CA,AS577 
142.120.206.0,142.120.207.255,business,CA,AS577 
142.120.208.0,142.120.216.255,isp,CA,AS577 
142.120.217.0,142.120.217.255,business,CA,AS577 
142.120.218.0,142.120.253.255,isp,CA,AS577 
142.120.254.0,142.120.255.255,business,CA,AS577 
