49.236.0.0,49.236.63.255,isp,IT,AS35612 
49.236.64.0,49.236.127.255,business,KR,AS17858 
49.236.128.0,49.236.131.255,business,KR,AS38690 
49.236.132.0,49.236.167.255,hosting,KR,AS23576 
49.236.168.0,49.236.191.255,business,KR,AS38690 
49.236.192.0,49.236.205.255,business,MY,AS17971 
49.236.206.0,49.236.207.254,business,MY, 
49.236.207.255,49.236.207.255,hosting,MY,AS17971 
49.236.208.0,49.236.211.255,hosting,VN,AS135918 
49.236.212.0,49.236.215.255,isp,NP,AS55915 
49.236.216.0,49.236.223.255,business,ID,AS55668 
49.236.224.0,49.236.229.255,business,JP,AS17948 
49.236.230.0,49.236.231.255,business,JP, 
49.236.232.0,49.236.239.255,hosting,JP,AS17957 
49.236.240.0,49.236.255.255,business,AU, 
