49.238.0.0,49.238.31.255,isp,JP,AS9614 
49.238.32.0,49.238.33.255,isp,IN,AS17771 
49.238.34.0,49.238.34.255,business,IN, 
49.238.35.0,49.238.36.255,isp,IN,AS17771 
49.238.37.0,49.238.42.255,business,IN, 
49.238.43.0,49.238.44.255,isp,IN,AS17771 
49.238.45.0,49.238.57.255,business,IN, 
49.238.58.0,49.238.58.255,isp,IN,AS17771 
49.238.59.0,49.238.63.255,business,IN, 
49.238.64.0,49.238.127.255,isp,KR, 
49.238.128.0,49.238.255.255,business,KR,AS38690 
