156.241.0.0,156.241.0.255,hosting,US,AS212552 
156.241.1.0,156.241.1.255,business,HK,AS9381 
156.241.2.0,156.241.2.255,business,MY,AS55720 
156.241.3.0,156.241.3.255,isp,HK,AS152179 
156.241.4.0,156.241.7.255,business,HK,AS132585 
156.241.8.0,156.241.8.255,business,HK,AS135357 
156.241.9.0,156.241.13.255,hosting,HK,AS135357 
156.241.14.0,156.241.14.255,business,HK,AS135357 
156.241.15.0,156.241.15.255,hosting,HK,AS135357 
156.241.16.0,156.241.63.255,business,HK, 
156.241.64.0,156.241.127.255,business,HK,AS135097 
156.241.128.0,156.241.128.255,hosting,HK,AS400619 
156.241.129.0,156.241.129.255,business,HK,AS400619 
156.241.130.0,156.241.130.255,hosting,HK,AS400619 
156.241.131.0,156.241.132.255,business,HK,AS400619 
156.241.133.0,156.241.134.255,hosting,HK,AS400619 
156.241.135.0,156.241.135.255,business,HK,AS400619 
156.241.136.0,156.241.136.255,hosting,HK,AS400619 
156.241.137.0,156.241.138.255,business,HK,AS400619 
156.241.139.0,156.241.139.255,business,HK,AS38082 
156.241.140.0,156.241.174.255,business,HK,AS400619 
156.241.175.0,156.241.176.255,hosting,HK,AS400619 
156.241.177.0,156.241.187.255,business,HK,AS400619 
156.241.188.0,156.241.188.255,hosting,HK,AS40065 
156.241.189.0,156.241.189.255,business,HK,AS400619 
156.241.190.0,156.241.191.255,hosting,HK,AS400619 
156.241.192.0,156.241.252.255,business,ZA, 
156.241.253.0,156.241.253.255,business,ZA,AS131471 
156.241.254.0,156.241.255.255,business,ZA, 
