216.123.0.0,216.123.3.127,hosting,CA 
216.123.3.128,216.123.3.191,business,CA 
216.123.3.192,216.123.4.95,hosting,CA 
216.123.4.96,216.123.4.111,business,CA 
216.123.4.112,216.123.66.255,hosting,CA 
216.123.67.0,216.123.67.255,isp,CA 
216.123.68.0,216.123.81.15,hosting,CA 
216.123.81.16,216.123.81.23,business,CA 
216.123.81.24,216.123.106.255,hosting,CA 
216.123.107.0,216.123.108.255,business,CA 
216.123.109.0,216.123.143.255,hosting,CA 
216.123.144.0,216.123.144.7,business,CA 
216.123.144.8,216.123.180.127,hosting,CA 
216.123.180.128,216.123.180.191,business,CA 
216.123.180.192,216.123.191.255,hosting,CA 
216.123.192.0,216.123.192.7,isp,CA 
216.123.192.8,216.123.192.15,business,CA 
216.123.192.16,216.123.192.71,isp,CA 
216.123.192.72,216.123.192.79,business,CA 
216.123.192.80,216.123.192.87,isp,CA 
216.123.192.88,216.123.192.95,business,CA 
216.123.192.96,216.123.192.191,isp,CA 
216.123.192.192,216.123.192.207,business,CA 
216.123.192.208,216.123.194.47,isp,CA 
216.123.194.48,216.123.194.63,business,CA 
216.123.194.64,216.123.195.39,isp,CA 
216.123.195.40,216.123.195.55,business,CA 
216.123.195.56,216.123.195.103,isp,CA 
216.123.195.104,216.123.195.119,business,CA 
216.123.195.120,216.123.195.151,isp,CA 
216.123.195.152,216.123.195.183,business,CA 
216.123.195.184,216.123.195.191,isp,CA 
216.123.195.192,216.123.195.199,business,CA 
216.123.195.200,216.123.195.215,isp,CA 
216.123.195.216,216.123.195.231,business,CA 
216.123.195.232,216.123.195.247,isp,CA 
216.123.195.248,216.123.195.255,business,CA 
216.123.196.0,216.123.198.47,isp,CA 
216.123.198.48,216.123.198.55,business,CA 
216.123.198.56,216.123.198.63,isp,CA 
216.123.198.64,216.123.198.71,business,CA 
216.123.198.72,216.123.198.79,isp,CA 
216.123.198.80,216.123.198.87,business,CA 
216.123.198.88,216.123.198.95,isp,CA 
216.123.198.96,216.123.198.111,business,CA 
216.123.198.112,216.123.198.119,isp,CA 
216.123.198.120,216.123.198.127,business,CA 
216.123.198.128,216.123.198.183,isp,CA 
216.123.198.184,216.123.198.207,business,CA 
216.123.198.208,216.123.206.255,isp,CA 
216.123.207.0,216.123.207.7,business,CA 
216.123.207.8,216.123.207.39,isp,CA 
216.123.207.40,216.123.207.47,business,CA 
216.123.207.48,216.123.207.63,isp,CA 
216.123.207.64,216.123.207.95,business,CA 
216.123.207.96,216.123.207.255,isp,CA 
216.123.208.0,216.123.208.31,business,CA 
216.123.208.32,216.123.208.39,isp,CA 
216.123.208.40,216.123.208.47,business,CA 
216.123.208.48,216.123.208.95,isp,CA 
216.123.208.96,216.123.208.111,business,CA 
216.123.208.112,216.123.208.127,isp,CA 
216.123.208.128,216.123.208.135,business,CA 
216.123.208.136,216.123.208.159,isp,CA 
216.123.208.160,216.123.208.167,business,CA 
216.123.208.168,216.123.208.199,isp,CA 
216.123.208.200,216.123.208.207,business,CA 
216.123.208.208,216.123.208.247,isp,CA 
216.123.208.248,216.123.208.255,business,CA 
216.123.209.0,216.123.210.151,isp,CA 
216.123.210.152,216.123.210.159,business,CA 
216.123.210.160,216.123.210.175,isp,CA 
216.123.210.176,216.123.210.183,business,CA 
216.123.210.184,216.123.210.191,isp,CA 
216.123.210.192,216.123.210.207,business,CA 
216.123.210.208,216.123.210.215,isp,CA 
216.123.210.216,216.123.210.223,business,CA 
216.123.210.224,216.123.210.247,isp,CA 
216.123.210.248,216.123.210.255,business,CA 
216.123.211.0,216.123.211.103,isp,CA 
216.123.211.104,216.123.211.111,business,CA 
216.123.211.112,216.123.211.135,isp,CA 
216.123.211.136,216.123.211.143,business,CA 
216.123.211.144,216.123.211.199,isp,CA 
216.123.211.200,216.123.211.207,business,CA 
216.123.211.208,216.123.211.223,isp,CA 
216.123.211.224,216.123.211.239,business,CA 
216.123.211.240,216.123.214.79,isp,CA 
216.123.214.80,216.123.214.87,business,CA 
216.123.214.88,216.123.214.127,isp,CA 
216.123.214.128,216.123.214.151,business,CA 
216.123.214.152,216.123.216.7,isp,CA 
216.123.216.8,216.123.216.23,business,CA 
216.123.216.24,216.123.216.39,isp,CA 
216.123.216.40,216.123.216.71,business,CA 
216.123.216.72,216.123.216.95,isp,CA 
216.123.216.96,216.123.216.103,isp,US 
216.123.216.104,216.123.216.111,isp,CA 
216.123.216.112,216.123.216.119,business,CA 
216.123.216.120,216.123.216.135,isp,CA 
216.123.216.136,216.123.216.143,business,CA 
216.123.216.144,216.123.216.175,isp,CA 
216.123.216.176,216.123.216.183,business,CA 
216.123.216.184,216.123.216.207,isp,CA 
216.123.216.208,216.123.216.215,business,CA 
216.123.216.216,216.123.217.7,isp,CA 
216.123.217.8,216.123.217.23,business,CA 
216.123.217.24,216.123.217.39,isp,CA 
216.123.217.40,216.123.217.55,business,CA 
216.123.217.56,216.123.217.71,isp,CA 
216.123.217.72,216.123.217.79,business,CA 
216.123.217.80,216.123.217.87,isp,CA 
216.123.217.88,216.123.217.95,business,CA 
216.123.217.96,216.123.217.127,isp,CA 
216.123.217.128,216.123.217.135,business,CA 
216.123.217.136,216.123.217.175,isp,CA 
216.123.217.176,216.123.217.183,business,CA 
216.123.217.184,216.123.217.215,isp,CA 
216.123.217.216,216.123.217.223,education,CA 
216.123.217.224,216.123.217.231,isp,CA 
216.123.217.232,216.123.217.247,business,CA 
216.123.217.248,216.123.219.255,isp,CA 
216.123.220.0,216.123.221.255,business,CA 
216.123.222.0,216.123.222.31,isp,CA 
216.123.222.32,216.123.222.63,education,CA 
216.123.222.64,216.123.222.95,isp,CA 
216.123.222.96,216.123.222.103,business,CA 
216.123.222.104,216.123.222.127,isp,CA 
216.123.222.128,216.123.222.135,business,CA 
216.123.222.136,216.123.222.167,isp,CA 
216.123.222.168,216.123.222.183,business,CA 
216.123.222.184,216.123.222.191,isp,CA 
216.123.222.192,216.123.222.255,business,CA 
216.123.223.0,216.123.224.31,isp,CA 
216.123.224.32,216.123.224.63,business,CA 
216.123.224.64,216.123.224.239,isp,CA 
216.123.224.240,216.123.224.247,business,CA 
216.123.224.248,216.123.225.255,isp,CA 
216.123.226.0,216.123.226.23,business,CA 
216.123.226.24,216.123.226.79,isp,CA 
216.123.226.80,216.123.226.87,business,CA 
216.123.226.88,216.123.226.103,isp,CA 
216.123.226.104,216.123.226.111,business,CA 
216.123.226.112,216.123.226.127,isp,CA 
216.123.226.128,216.123.226.143,business,CA 
216.123.226.144,216.123.226.255,isp,CA 
216.123.227.0,216.123.227.63,business,CA 
216.123.227.64,216.123.227.143,isp,CA 
216.123.227.144,216.123.227.151,business,CA 
216.123.227.152,216.123.227.183,isp,CA 
216.123.227.184,216.123.227.191,business,CA 
216.123.227.192,216.123.228.95,isp,CA 
216.123.228.96,216.123.228.103,business,CA 
216.123.228.104,216.123.228.159,isp,CA 
216.123.228.160,216.123.228.167,business,CA 
216.123.228.168,216.123.229.39,isp,CA 
216.123.229.40,216.123.229.47,business,CA 
216.123.229.48,216.123.229.55,education,CA 
216.123.229.56,216.123.229.95,isp,CA 
216.123.229.96,216.123.229.103,business,CA 
216.123.229.104,216.123.229.111,isp,CA 
216.123.229.112,216.123.229.119,business,CA 
216.123.229.120,216.123.229.215,isp,CA 
216.123.229.216,216.123.229.223,business,CA 
216.123.229.224,216.123.229.239,isp,CA 
216.123.229.240,216.123.229.247,business,CA 
216.123.229.248,216.123.229.255,isp,CA 
216.123.230.0,216.123.230.7,business,CA 
216.123.230.8,216.123.230.71,isp,CA 
216.123.230.72,216.123.230.79,business,CA 
216.123.230.80,216.123.230.103,isp,CA 
216.123.230.104,216.123.230.111,business,CA 
216.123.230.112,216.123.230.151,isp,CA 
216.123.230.152,216.123.230.167,business,CA 
216.123.230.168,216.123.230.207,isp,CA 
216.123.230.208,216.123.230.215,business,CA 
216.123.230.216,216.123.230.231,isp,CA 
216.123.230.232,216.123.230.239,business,CA 
216.123.230.240,216.123.234.31,isp,CA 
216.123.234.32,216.123.234.47,business,CA 
216.123.234.48,216.123.234.87,isp,CA 
216.123.234.88,216.123.234.95,business,CA 
216.123.234.96,216.123.234.127,isp,CA 
216.123.234.128,216.123.234.135,business,CA 
216.123.234.136,216.123.234.207,isp,CA 
216.123.234.208,216.123.234.215,business,CA 
