216.162.0.0,216.162.15.7,business,US,AS11612 
216.162.15.8,216.162.15.15,education,US,AS11612 
216.162.15.16,216.162.15.255,business,US,AS11612 
216.162.16.0,216.162.31.255,education,US,AS46621 
216.162.32.0,216.162.42.255,business,US, 
216.162.43.0,216.162.43.255,business,CA, 
216.162.44.0,216.162.47.255,business,US, 
216.162.48.0,216.162.63.255,education,US,AS1767 
216.162.64.0,216.162.79.255,business,CA, 
216.162.80.0,216.162.95.255,education,US,AS32554 
216.162.96.0,216.162.111.255,isp,US,AS46853 
216.162.112.0,216.162.112.255,business,US,AS16478 
216.162.113.0,216.162.114.191,education,US,AS16478 
216.162.114.192,216.162.114.255,business,US,AS16478 
216.162.115.0,216.162.115.31,education,US,AS16478 
216.162.115.32,216.162.115.63,business,US,AS16478 
216.162.115.64,216.162.115.95,education,US,AS16478 
216.162.115.96,216.162.116.15,business,US,AS16478 
216.162.116.16,216.162.116.47,education,US,AS16478 
216.162.116.48,216.162.116.63,business,US,AS16478 
216.162.116.64,216.162.116.79,education,US,AS16478 
216.162.116.80,216.162.116.255,business,US,AS16478 
216.162.117.0,216.162.117.127,education,US,AS16478 
216.162.117.128,216.162.117.255,business,US,AS16478 
216.162.118.0,216.162.118.31,education,US,AS16478 
216.162.118.32,216.162.127.255,business,US,AS16478 
216.162.128.0,216.162.128.255,isp,US,AS23473 
216.162.129.0,216.162.129.31,business,US,AS23473 
216.162.129.32,216.162.129.39,isp,US,AS23473 
216.162.129.40,216.162.129.47,business,US,AS23473 
216.162.129.48,216.162.129.111,isp,US,AS23473 
216.162.129.112,216.162.129.127,business,US,AS23473 
216.162.129.128,216.162.129.191,isp,US,AS23473 
216.162.129.192,216.162.129.231,business,US,AS23473 
216.162.129.232,216.162.131.31,isp,US,AS23473 
216.162.131.32,216.162.131.63,business,US,AS23473 
216.162.131.64,216.162.131.143,isp,US,AS23473 
216.162.131.144,216.162.131.151,business,US,AS23473 
216.162.131.152,216.162.132.3,isp,US,AS23473 
216.162.132.4,216.162.132.15,business,US,AS23473 
216.162.132.16,216.162.132.127,isp,US,AS23473 
216.162.132.128,216.162.132.239,business,US,AS23473 
216.162.132.240,216.162.133.31,isp,US,AS23473 
216.162.133.32,216.162.133.63,business,US,AS23473 
216.162.133.64,216.162.133.207,isp,US,AS23473 
216.162.133.208,216.162.133.223,business,US,AS23473 
216.162.133.224,216.162.136.255,isp,US,AS23473 
216.162.137.0,216.162.137.255,business,US,AS23473 
216.162.138.0,216.162.139.127,isp,US,AS23473 
216.162.139.128,216.162.139.231,business,US,AS23473 
216.162.139.232,216.162.140.255,isp,US,AS23473 
216.162.141.0,216.162.141.255,business,US,AS23473 
216.162.142.0,216.162.143.255,isp,US,AS23473 
216.162.144.0,216.162.144.7,business,US,AS23473 
216.162.144.8,216.162.144.31,isp,US,AS23473 
216.162.144.32,216.162.144.63,business,US,AS23473 
216.162.144.64,216.162.144.95,isp,US,AS23473 
216.162.144.96,216.162.144.143,business,US,AS23473 
216.162.144.144,216.162.144.223,isp,US,AS23473 
216.162.144.224,216.162.146.127,business,US,AS23473 
216.162.146.128,216.162.147.255,isp,US,AS23473 
216.162.148.0,216.162.148.63,business,US,AS23473 
216.162.148.64,216.162.148.223,isp,US,AS23473 
216.162.148.224,216.162.148.255,business,US,AS23473 
216.162.149.0,216.162.149.255,education,US,AS23473 
216.162.150.0,216.162.151.255,business,US,AS23473 
216.162.152.0,216.162.153.255,isp,US,AS23473 
216.162.154.0,216.162.156.255,business,US,AS23473 
216.162.157.0,216.162.158.255,education,US,AS23473 
216.162.159.0,216.162.159.255,business,US,AS23473 
216.162.160.0,216.162.160.255,hosting,US,AS23308 
216.162.161.0,216.162.161.239,business,US,AS23308 
216.162.161.240,216.162.161.255,hosting,US,AS23308 
