216.165.0.0,216.165.87.255,education,US 
216.165.88.0,216.165.88.255,education,GB 
216.165.89.0,216.165.127.255,education,US 
216.165.128.0,216.165.131.255,isp,US 
216.165.132.0,216.165.132.255,business,US 
216.165.133.0,216.165.134.23,isp,US 
216.165.134.24,216.165.134.27,business,US 
216.165.134.28,216.165.134.51,isp,US 
216.165.134.52,216.165.134.63,business,US 
216.165.134.64,216.165.134.87,isp,US 
216.165.134.88,216.165.134.91,business,US 
216.165.134.92,216.165.134.103,isp,US 
216.165.134.104,216.165.134.119,business,US 
216.165.134.120,216.165.134.127,isp,US 
216.165.134.128,216.165.134.135,education,US 
216.165.134.136,216.165.134.167,isp,US 
216.165.134.168,216.165.134.175,business,US 
216.165.134.176,216.165.134.223,isp,US 
216.165.134.224,216.165.134.239,business,US 
216.165.134.240,216.165.137.7,isp,US 
216.165.137.8,216.165.137.19,business,US 
216.165.137.20,216.165.137.23,isp,US 
216.165.137.24,216.165.137.39,business,US 
216.165.137.40,216.165.137.63,isp,US 
216.165.137.64,216.165.137.79,business,US 
216.165.137.80,216.165.137.95,isp,US 
216.165.137.96,216.165.137.99,business,US 
216.165.137.100,216.165.137.103,isp,US 
216.165.137.104,216.165.137.105,business,US 
216.165.137.106,216.165.137.107,isp,US 
216.165.137.108,216.165.137.111,business,US 
216.165.137.112,216.165.137.115,isp,US 
216.165.137.116,216.165.137.119,business,US 
216.165.137.120,216.165.137.143,isp,US 
216.165.137.144,216.165.137.151,business,US 
216.165.137.152,216.165.137.175,isp,US 
216.165.137.176,216.165.137.183,business,US 
216.165.137.184,216.165.138.159,isp,US 
216.165.138.160,216.165.138.167,business,US 
216.165.138.168,216.165.138.255,isp,US 
216.165.139.0,216.165.139.7,business,US 
216.165.139.8,216.165.139.215,isp,US 
216.165.139.216,216.165.139.239,business,US 
216.165.139.240,216.165.140.15,isp,US 
216.165.140.16,216.165.140.23,business,US 
216.165.140.24,216.165.140.59,isp,US 
216.165.140.60,216.165.140.67,business,US 
216.165.140.68,216.165.140.91,isp,US 
216.165.140.92,216.165.140.95,business,US 
216.165.140.96,216.165.140.119,isp,US 
216.165.140.120,216.165.140.123,business,US 
216.165.140.124,216.165.140.167,isp,US 
216.165.140.168,216.165.140.175,business,US 
216.165.140.176,216.165.140.179,isp,US 
216.165.140.180,216.165.140.187,business,US 
216.165.140.188,216.165.140.191,isp,US 
216.165.140.192,216.165.140.199,business,US 
216.165.140.200,216.165.140.215,isp,US 
216.165.140.216,216.165.140.231,business,US 
216.165.140.232,216.165.141.255,isp,US 
216.165.142.0,216.165.142.15,business,US 
216.165.142.16,216.165.142.35,isp,US 
216.165.142.36,216.165.142.67,business,US 
216.165.142.68,216.165.142.99,isp,US 
216.165.142.100,216.165.142.119,business,US 
216.165.142.120,216.165.142.123,isp,US 
216.165.142.124,216.165.142.127,business,US 
216.165.142.128,216.165.142.139,isp,US 
216.165.142.140,216.165.142.143,business,US 
216.165.142.144,216.165.142.147,isp,US 
216.165.142.148,216.165.142.167,business,US 
216.165.142.168,216.165.142.171,isp,US 
216.165.142.172,216.165.142.175,business,US 
216.165.142.176,216.165.153.231,isp,US 
216.165.153.232,216.165.153.239,business,US 
216.165.153.240,216.165.155.55,isp,US 
216.165.155.56,216.165.155.63,business,US 
216.165.155.64,216.165.155.247,isp,US 
216.165.155.248,216.165.155.255,business,US 
216.165.156.0,216.165.160.151,isp,US 
216.165.160.152,216.165.160.159,business,US 
216.165.160.160,216.165.161.103,isp,US 
216.165.161.104,216.165.161.111,business,US 
216.165.161.112,216.165.161.167,isp,US 
216.165.161.168,216.165.161.179,business,US 
216.165.161.180,216.165.161.255,isp,US 
216.165.162.0,216.165.162.15,business,US 
216.165.162.16,216.165.162.127,isp,US 
216.165.162.128,216.165.162.135,business,US 
216.165.162.136,216.165.162.151,isp,US 
216.165.162.152,216.165.162.159,business,US 
