216.235.0.0,216.235.15.255,hosting,CA,AS13657 
216.235.16.0,216.235.31.255,business,US,AS53624 
216.235.32.0,216.235.34.7,isp,US,AS6534 
216.235.34.8,216.235.34.15,business,US,AS6534 
216.235.34.16,216.235.34.31,isp,US,AS6534 
216.235.34.32,216.235.34.239,business,US,AS6534 
216.235.34.240,216.235.35.15,isp,US,AS6534 
216.235.35.16,216.235.35.60,business,US,AS6534 
216.235.35.61,216.235.35.63,isp,US,AS6534 
216.235.35.64,216.235.35.239,business,US,AS6534 
216.235.35.240,216.235.35.255,isp,US,AS6534 
216.235.36.0,216.235.36.255,business,US,AS6534 
216.235.37.0,216.235.37.15,isp,US,AS6534 
216.235.37.16,216.235.37.247,business,US,AS6534 
216.235.37.248,216.235.40.15,isp,US,AS6534 
216.235.40.16,216.235.40.31,business,US,AS6534 
216.235.40.32,216.235.40.63,isp,US,AS6534 
216.235.40.64,216.235.40.239,business,US,AS6534 
216.235.40.240,216.235.41.15,isp,US,AS6534 
216.235.41.16,216.235.41.247,business,US,AS6534 
216.235.41.248,216.235.42.255,isp,US,AS6534 
216.235.43.0,216.235.56.255,business,US,AS6534 
216.235.57.0,216.235.57.255,isp,US,AS6534 
216.235.58.0,216.235.59.255,business,US,AS6534 
216.235.60.0,216.235.62.31,isp,US,AS6534 
216.235.62.32,216.235.62.63,business,US,AS6534 
216.235.62.64,216.235.62.127,isp,US,AS6534 
216.235.62.128,216.235.62.223,business,US,AS6534 
216.235.62.224,216.235.63.31,isp,US,AS6534 
216.235.63.32,216.235.63.239,business,US,AS6534 
216.235.63.240,216.235.63.255,isp,US,AS6534 
216.235.64.0,216.235.79.255,hosting,US,AS11595 
216.235.80.0,216.235.95.255,hosting,US,AS40501 
216.235.96.0,216.235.102.255,isp,US,AS22054 
216.235.103.0,216.235.103.31,business,US,AS22054 
216.235.103.32,216.235.103.63,isp,US,AS22054 
216.235.103.64,216.235.103.71,business,US,AS22054 
216.235.103.72,216.235.103.191,isp,US,AS22054 
216.235.103.192,216.235.103.199,business,US,AS22054 
216.235.103.200,216.235.103.207,isp,US,AS22054 
216.235.103.208,216.235.103.223,business,US,AS22054 
216.235.103.224,216.235.105.255,isp,US,AS22054 
216.235.106.0,216.235.106.103,business,US,AS22054 
216.235.106.104,216.235.106.111,isp,US,AS22054 
216.235.106.112,216.235.106.207,business,US,AS22054 
216.235.106.208,216.235.107.79,isp,US,AS22054 
216.235.107.80,216.235.107.111,business,US,AS22054 
216.235.107.112,216.235.127.255,isp,US,AS22054 
216.235.128.0,216.235.128.255,hosting,US,AS6461 
216.235.129.0,216.235.129.7,business,US,AS6461 
216.235.129.8,216.235.129.39,hosting,US,AS6461 
216.235.129.40,216.235.129.47,business,US,AS6461 
216.235.129.48,216.235.129.127,hosting,US,AS6461 
216.235.129.128,216.235.129.175,business,US,AS6461 
216.235.129.176,216.235.129.215,hosting,US,AS6461 
216.235.129.216,216.235.129.223,business,US,AS6461 
216.235.129.224,216.235.129.239,isp,US,AS6461 
