216.149.0.0,216.149.4.203,isp,US,AS2828 
216.149.4.204,216.149.4.207,business,US,AS2828 
216.149.4.208,216.149.123.251,isp,US,AS2828 
216.149.123.252,216.149.123.255,business,US,AS2828 
216.149.124.0,216.149.135.131,isp,US,AS2828 
216.149.135.132,216.149.135.135,business,US,AS2828 
216.149.135.136,216.149.153.43,isp,US,AS2828 
216.149.153.44,216.149.153.47,business,US,AS2828 
216.149.153.48,216.149.176.255,isp,US,AS2828 
216.149.177.0,216.149.178.255,business,US,AS2828 
216.149.179.0,216.149.200.255,isp,US,AS2828 
216.149.201.0,216.149.201.255,business,US,AS2828 
216.149.202.0,216.149.214.255,isp,US,AS2828 
216.149.215.0,216.149.215.255,business,US,AS2828 
216.149.216.0,216.149.218.255,isp,US,AS2828 
216.149.219.0,216.149.219.255,business,US,AS2828 
216.149.220.0,216.149.255.255,isp,US,AS2828 
