216.210.0.0,216.210.55.255,education,US 
216.210.56.0,216.210.57.255,business,US 
216.210.58.0,216.210.63.255,education,US 
216.210.64.0,216.210.95.255,isp,US 
216.210.96.0,216.210.102.0,isp,CA 
216.210.102.1,216.210.102.11,business,CA 
216.210.102.12,216.210.102.47,isp,CA 
216.210.102.48,216.210.102.55,business,CA 
216.210.102.56,216.210.102.95,isp,CA 
216.210.102.96,216.210.102.106,business,CA 
216.210.102.107,216.210.102.111,isp,CA 
216.210.102.112,216.210.102.190,business,US 
216.210.102.191,216.210.108.63,isp,CA 
216.210.108.64,216.210.108.127,business,CA 
216.210.108.128,216.210.111.255,isp,CA 
216.210.112.0,216.210.127.255,business,US 
216.210.128.0,216.210.128.63,hosting,US 
216.210.128.64,216.210.128.95,business,US 
216.210.128.96,216.210.128.143,hosting,US 
216.210.128.144,216.210.128.151,business,US 
216.210.128.152,216.210.128.175,hosting,US 
216.210.128.176,216.210.128.183,business,US 
216.210.128.184,216.210.128.199,hosting,US 
216.210.128.200,216.210.128.207,business,US 
216.210.128.208,216.210.128.223,hosting,US 
216.210.128.224,216.210.128.239,business,US 
216.210.128.240,216.210.130.15,hosting,US 
216.210.130.16,216.210.130.31,business,US 
216.210.130.32,216.210.130.63,hosting,US 
216.210.130.64,216.210.130.71,business,US 
216.210.130.72,216.210.130.79,hosting,US 
216.210.130.80,216.210.130.95,business,US 
216.210.130.96,216.210.130.103,hosting,US 
216.210.130.104,216.210.130.111,business,US 
216.210.130.112,216.210.130.119,hosting,US 
216.210.130.120,216.210.130.127,business,US 
216.210.130.128,216.210.130.167,hosting,US 
216.210.130.168,216.210.130.191,business,US 
216.210.130.192,216.210.130.199,hosting,US 
216.210.130.200,216.210.130.207,business,US 
216.210.130.208,216.210.130.223,hosting,US 
216.210.130.224,216.210.130.231,business,US 
216.210.130.232,216.210.133.127,hosting,US 
216.210.133.128,216.210.133.135,business,US 
216.210.133.136,216.210.133.223,hosting,US 
216.210.133.224,216.210.133.231,business,US 
216.210.133.232,216.210.135.135,hosting,US 
