216.133.8.0,216.133.9.255,business,US 
216.133.10.0,216.133.25.255,isp,US 
216.133.26.0,216.133.27.255,business,US 
216.133.28.0,216.133.77.255,isp,US 
216.133.78.0,216.133.79.255,business,US 
216.133.80.0,216.133.111.255,isp,US 
216.133.112.0,216.133.129.255,business,US 
216.133.130.0,216.133.143.255,isp,US 
216.133.144.0,216.133.151.255,business,US 
216.133.152.0,216.133.207.255,isp,US 
216.133.208.0,216.133.209.255,business,US 
216.133.210.0,216.133.217.255,isp,US 
216.133.218.0,216.133.219.255,business,US 
216.133.220.0,216.133.223.255,isp,US 
216.133.224.0,216.133.224.255,hosting,US 
216.133.225.0,216.133.225.7,business,US 
216.133.225.8,216.133.225.15,hosting,US 
216.133.225.16,216.133.225.31,hosting,GB 
216.133.225.32,216.133.225.39,hosting,US 
216.133.225.40,216.133.225.47,business,US 
216.133.225.48,216.133.225.55,hosting,US 
216.133.225.56,216.133.225.63,isp,US 
216.133.225.64,216.133.225.159,hosting,US 
216.133.225.160,216.133.225.191,business,US 
216.133.225.192,216.133.225.223,hosting,US 
216.133.225.224,216.133.226.255,business,US 
216.133.227.0,216.133.227.31,hosting,US 
216.133.227.32,216.133.227.63,business,US 
216.133.227.64,216.133.227.71,hosting,US 
216.133.227.72,216.133.227.95,business,US 
216.133.227.96,216.133.227.255,hosting,US 
216.133.228.0,216.133.228.7,business,US 
216.133.228.8,216.133.228.71,hosting,US 
216.133.228.72,216.133.228.79,business,US 
216.133.228.80,216.133.228.183,hosting,US 
216.133.228.184,216.133.228.191,business,US 
216.133.228.192,216.133.229.51,hosting,US 
216.133.229.52,216.133.229.55,isp,US 
216.133.229.56,216.133.229.127,hosting,US 
216.133.229.128,216.133.229.135,education,US 
216.133.229.136,216.133.229.143,hosting,US 
216.133.229.144,216.133.229.151,business,US 
216.133.229.152,216.133.229.183,hosting,US 
216.133.229.184,216.133.229.191,business,US 
216.133.229.192,216.133.229.223,hosting,US 
216.133.229.224,216.133.229.239,business,US 
216.133.229.240,216.133.229.247,hosting,US 
216.133.229.248,216.133.229.255,business,US 
216.133.230.0,216.133.230.255,hosting,US 
216.133.231.0,216.133.231.63,business,US 
216.133.231.64,216.133.231.255,hosting,US 
216.133.232.0,216.133.239.223,business,US 
216.133.239.224,216.133.239.239,isp,US 
216.133.239.240,216.133.241.143,business,US 
216.133.241.144,216.133.241.159,education,US 
216.133.241.160,216.133.242.223,business,US 
216.133.242.224,216.133.242.255,isp,US 
216.133.243.0,216.133.244.151,business,US 
216.133.244.152,216.133.244.155,isp,US 
216.133.244.156,216.133.249.255,business,US 
216.133.250.0,216.133.250.15,isp,US 
216.133.250.16,216.133.250.143,business,US 
216.133.250.144,216.133.250.159,isp,US 
216.133.250.160,216.133.251.255,business,US 
216.133.252.0,216.133.252.127,hosting,US 
216.133.252.128,216.133.252.255,business,US 
216.133.253.0,216.133.253.7,hosting,US 
216.133.253.8,216.133.253.23,business,US 
216.133.253.24,216.133.253.47,hosting,US 
216.133.253.48,216.133.253.55,business,US 
216.133.253.56,216.133.253.71,hosting,US 
216.133.253.72,216.133.253.91,business,US 
216.133.253.92,216.133.253.95,hosting,US 
216.133.253.96,216.133.253.127,business,US 
216.133.253.128,216.133.253.199,hosting,US 
216.133.253.200,216.133.253.223,business,US 
216.133.253.224,216.133.254.31,hosting,US 
216.133.254.32,216.133.254.71,business,US 
216.133.254.72,216.133.254.95,hosting,US 
216.133.254.96,216.133.254.159,business,US 
216.133.254.160,216.133.254.191,hosting,US 
216.133.254.192,216.133.254.223,isp,US 
216.133.254.224,216.133.254.255,business,US 
216.133.255.0,216.133.255.255,hosting,US 
