216.128.0.0,216.128.0.255,isp,KE,AS14593 
216.128.1.0,216.128.1.255,isp,LT,AS14593 
216.128.2.0,216.128.3.255,isp,GB,AS14593 
216.128.4.0,216.128.4.255,isp,MT,AS14593 
216.128.5.0,216.128.7.255,isp,ES,AS14593 
216.128.8.0,216.128.8.255,isp,DK,AS14593 
216.128.9.0,216.128.9.255,isp,NL,AS14593 
216.128.10.0,216.128.10.255,isp,ES,AS14593 
216.128.11.0,216.128.11.255,isp,IT,AS14593 
216.128.12.0,216.128.12.255,isp,AZ,AS14593 
216.128.13.0,216.128.13.255,isp,IS,AS14593 
216.128.14.0,216.128.15.255,isp,IL,AS14593 
216.128.16.0,216.128.19.255,isp,ES,AS14593 
216.128.20.0,216.128.21.127,isp,PS,AS14593 
216.128.21.128,216.128.21.255,isp,NL,AS14593 
216.128.22.0,216.128.23.255,isp,FR,AS14593 
216.128.24.0,216.128.24.255,isp,ES,AS14593 
216.128.25.0,216.128.25.255,isp,GR,AS14593 
216.128.26.0,216.128.27.255,isp,IT,AS14593 
216.128.28.0,216.128.29.255,isp,GB,AS14593 
216.128.30.0,216.128.31.255,isp,NL,AS14593 
216.128.32.0,216.128.63.255,business,US,AS109 
216.128.64.0,216.128.66.255,isp,US,AS398025 
216.128.67.0,216.128.67.255,business,US,AS398025 
216.128.68.0,216.128.71.255,isp,US,AS398025 
216.128.72.0,216.128.72.255,business,US,AS398025 
216.128.73.0,216.128.78.255,isp,US,AS398025 
216.128.79.0,216.128.79.255,business,US,AS398025 
216.128.80.0,216.128.87.255,isp,US,AS398025 
216.128.88.0,216.128.88.255,business,US,AS398025 
216.128.89.0,216.128.95.255,isp,US,AS398025 
216.128.96.0,216.128.111.255,isp,US,AS10973 
216.128.112.0,216.128.127.255,business,US,AS30142 
216.128.128.0,216.128.175.255,hosting,US,AS20473 
216.128.176.0,216.128.183.255,hosting,CA,AS20473 
216.128.184.0,216.128.191.255,hosting,US,AS20473 
216.128.192.0,216.128.207.255,business,US,AS7254 
216.128.208.0,216.128.223.255,education,US,AS7896 
216.128.224.0,216.128.237.127,isp,US,AS26223 
216.128.237.128,216.128.237.151,business,US,AS26223 
216.128.237.152,216.128.237.159,isp,US,AS26223 
216.128.237.160,216.128.237.191,business,US,AS26223 
216.128.237.192,216.128.237.199,isp,US,AS26223 
216.128.237.200,216.128.237.207,business,US,AS26223 
216.128.237.208,216.128.238.175,isp,US,AS26223 
216.128.238.176,216.128.238.191,business,US,AS26223 
216.128.238.192,216.128.238.239,isp,US,AS26223 
216.128.238.240,216.128.238.247,business,US,AS26223 
216.128.238.248,216.128.239.255,isp,US,AS26223 
216.128.240.0,216.128.255.255,hosting,US,AS40289 
