197.231.0.0,197.231.31.255,isp,MR,AS37541 
197.231.32.0,197.231.63.255,isp,LS,AS37057 
197.231.64.0,197.231.127.255,business,GA,AS37582 
197.231.128.0,197.231.129.127,isp,GM,AS37503 
197.231.129.128,197.231.129.131,business,GM,AS37503 
197.231.129.132,197.231.129.183,isp,GM,AS37503 
197.231.129.184,197.231.129.187,business,GM,AS37503 
197.231.129.188,197.231.132.43,isp,GM,AS37503 
197.231.132.44,197.231.132.47,business,GM,AS37503 
197.231.132.48,197.231.132.143,isp,GM,AS37503 
197.231.132.144,197.231.132.147,business,GM,AS37503 
197.231.132.148,197.231.132.159,isp,GM,AS37503 
197.231.132.160,197.231.132.163,business,GM,AS37503 
197.231.132.164,197.231.132.235,isp,GM,AS37503 
197.231.132.236,197.231.132.239,business,GM,AS37503 
197.231.132.240,197.231.133.51,isp,GM,AS37503 
197.231.133.52,197.231.133.55,business,GM,AS37503 
197.231.133.56,197.231.135.255,isp,GM,AS37503 
197.231.136.0,197.231.143.255,isp,MU,AS2609 
197.231.144.0,197.231.148.255,isp,ZA,AS37172 
197.231.149.0,197.231.149.255,business,ZA,AS37172 
197.231.150.0,197.231.151.255,isp,ZA,AS37172 
197.231.152.0,197.231.159.255,isp,LR,AS37410 
197.231.160.0,197.231.167.255,isp,ZA,AS25818 
197.231.168.0,197.231.168.111,isp,ZA,AS37055 
197.231.168.112,197.231.168.115,business,SS,AS37055 
197.231.168.116,197.231.168.231,isp,ZA,AS37055 
197.231.168.232,197.231.168.235,business,ZA,AS37055 
197.231.168.236,197.231.169.7,isp,ZA,AS37055 
197.231.169.8,197.231.169.15,business,ZA,AS37055 
197.231.169.16,197.231.169.47,isp,ZA,AS37055 
197.231.169.48,197.231.169.55,business,ZA,AS37055 
197.231.169.56,197.231.169.63,isp,ZA,AS37055 
197.231.169.64,197.231.169.79,business,ZA,AS37055 
197.231.169.80,197.231.169.95,isp,ZA,AS37055 
197.231.169.96,197.231.169.103,business,ZA,AS37055 
197.231.169.104,197.231.169.143,isp,ZA,AS37055 
197.231.169.144,197.231.169.151,business,ZA,AS37055 
197.231.169.152,197.231.169.255,isp,ZA,AS37055 
197.231.170.0,197.231.170.3,business,ZA,AS37055 
197.231.170.4,197.231.170.127,isp,ZA,AS37055 
197.231.170.128,197.231.170.143,business,ZA,AS37055 
197.231.170.144,197.231.170.243,isp,ZA,AS37055 
197.231.170.244,197.231.170.247,business,ZA,AS37055 
197.231.170.248,197.231.171.23,isp,ZA,AS37055 
197.231.171.24,197.231.171.31,business,ZA,AS37055 
197.231.171.32,197.231.171.63,isp,ZA,AS37055 
197.231.171.64,197.231.171.75,business,ZA,AS37055 
197.231.171.76,197.231.171.79,isp,ZA,AS37055 
197.231.171.80,197.231.171.95,business,ZA,AS37055 
197.231.171.96,197.231.173.255,isp,ZA,AS37055 
197.231.174.0,197.231.174.255,business,ZA,AS37055 
197.231.175.0,197.231.175.255,isp,ZA,AS37055 
197.231.176.0,197.231.183.255,isp,KE,AS37305 
197.231.184.0,197.231.184.191,isp,MU, 
197.231.184.192,197.231.184.255,business,MU, 
197.231.185.0,197.231.191.191,isp,MU, 
197.231.191.192,197.231.191.255,business,MU, 
197.231.192.0,197.231.192.255,isp,BW,AS37604 
197.231.193.0,197.231.193.35,business,BW,AS37604 
197.231.193.36,197.231.193.39,isp,BW,AS37604 
197.231.193.40,197.231.193.115,business,BW,AS37604 
197.231.193.116,197.231.193.123,education,BW,AS37604 
197.231.193.124,197.231.193.187,business,BW,AS37604 
197.231.193.188,197.231.195.255,isp,BW,AS37604 
197.231.196.0,197.231.196.255,business,ZA,AS37549 
197.231.197.0,197.231.197.255,isp,ZA,AS37549 
197.231.198.0,197.231.199.255,business,ZA,AS37549 
197.231.200.0,197.231.203.255,isp,SO,AS37563 
197.231.204.0,197.231.207.255,isp,GM,AS37552 
197.231.208.0,197.231.211.255,isp,MU,AS2609 
197.231.212.0,197.231.215.255,isp,CI,AS36974 
197.231.216.0,197.231.218.255,isp,MZ,AS37556 
197.231.219.0,197.231.219.255,business,MZ, 
197.231.220.0,197.231.223.255,business,LR,AS39287 
197.231.224.0,197.231.227.255,isp,CI,AS36974 
197.231.228.0,197.231.229.163,isp,LY,AS37566 
197.231.229.164,197.231.229.167,business,LY,AS37566 
197.231.229.168,197.231.231.255,isp,LY,AS37566 
197.231.232.0,197.231.232.255,isp,ZA,AS37564 
197.231.233.0,197.231.233.15,business,ZA,AS37564 
197.231.233.16,197.231.233.31,isp,ZA,AS37564 
197.231.233.32,197.231.233.47,business,ZA,AS37564 
197.231.233.48,197.231.233.79,isp,ZA,AS37564 
197.231.233.80,197.231.233.95,business,ZA,AS37564 
197.231.233.96,197.231.233.143,isp,ZA,AS37564 
197.231.233.144,197.231.233.175,business,ZA,AS37564 
197.231.233.176,197.231.233.191,isp,ZA,AS37564 
197.231.233.192,197.231.233.207,business,ZA,AS37564 
197.231.233.208,197.231.233.223,isp,ZA,AS37564 
197.231.233.224,197.231.233.255,business,ZA,AS37564 
197.231.234.0,197.231.235.255,isp,ZA,AS37564 
197.231.236.0,197.231.239.255,isp,SS,AS37594 
197.231.240.0,197.231.243.255,isp,CI,AS36974 
197.231.244.0,197.231.245.255,business,ZM,AS37569 
197.231.246.0,197.231.247.255,isp,ZM,AS37569 
197.231.248.0,197.231.251.255,isp,MU,AS2609 
197.231.252.0,197.231.255.255,isp,CD,AS37571 
