197.255.0.0,197.255.52.199,isp,NG 
197.255.52.200,197.255.52.207,business,NG 
197.255.52.208,197.255.63.255,isp,NG 
197.255.64.0,197.255.127.255,education,GH 
197.255.128.0,197.255.143.255,isp,CV 
197.255.144.0,197.255.159.255,isp,ZA 
197.255.160.0,197.255.175.255,isp,NG 
197.255.176.0,197.255.191.255,isp,CG 
197.255.192.0,197.255.207.255,isp,GM 
197.255.208.0,197.255.212.15,isp,NG 
197.255.212.16,197.255.212.23,business,NG 
197.255.212.24,197.255.217.255,isp,NG 
197.255.218.0,197.255.218.3,business,NG 
197.255.218.4,197.255.220.167,isp,NG 
197.255.220.168,197.255.220.175,business,NG 
197.255.220.176,197.255.220.191,isp,NG 
197.255.220.192,197.255.220.195,business,NG 
197.255.220.196,197.255.223.255,isp,NG 
197.255.224.0,197.255.224.63,isp,KM 
197.255.224.64,197.255.224.71,business,KM 
197.255.224.72,197.255.224.191,isp,KM 
197.255.224.192,197.255.224.207,business,KM 
197.255.224.208,197.255.238.255,isp,KM 
197.255.239.0,197.255.239.255,business,KM 
197.255.240.0,197.255.243.255,isp,ZA 
197.255.244.0,197.255.244.63,hosting,NG 
197.255.244.64,197.255.247.255,business,NG 
197.255.248.0,197.255.251.255,isp,MU 
197.255.252.0,197.255.255.255,isp,NG 
