197.149.0.0,197.149.63.255,isp,MG,AS37054 
197.149.64.0,197.149.118.255,isp,NG,AS37480 
197.149.119.0,197.149.119.255,business,NG,AS37480 
197.149.120.0,197.149.124.255,isp,NG,AS37480 
197.149.125.0,197.149.125.255,business,NG,AS37480 
197.149.126.0,197.149.127.255,isp,NG,AS37480 
197.149.128.0,197.149.131.255,isp,TD,AS37462 
197.149.132.0,197.149.135.255,isp,CI,AS36974 
197.149.136.0,197.149.139.255,isp,CG,AS37463 
197.149.140.0,197.149.143.255,isp,CI,AS36974 
197.149.144.0,197.149.144.255,hosting,ZA,AS37667 
197.149.145.0,197.149.147.255,isp,ZA,AS37667 
197.149.148.0,197.149.148.15,hosting,AO,AS37468 
197.149.148.16,197.149.148.19,isp,AO,AS37468 
197.149.148.20,197.149.148.39,hosting,AO,AS37468 
197.149.148.40,197.149.148.59,isp,AO,AS37468 
197.149.148.60,197.149.148.75,hosting,AO,AS37468 
197.149.148.76,197.149.148.79,business,AO,AS37468 
197.149.148.80,197.149.148.103,hosting,AO,AS37468 
197.149.148.104,197.149.148.107,isp,AO,AS37468 
197.149.148.108,197.149.148.115,hosting,AO,AS37468 
197.149.148.116,197.149.148.119,isp,AO,AS37468 
197.149.148.120,197.149.148.207,hosting,AO,AS37468 
197.149.148.208,197.149.148.231,business,AO,AS37468 
197.149.148.232,197.149.148.243,hosting,AO,AS37468 
197.149.148.244,197.149.148.255,isp,AO,AS37468 
197.149.149.0,197.149.149.95,hosting,AO,AS37468 
197.149.149.96,197.149.149.99,isp,AO,AS37468 
197.149.149.100,197.149.149.103,hosting,AO,AS37468 
197.149.149.104,197.149.149.111,isp,AO,AS37468 
197.149.149.112,197.149.149.135,hosting,AO,AS37468 
197.149.149.136,197.149.149.163,isp,AO,AS37468 
197.149.149.164,197.149.150.111,hosting,AO,AS37468 
197.149.150.112,197.149.150.119,isp,AO,AS37468 
197.149.150.120,197.149.150.131,hosting,AO,AS37468 
197.149.150.132,197.149.150.135,isp,AO,AS37468 
197.149.150.136,197.149.150.159,hosting,AO,AS37468 
197.149.150.160,197.149.150.167,business,AO,AS37468 
197.149.150.168,197.149.150.175,business,NG,AS37468 
197.149.150.176,197.149.150.183,hosting,AO,AS37468 
197.149.150.184,197.149.150.191,business,ZA,AS37468 
197.149.150.192,197.149.150.255,business,AO,AS37468 
197.149.151.0,197.149.151.63,hosting,AO,AS37468 
197.149.151.64,197.149.151.67,isp,AO,AS37468 
197.149.151.68,197.149.151.255,hosting,AO,AS37468 
197.149.152.0,197.149.155.255,isp,CI,AS36974 
197.149.156.0,197.149.159.255,isp,MU,AS2609 
197.149.160.0,197.149.163.255,business,ZA,AS37438 
197.149.164.0,197.149.167.255,isp,CI,AS36974 
197.149.168.0,197.149.171.255,isp,GQ, 
197.149.172.0,197.149.175.255,isp,CI,AS36974 
197.149.176.0,197.149.179.255,business,TZ,AS327795 
197.149.180.0,197.149.183.255,business,ZA,AS37356 
197.149.184.0,197.149.184.255,isp,CD,AS37453 
197.149.185.0,197.149.185.255,isp,CD, 
197.149.186.0,197.149.187.255,isp,CD,AS37453 
197.149.188.0,197.149.191.255,isp,MU,AS2609 
197.149.192.0,197.149.194.255,isp,GN,AS37461 
197.149.195.0,197.149.195.255,business,GN, 
197.149.196.0,197.149.210.255,isp,GN,AS37461 
197.149.211.0,197.149.213.255,isp,GN, 
197.149.214.0,197.149.214.255,isp,GN,AS37461 
197.149.215.0,197.149.216.255,isp,GN, 
197.149.217.0,197.149.219.255,isp,GN,AS37461 
197.149.220.0,197.149.223.255,isp,GN, 
197.149.224.0,197.149.255.255,isp,GN,AS37461 
