197.215.0.0,197.215.3.255,hosting,SL,AS37164 
197.215.4.0,197.215.4.255,business,SL,AS37164 
197.215.5.0,197.215.99.255,hosting,SL,AS37164 
197.215.100.0,197.215.100.255,business,SL,AS37164 
197.215.101.0,197.215.102.255,isp,SL, 
197.215.103.0,197.215.103.255,business,SL,AS37164 
197.215.104.0,197.215.104.255,isp,SL, 
197.215.105.0,197.215.127.255,hosting,SL,AS37164 
197.215.128.0,197.215.159.255,business,LY,AS37558 
197.215.160.0,197.215.175.255,isp,ZA,AS327936 
197.215.176.0,197.215.179.255,business,ZA,AS327936 
197.215.180.0,197.215.191.255,isp,ZA,AS327936 
197.215.192.0,197.215.207.255,isp,MG,AS37037 
197.215.208.0,197.215.211.31,isp,ZA,AS37276 
197.215.211.32,197.215.211.47,isp,GS,AS37276 
197.215.211.48,197.215.215.255,isp,ZA,AS37276 
197.215.216.0,197.215.219.255,isp,LR,AS37580 
197.215.220.0,197.215.220.255,isp,CD,AS327870 
197.215.221.0,197.215.221.255,isp,CD, 
197.215.222.0,197.215.222.255,isp,CD,AS43256 
197.215.223.0,197.215.223.255,isp,CD, 
197.215.224.0,197.215.239.255,isp,CI,AS36974 
197.215.240.0,197.215.255.255,isp,TZ, 
