197.234.43.156,197.234.43.163,business,NG,AS29286 
197.234.43.164,197.234.43.167,isp,NG,AS29286 
197.234.43.168,197.234.43.171,business,NG,AS29286 
197.234.43.172,197.234.43.227,isp,NG,AS29286 
197.234.43.228,197.234.43.243,business,NG,AS29286 
197.234.43.244,197.234.43.255,isp,NG,AS29286 
197.234.44.0,197.234.44.55,isp,NG,AS37308 
197.234.44.56,197.234.44.59,business,NG, 
197.234.44.60,197.234.44.63,isp,NG,AS37308 
197.234.44.64,197.234.44.79,isp,NG, 
197.234.44.80,197.234.44.83,isp,NG,AS37308 
197.234.44.84,197.234.44.99,isp,NG, 
197.234.44.100,197.234.44.103,isp,NG,AS37308 
197.234.44.104,197.234.44.107,isp,NG, 
197.234.44.108,197.234.44.111,isp,NG,AS37308 
197.234.44.112,197.234.44.127,isp,NG, 
197.234.44.128,197.234.44.131,isp,NG,AS37308 
197.234.44.132,197.234.44.155,isp,NG, 
197.234.44.156,197.234.44.159,business,NG, 
197.234.44.160,197.234.44.163,isp,NG, 
197.234.44.164,197.234.44.171,business,NG, 
197.234.44.172,197.234.45.119,isp,NG,AS37308 
197.234.45.120,197.234.45.143,isp,NG, 
197.234.45.144,197.234.45.151,isp,NG,AS37308 
197.234.45.152,197.234.45.159,isp,NG, 
197.234.45.160,197.234.45.255,isp,NG,AS37308 
197.234.46.0,197.234.46.39,isp,NG, 
197.234.46.40,197.234.46.43,business,NG, 
197.234.46.44,197.234.46.67,isp,NG, 
197.234.46.68,197.234.46.75,business,NG, 
197.234.46.76,197.234.46.95,isp,NG, 
197.234.46.96,197.234.46.99,business,NG, 
197.234.46.100,197.234.46.107,isp,NG, 
197.234.46.108,197.234.46.119,isp,NG,AS37308 
197.234.46.120,197.234.46.143,isp,NG, 
197.234.46.144,197.234.46.147,business,NG, 
197.234.46.148,197.234.46.151,isp,NG,AS37308 
197.234.46.152,197.234.46.247,business,NG, 
197.234.46.248,197.234.46.251,isp,NG, 
197.234.46.252,197.234.48.115,isp,NG,AS37308 
197.234.48.116,197.234.48.119,business,NG,AS37308 
197.234.48.120,197.234.49.79,isp,NG,AS37308 
197.234.49.80,197.234.49.87,business,NG,AS37308 
197.234.49.88,197.234.49.255,isp,NG,AS37308 
197.234.50.0,197.234.50.7,business,NG,AS37308 
197.234.50.8,197.234.50.15,isp,NG,AS37308 
197.234.50.16,197.234.50.19,business,NG,AS37308 
197.234.50.20,197.234.52.255,isp,NG,AS37308 
197.234.53.0,197.234.53.19,isp,NG, 
197.234.53.20,197.234.53.23,isp,NG,AS37308 
197.234.53.24,197.234.53.27,isp,NG, 
197.234.53.28,197.234.53.31,isp,NG,AS37308 
197.234.53.32,197.234.53.43,isp,NG, 
197.234.53.44,197.234.53.47,isp,NG,AS37308 
197.234.53.48,197.234.53.87,isp,NG, 
197.234.53.88,197.234.53.91,isp,NG,AS37308 
197.234.53.92,197.234.53.99,isp,NG, 
197.234.53.100,197.234.53.103,business,NG, 
197.234.53.104,197.234.53.115,isp,NG, 
197.234.53.116,197.234.53.139,business,NG, 
197.234.53.140,197.234.53.143,isp,NG,AS37308 
197.234.53.144,197.234.53.147,business,NG, 
197.234.53.148,197.234.53.255,isp,NG,AS37308 
197.234.54.0,197.234.54.7,isp,NG,AS29286 
197.234.54.8,197.234.54.15,business,NG,AS29286 
197.234.54.16,197.234.54.63,isp,NG,AS29286 
197.234.54.64,197.234.54.71,business,NG,AS29286 
197.234.54.72,197.234.63.255,isp,NG,AS37308 
197.234.64.0,197.234.67.255,isp,NA,AS33763 
197.234.68.0,197.234.68.31,isp,ZM,AS33763 
197.234.68.32,197.234.87.255,isp,NA,AS33763 
197.234.88.0,197.234.95.255,isp,ZA,AS33763 
197.234.96.0,197.234.110.127,isp,NA,AS33763 
197.234.110.128,197.234.110.131,isp,MU,AS33763 
197.234.110.132,197.234.111.255,isp,NA,AS33763 
197.234.112.0,197.234.112.47,isp,AO,AS33763 
197.234.112.48,197.234.112.63,isp,NA,AS33763 
197.234.112.64,197.234.112.79,isp,AO,AS33763 
197.234.112.80,197.234.112.95,isp,NA,AS33763 
197.234.112.96,197.234.112.111,isp,AO,AS33763 
197.234.112.112,197.234.113.27,isp,NA,AS33763 
197.234.113.28,197.234.113.35,isp,MU,AS33763 
197.234.113.36,197.234.113.135,isp,NA,AS33763 
197.234.113.136,197.234.113.159,isp,AO,AS33763 
197.234.113.160,197.234.113.175,isp,NA,AS33763 
197.234.113.176,197.234.113.183,isp,AO,AS33763 
197.234.113.184,197.234.113.191,isp,NA,AS33763 
197.234.113.192,197.234.113.239,isp,AO,AS33763 
197.234.113.240,197.234.113.255,isp,NA,AS33763 
197.234.114.0,197.234.114.15,isp,AO,AS33763 
197.234.114.16,197.234.116.211,isp,NA,AS33763 
197.234.116.212,197.234.116.215,isp,MU,AS33763 
197.234.116.216,197.234.116.219,isp,NA,AS33763 
197.234.116.220,197.234.116.223,isp,MU,AS33763 
197.234.116.224,197.234.117.87,isp,NA,AS33763 
197.234.117.88,197.234.117.91,isp,MU,AS33763 
197.234.117.92,197.234.117.127,isp,NA,AS33763 
197.234.117.128,197.234.117.255,business,AO,AS33763 
197.234.118.0,197.234.120.255,isp,AO,AS33763 
197.234.121.0,197.234.121.255,isp,NA,AS33763 
197.234.122.0,197.234.123.255,isp,AO,AS33763 
197.234.124.0,197.234.124.231,isp,NA,AS33763 
197.234.124.232,197.234.124.235,isp,MU,AS33763 
197.234.124.236,197.234.125.255,isp,NA,AS33763 
197.234.126.0,197.234.127.255,isp,AO,AS33763 
197.234.128.0,197.234.191.255,isp,ZA,AS37315 
197.234.192.0,197.234.199.255,isp,ZA,AS37358 
197.234.200.0,197.234.200.255,business,ZA,AS37317 
197.234.201.0,197.234.207.255,isp,ZA,AS37317 
197.234.208.0,197.234.215.255,isp,MU,AS2609 
197.234.216.0,197.234.223.255,isp,BJ,AS37424 
197.234.224.0,197.234.227.255,isp,TZ,AS30844 
197.234.228.0,197.234.231.255,isp,CI,AS36974 
197.234.232.0,197.234.235.255,isp,ZA,AS37546 
197.234.236.0,197.234.238.255,hosting,KE,AS37354 
197.234.239.0,197.234.239.255,business,KE,AS37354 
197.234.240.0,197.234.243.255,hosting,ZA,AS13335 
197.234.244.0,197.234.247.255,isp,RW, 
197.234.248.0,197.234.255.255,isp,CI,AS36974 
