37.228.0.0,37.228.63.255,isp,PL,AS5617 
37.228.64.0,37.228.70.127,hosting,KZ,AS35104 
37.228.70.128,37.228.70.175,isp,KZ,AS35104 
37.228.70.176,37.228.71.255,hosting,KZ,AS35104 
37.228.72.0,37.228.72.255,business,NL,AS35470 
37.228.73.0,37.228.79.255,hosting,NL,AS35470 
37.228.80.0,37.228.81.255,business,RU,AS34352 
37.228.82.0,37.228.82.255,business,RU, 
37.228.83.0,37.228.87.255,business,RU,AS34352 
37.228.88.0,37.228.91.255,hosting,RU,AS48347 
37.228.92.0,37.228.92.255,isp,RU,AS48347 
37.228.93.0,37.228.94.7,hosting,RU,AS48347 
37.228.94.8,37.228.94.11,isp,RU,AS48347 
37.228.94.12,37.228.94.35,hosting,RU,AS48347 
37.228.94.36,37.228.94.39,isp,RU,AS48347 
37.228.94.40,37.228.94.59,hosting,RU,AS48347 
37.228.94.60,37.228.94.63,isp,RU,AS48347 
37.228.94.64,37.228.94.107,hosting,RU,AS48347 
37.228.94.108,37.228.94.127,isp,RU,AS48347 
37.228.94.128,37.228.94.255,hosting,RU,AS48347 
37.228.95.0,37.228.95.254,isp,RU,AS205595 
37.228.95.255,37.228.95.255,hosting,RU,AS48347 
37.228.96.0,37.228.103.255,business,ES,AS199171 
37.228.104.0,37.228.111.191,business,US,AS39832 
37.228.111.192,37.228.111.255,hosting,US,AS39832 
37.228.112.0,37.228.118.255,hosting,RU,AS50340 
37.228.119.0,37.228.119.255,business,RU,AS50340 
37.228.120.0,37.228.120.255,business,DE,AS51720 
37.228.121.0,37.228.121.255,business,DE, 
37.228.122.0,37.228.124.255,business,DE,AS51720 
37.228.125.0,37.228.125.255,isp,DE, 
37.228.126.0,37.228.126.255,business,DE,AS203329 
37.228.127.0,37.228.127.255,isp,DE, 
37.228.128.0,37.228.128.255,hosting,IS,AS200651 
37.228.129.0,37.228.129.255,hosting,FI,AS200651 
37.228.130.0,37.228.130.255,hosting,DE,AS50873 
37.228.131.0,37.228.131.255,business,IR, 
37.228.132.0,37.228.132.255,hosting,DE,AS204035 
37.228.133.0,37.228.133.255,business,IR, 
37.228.134.0,37.228.134.255,hosting,DE,AS204035 
37.228.135.0,37.228.139.255,hosting,IR,AS60976 
37.228.140.0,37.228.143.255,isp,DE,AS209400 
37.228.144.0,37.228.147.255,business,DE,AS62336 
37.228.148.0,37.228.148.255,hosting,DE,AS204035 
37.228.149.0,37.228.149.255,hosting,NL,AS204035 
37.228.150.0,37.228.151.255,hosting,DE,AS204035 
37.228.152.0,37.228.152.255,hosting,DE,AS45012 
37.228.153.0,37.228.155.255,business,DE,AS45012 
37.228.156.0,37.228.156.255,hosting,DE,AS45012 
37.228.157.0,37.228.157.255,hosting,DE,AS34432 
37.228.158.0,37.228.159.127,hosting,DE,AS45012 
37.228.159.128,37.228.159.255,business,DE,AS45012 
37.228.160.0,37.228.160.223,business,DE,AS12843 
37.228.160.224,37.228.160.255,hosting,DE,AS12843 
37.228.161.0,37.228.161.191,business,DE,AS12843 
37.228.161.192,37.228.161.207,hosting,DE,AS12843 
37.228.161.208,37.228.162.31,business,DE,AS12843 
37.228.162.32,37.228.162.255,hosting,DE,AS12843 
37.228.163.0,37.228.167.255,business,DE,AS12843 
37.228.168.0,37.228.175.255,hosting,DE,AS12843 
37.228.176.0,37.228.191.255,isp,DE,AS47297 
37.228.192.0,37.228.223.255,business,IE,AS6830 
37.228.224.0,37.228.255.255,isp,IE,AS6830 
