37.252.0.0,37.252.1.255,hosting,RU,AS12722 
37.252.2.0,37.252.2.255,hosting,RU,AS59627 
37.252.3.0,37.252.3.255,business,NL,AS58061 
37.252.4.0,37.252.5.255,hosting,EE,AS34702 
37.252.6.0,37.252.7.255,hosting,PL,AS200088 
37.252.8.0,37.252.9.255,hosting,SE,AS42708 
37.252.10.0,37.252.11.255,hosting,PL,AS200088 
37.252.12.0,37.252.12.255,business,RU,AS59627 
37.252.13.0,37.252.15.255,hosting,NL,AS58061 
37.252.16.0,37.252.19.255,isp,RU,AS58095 
37.252.20.0,37.252.21.255,business,RU, 
37.252.22.0,37.252.23.255,isp,RU,AS58095 
37.252.24.0,37.252.26.255,business,GB,AS8851 
37.252.27.0,37.252.27.255,business,US,AS212384 
37.252.28.0,37.252.28.255,business,GB,AS211439 
37.252.29.0,37.252.29.255,hosting,GB,AS8851 
37.252.30.0,37.252.30.255,business,GB,AS8851 
37.252.31.0,37.252.31.255,hosting,GB,AS8851 
37.252.32.0,37.252.59.255,business,GB,AS44574 
37.252.60.0,37.252.63.255,business,GB,AS5413 
37.252.64.0,37.252.95.255,isp,AM,AS44395 
37.252.96.0,37.252.96.255,hosting,ES,AS50926 
37.252.97.0,37.252.97.255,hosting,ES,AS198934 
37.252.98.0,37.252.98.255,isp,ES,AS198193 
37.252.99.0,37.252.99.255,isp,ES,AS15364 
37.252.100.0,37.252.101.255,isp,ES,AS198193 
37.252.102.0,37.252.102.255,business,ES, 
37.252.103.0,37.252.103.255,business,ES,AS198193 
37.252.104.0,37.252.110.255,isp,DE,AS7155 
37.252.111.0,37.252.111.255,business,DE,AS7155 
37.252.112.0,37.252.119.255,isp,NO,AS61006 
37.252.120.0,37.252.127.255,hosting,NL,AS196752 
37.252.128.0,37.252.159.255,isp,CH,AS48885 
37.252.160.0,37.252.163.255,business,NL,AS29990 
37.252.164.0,37.252.164.255,isp,NL,AS29990 
37.252.165.0,37.252.165.127,business,NL,AS29990 
37.252.165.128,37.252.165.255,hosting,US,AS29990 
37.252.166.0,37.252.166.159,business,NL,AS29990 
37.252.166.160,37.252.166.255,hosting,US,AS29990 
37.252.167.0,37.252.167.127,business,NL,AS29990 
37.252.167.128,37.252.167.143,hosting,US,AS29990 
37.252.167.144,37.252.167.159,business,NL,AS29990 
37.252.167.160,37.252.167.191,hosting,US,AS29990 
37.252.167.192,37.252.167.207,business,NL,AS29990 
37.252.167.208,37.252.167.223,hosting,US,AS29990 
37.252.167.224,37.252.167.255,business,NL,AS29990 
37.252.168.0,37.252.173.255,business,DE,AS29990 
37.252.174.0,37.252.175.255,business,NL,AS29990 
37.252.176.0,37.252.183.255,business,ES, 
37.252.184.0,37.252.191.255,hosting,AT,AS44133 
37.252.192.0,37.252.199.255,business,GB, 
37.252.200.0,37.252.202.31,business,FR,AS7155 
37.252.202.32,37.252.202.63,business,GR,AS7155 
37.252.202.64,37.252.202.95,business,IE,AS7155 
