37.130.0.0,37.130.63.255,isp,PL,AS15874 
37.130.64.0,37.130.127.255,isp,TR,AS34296 
37.130.128.0,37.130.129.255,business,DE,AS51906 
37.130.130.0,37.130.130.255,hosting,DE,AS51906 
37.130.131.0,37.130.136.255,business,DE,AS51906 
37.130.137.0,37.130.143.255,hosting,DE,AS51906 
37.130.144.0,37.130.151.255,business,ES,AS199478 
37.130.152.0,37.130.159.255,isp,IT,AS57846 
37.130.160.0,37.130.191.255,isp,FI,AS16086 
37.130.192.0,37.130.199.255,hosting,RU,AS34545 
37.130.200.0,37.130.204.255,hosting,IR,AS51074 
37.130.205.0,37.130.207.255,hosting,IR,AS35766 
37.130.208.0,37.130.215.255,hosting,ES,AS49650 
37.130.216.0,37.130.223.255,isp,IT,AS205330 
37.130.224.0,37.130.224.255,business,GB,AS13213 
37.130.225.0,37.130.225.255,hosting,GB,AS13213 
37.130.226.0,37.130.227.255,business,GB,AS13213 
37.130.228.0,37.130.228.255,hosting,GB,AS13213 
37.130.229.0,37.130.229.255,business,GB,AS13213 
37.130.230.0,37.130.230.255,hosting,GB,AS13213 
37.130.231.0,37.130.231.255,business,GB,AS13213 
37.130.232.0,37.130.239.255,isp,GB,AS202020 
37.130.240.0,37.130.247.255,isp,BG,AS13124 
37.130.248.0,37.130.248.19,hosting,GB,AS47474 
37.130.248.20,37.130.248.23,business,GB,AS47474 
37.130.248.24,37.130.248.31,hosting,GB,AS47474 
37.130.248.32,37.130.248.79,business,GB,AS47474 
37.130.248.80,37.130.248.143,hosting,GB,AS47474 
37.130.248.144,37.130.248.163,business,GB,AS47474 
37.130.248.164,37.130.248.183,hosting,GB,AS47474 
37.130.248.184,37.130.248.199,business,GB,AS47474 
37.130.248.200,37.130.248.223,hosting,GB,AS47474 
37.130.248.224,37.130.248.239,business,GB,AS47474 
37.130.248.240,37.130.248.247,hosting,GB,AS47474 
37.130.248.248,37.130.248.255,business,GB,AS47474 
37.130.249.0,37.130.249.15,hosting,GB,AS47474 
37.130.249.16,37.130.249.31,business,GB,AS47474 
37.130.249.32,37.130.249.35,hosting,GB,AS47474 
37.130.249.36,37.130.249.43,business,GB,AS47474 
37.130.249.44,37.130.249.63,hosting,GB,AS47474 
37.130.249.64,37.130.249.75,business,GB,AS47474 
37.130.249.76,37.130.249.131,hosting,GB,AS47474 
37.130.249.132,37.130.249.135,business,GB,AS47474 
37.130.249.136,37.130.249.179,hosting,GB,AS47474 
37.130.249.180,37.130.249.191,business,GB,AS47474 
37.130.249.192,37.130.249.207,hosting,GB,AS47474 
37.130.249.208,37.130.249.211,business,GB,AS47474 
37.130.249.212,37.130.249.215,isp,GB,AS47474 
37.130.249.216,37.130.249.223,hosting,GB,AS47474 
37.130.249.224,37.130.249.247,business,GB,AS47474 
37.130.249.248,37.130.250.7,hosting,GB,AS47474 
37.130.250.8,37.130.250.15,business,GB,AS47474 
37.130.250.16,37.130.250.23,hosting,GB,AS47474 
37.130.250.24,37.130.250.35,business,GB,AS47474 
37.130.250.36,37.130.250.43,hosting,GB,AS47474 
37.130.250.44,37.130.250.63,business,GB,AS47474 
37.130.250.64,37.130.250.67,hosting,GB,AS47474 
37.130.250.68,37.130.250.71,business,GB,AS47474 
37.130.250.72,37.130.250.95,hosting,GB,AS47474 
37.130.250.96,37.130.250.103,business,GB,AS47474 
37.130.250.104,37.130.250.106,hosting,GB,AS47474 
37.130.250.107,37.130.250.107,business,GB,AS47474 
37.130.250.108,37.130.250.111,hosting,GB,AS47474 
37.130.250.112,37.130.250.127,business,GB,AS47474 
37.130.250.128,37.130.250.175,hosting,GB,AS47474 
37.130.250.176,37.130.250.199,business,GB,AS47474 
37.130.250.200,37.130.250.223,hosting,GB,AS47474 
37.130.250.224,37.130.250.231,business,GB,AS47474 
