37.123.0.0,37.123.63.255,isp,TR, 
37.123.64.0,37.123.95.255,isp,JO,AS42912 
37.123.96.0,37.123.102.255,isp,TR,AS57844 
37.123.103.0,37.123.103.255,isp,US,AS57844 
37.123.104.0,37.123.105.255,hosting,DE,AS25291 
37.123.106.0,37.123.106.15,hosting,CH,AS25291 
37.123.106.16,37.123.111.255,hosting,DE,AS25291 
37.123.112.0,37.123.112.255,business,DE,AS13213 
37.123.113.0,37.123.113.255,business,GB, 
37.123.114.0,37.123.114.255,hosting,GB,AS13213 
37.123.115.0,37.123.115.255,business,FR,AS13213 
37.123.116.0,37.123.119.255,business,GB, 
37.123.120.0,37.123.120.255,isp,DE,AS197637 
37.123.121.0,37.123.121.15,business,DE,AS197637 
37.123.121.16,37.123.126.255,isp,DE,AS197637 
37.123.127.0,37.123.127.127,business,DE,AS197637 
37.123.127.128,37.123.127.191,isp,DE,AS197637 
37.123.127.192,37.123.127.215,business,DE,AS197637 
37.123.127.216,37.123.127.255,isp,DE,AS197637 
37.123.128.0,37.123.128.23,business,SE,AS8473 
37.123.128.24,37.123.128.25,isp,SE,AS8473 
37.123.128.26,37.123.128.31,business,SE,AS8473 
37.123.128.32,37.123.128.35,isp,SE,AS8473 
37.123.128.36,37.123.128.47,business,SE,AS8473 
37.123.128.48,37.123.128.55,isp,SE,AS8473 
37.123.128.56,37.123.128.63,business,SE,AS8473 
37.123.128.64,37.123.128.127,isp,SE,AS8473 
37.123.128.128,37.123.128.131,business,SE,AS8473 
37.123.128.132,37.123.128.167,isp,SE,AS8473 
37.123.128.168,37.123.128.171,business,SE,AS8473 
37.123.128.172,37.123.128.175,isp,SE,AS8473 
37.123.128.176,37.123.128.183,business,SE,AS8473 
37.123.128.184,37.123.128.189,isp,SE,AS8473 
37.123.128.190,37.123.128.205,business,SE,AS8473 
37.123.128.206,37.123.128.207,isp,SE,AS8473 
37.123.128.208,37.123.128.215,business,SE,AS8473 
37.123.128.216,37.123.129.255,isp,SE,AS8473 
37.123.130.0,37.123.130.25,business,SE,AS8473 
37.123.130.26,37.123.130.27,isp,SE,AS8473 
37.123.130.28,37.123.130.31,business,SE,AS8473 
37.123.130.32,37.123.130.79,isp,SE,AS8473 
37.123.130.80,37.123.130.95,business,SE,AS8473 
37.123.130.96,37.123.134.31,isp,SE,AS8473 
37.123.134.32,37.123.134.71,business,SE,AS8473 
37.123.134.72,37.123.134.75,isp,SE,AS8473 
37.123.134.76,37.123.134.127,business,SE,AS8473 
37.123.134.128,37.123.134.159,isp,SE,AS8473 
37.123.134.160,37.123.134.255,business,SE,AS8473 
37.123.135.0,37.123.135.127,isp,SE,AS8473 
37.123.135.128,37.123.135.191,business,SE,AS8473 
37.123.135.192,37.123.135.231,isp,SE,AS8473 
37.123.135.232,37.123.135.241,business,SE,AS8473 
37.123.135.242,37.123.135.243,isp,SE,AS8473 
37.123.135.244,37.123.135.247,business,SE,AS8473 
37.123.135.248,37.123.137.223,isp,SE,AS8473 
37.123.137.224,37.123.138.19,business,SE,AS8473 
37.123.138.20,37.123.138.23,isp,SE,AS8473 
37.123.138.24,37.123.138.31,business,SE,AS8473 
37.123.138.32,37.123.138.35,isp,SE,AS8473 
37.123.138.36,37.123.138.51,business,SE,AS8473 
37.123.138.52,37.123.138.59,isp,SE,AS8473 
