37.188.0.0,37.188.63.255,isp,RU,AS42277 
37.188.64.0,37.188.71.255,business,NL,AS12871 
37.188.72.0,37.188.79.255,isp,NL, 
37.188.80.0,37.188.87.255,isp,HU,AS21334 
37.188.88.0,37.188.95.255,hosting,FR,AS57951 
37.188.96.0,37.188.97.39,hosting,GB,AS15395 
37.188.97.40,37.188.97.43,isp,GB,AS15395 
37.188.97.44,37.188.103.255,hosting,GB,AS15395 
37.188.104.0,37.188.107.31,business,GB,AS15395 
37.188.107.32,37.188.107.63,hosting,GB,AS15395 
37.188.107.64,37.188.107.255,business,GB,AS15395 
37.188.108.0,37.188.109.223,hosting,GB,AS15395 
37.188.109.224,37.188.109.227,isp,GB,AS15395 
37.188.109.228,37.188.110.57,hosting,GB,AS15395 
37.188.110.58,37.188.110.59,hosting,HR,AS15395 
37.188.110.60,37.188.127.255,hosting,GB,AS15395 
37.188.128.0,37.188.255.255,isp,CZ,AS5610 
