98.173.2.0,98.173.2.255,business,US 
98.173.3.0,98.173.103.255,isp,US 
98.173.104.0,98.173.104.255,business,US 
98.173.105.0,98.173.128.255,isp,US 
98.173.129.0,98.173.129.255,business,US 
98.173.130.0,98.173.138.255,isp,US 
98.173.139.0,98.173.139.255,business,US 
98.173.140.0,98.173.141.255,isp,US 
98.173.142.0,98.173.142.255,business,US 
98.173.143.0,98.173.144.223,isp,US 
98.173.144.224,98.173.144.239,business,US 
98.173.144.240,98.173.148.127,isp,US 
98.173.148.128,98.173.148.254,business,US 
98.173.148.255,98.173.241.255,isp,US 
98.173.242.0,98.173.243.255,business,US 
98.173.244.0,98.174.19.255,isp,US 
