98.111.87.88,98.111.87.95,business,US, 
98.111.87.96,98.111.131.143,isp,US,AS701 
98.111.131.144,98.111.131.151,business,US,AS701 
98.111.131.152,98.111.131.159,isp,US,AS701 
98.111.131.160,98.111.131.167,business,US,AS701 
98.111.131.168,98.111.186.255,isp,US,AS701 
98.111.187.0,98.111.187.31,business,US,AS701 
98.111.187.32,98.111.203.255,isp,US,AS701 
98.111.204.0,98.111.204.7,business,US,AS701 
98.111.204.8,98.111.204.31,isp,US,AS701 
98.111.204.32,98.111.204.39,business,US,AS701 
98.111.204.40,98.111.204.55,isp,US,AS701 
98.111.204.56,98.111.204.79,business,US,AS701 
98.111.204.80,98.111.204.87,isp,US,AS701 
98.111.204.88,98.111.204.119,business,US,AS701 
98.111.204.120,98.111.204.127,isp,US,AS701 
98.111.204.128,98.111.204.143,business,US,AS701 
98.111.204.144,98.111.204.151,education,US,AS701 
98.111.204.152,98.111.216.255,isp,US,AS701 
98.111.217.0,98.111.217.7,business,US,AS701 
98.111.217.8,98.111.228.7,isp,US,AS701 
98.111.228.8,98.111.228.23,business,US,AS701 
98.111.228.24,98.111.228.47,isp,US,AS701 
98.111.228.48,98.111.228.63,business,US,AS701 
98.111.228.64,98.111.228.71,isp,US,AS701 
98.111.228.72,98.111.228.79,business,US,AS701 
98.111.228.80,98.111.228.95,isp,US,AS701 
98.111.228.96,98.111.228.111,business,US,AS701 
98.111.228.112,98.111.228.119,isp,US,AS701 
98.111.228.120,98.111.228.127,business,US,AS701 
98.111.228.128,98.111.228.135,isp,US,AS701 
98.111.228.136,98.111.228.143,business,US,AS701 
98.111.228.144,98.111.240.47,isp,US,AS701 
98.111.240.48,98.111.240.71,business,US,AS701 
98.111.240.72,98.111.240.79,isp,US,AS701 
98.111.240.80,98.111.240.103,business,US,AS701 
98.111.240.104,98.111.240.119,isp,US,AS701 
98.111.240.120,98.111.240.127,business,US,AS701 
98.111.240.128,98.111.248.255,isp,US,AS701 
98.111.249.0,98.111.249.7,business,US,AS701 
98.111.249.8,98.111.249.15,isp,US,AS701 
98.111.249.16,98.111.249.23,business,US,AS701 
98.111.249.24,98.111.249.39,isp,US,AS701 
98.111.249.40,98.111.249.47,education,US,AS701 
98.111.249.48,98.111.249.111,isp,US,AS701 
98.111.249.112,98.111.249.119,business,US,AS701 
98.111.249.120,98.112.34.255,isp,US,AS701 
