198.202.0.0,198.202.7.255,education,US 
198.202.8.0,198.202.23.255,business,US 
198.202.24.0,198.202.30.255,isp,US 
198.202.31.0,198.202.63.255,business,US 
198.202.64.0,198.202.127.255,education,US 
198.202.128.0,198.202.129.255,business,US 
198.202.130.0,198.202.130.255,education,CA 
198.202.131.0,198.202.136.255,business,US 
198.202.137.0,198.202.138.255,hosting,US 
198.202.139.0,198.202.141.255,business,US 
198.202.142.0,198.202.143.255,hosting,US 
198.202.144.0,198.202.145.255,education,US 
198.202.147.0,198.202.147.255,business,US 
198.202.148.0,198.202.148.255,hosting,US 
198.202.149.0,198.202.150.255,business,US 
198.202.151.0,198.202.151.255,education,US 
198.202.152.0,198.202.152.255,business,US 
198.202.153.0,198.202.153.255,education,US 
198.202.154.0,198.202.168.255,business,US 
198.202.169.0,198.202.169.255,education,US 
198.202.170.0,198.202.170.255,business,US 
198.202.171.0,198.202.171.255,hosting,US 
198.202.172.0,198.202.175.255,business,US 
198.202.176.0,198.202.176.255,hosting,US 
198.202.177.0,198.202.182.255,business,US 
198.202.183.0,198.202.183.255,isp,US 
198.202.184.0,198.202.185.255,business,US 
198.202.186.0,198.202.186.255,government,US 
198.202.187.0,198.202.193.255,business,US 
198.202.194.0,198.202.194.255,isp,US 
198.202.195.0,198.202.207.255,business,US 
198.202.208.0,198.202.208.255,hosting,US 
198.202.209.0,198.202.210.255,business,US 
198.202.211.0,198.202.211.255,hosting,US 
198.202.212.0,198.202.227.255,business,US 
198.202.228.0,198.202.228.255,government,US 
198.202.229.0,198.202.232.255,business,US 
198.202.233.0,198.202.233.255,education,US 
198.202.234.0,198.202.237.255,business,US 
198.202.238.0,198.202.238.255,education,US 
198.202.239.0,198.202.241.255,business,US 
198.202.242.0,198.202.242.255,education,US 
198.202.243.0,198.202.244.255,business,US 
198.202.245.0,198.202.245.255,education,US 
198.202.246.0,198.202.246.255,business,US 
198.202.247.0,198.202.247.255,hosting,US 
198.202.248.0,198.202.251.255,business,US 
198.202.252.0,198.202.253.255,government,US 
198.202.254.0,198.203.27.255,business,US 
