198.203.28.0,198.203.63.255,hosting,US 
198.203.64.0,198.203.127.255,education,US 
198.203.128.0,198.203.135.255,business,US 
198.203.136.0,198.203.136.255,hosting,US 
198.203.137.0,198.203.145.255,business,US 
198.203.146.0,198.203.146.255,isp,US 
198.203.147.0,198.203.153.255,business,US 
198.203.154.0,198.203.154.255,isp,US 
198.203.155.0,198.203.172.255,business,US 
198.203.173.0,198.203.173.255,isp,US 
198.203.174.0,198.203.212.255,business,US 
198.203.213.0,198.203.213.255,government,US 
198.203.214.0,198.203.216.255,business,US 
198.203.217.0,198.203.217.255,isp,US 
198.203.218.0,198.203.223.255,business,US 
198.203.224.0,198.203.224.255,hosting,US 
198.203.225.0,198.203.227.255,business,US 
198.203.228.0,198.203.229.255,hosting,US 
198.203.230.0,198.203.231.255,business,US 
198.203.232.0,198.203.232.255,hosting,US 
198.203.233.0,198.203.233.255,education,US 
198.203.234.0,198.203.234.255,business,US 
198.203.235.0,198.203.235.255,business,CA 
198.203.236.0,198.203.249.255,business,US 
198.203.250.0,198.203.254.255,hosting,US 
198.203.255.0,198.204.7.255,business,US 
