198.186.2.0,198.186.2.255,business,IN 
198.186.3.0,198.186.5.255,business,US 
198.186.6.0,198.186.7.255,hosting,US 
198.186.8.0,198.186.15.255,isp,US 
198.186.16.0,198.186.31.255,business,US 
198.186.64.0,198.186.129.255,business,US 
198.186.130.0,198.186.131.255,hosting,US 
198.186.132.0,198.186.134.255,business,US 
198.186.135.0,198.186.136.255,education,US 
198.186.137.0,198.186.139.255,business,US 
198.186.140.0,198.186.140.255,hosting,US 
198.186.141.0,198.186.142.255,business,US 
198.186.143.0,198.186.143.255,isp,US 
198.186.144.0,198.186.150.255,business,US 
198.186.151.0,198.186.151.255,hosting,US 
198.186.152.0,198.186.159.255,business,US 
198.186.160.0,198.186.161.255,isp,US 
198.186.162.0,198.186.164.255,business,US 
198.186.165.0,198.186.166.255,isp,US 
198.186.167.0,198.186.169.255,business,US 
198.186.170.0,198.186.172.255,isp,US 
198.186.173.0,198.186.181.255,business,US 
198.186.182.0,198.186.182.255,education,US 
198.186.183.0,198.186.189.255,business,US 
198.186.190.0,198.186.194.255,hosting,US 
198.186.195.0,198.186.198.255,isp,US 
198.186.199.0,198.186.203.255,business,US 
198.186.204.0,198.186.204.255,education,US 
198.186.205.0,198.186.228.255,business,US 
198.186.229.0,198.186.229.255,government,US 
198.186.230.0,198.186.230.255,business,US 
198.186.231.0,198.186.233.255,isp,US 
198.186.234.0,198.186.234.255,business,US 
198.186.235.0,198.186.235.255,business,BM 
198.186.236.0,198.186.236.255,hosting,US 
198.186.237.0,198.186.241.255,business,US 
198.186.242.0,198.186.242.255,education,US 
198.186.243.0,198.186.245.255,business,US 
198.186.246.0,198.186.252.255,education,US 
198.186.253.0,198.186.253.255,business,US 
198.186.254.0,198.186.254.255,isp,US 
198.186.255.0,198.186.255.255,business,US 
