198.45.0.0,198.45.11.255,government,US,AS5766 
198.45.12.0,198.45.15.255,isp,US,AS394708 
198.45.16.0,198.45.22.255,business,US,AS4546 
198.45.23.0,198.45.23.255,business,SG,AS4546 
198.45.24.0,198.45.25.255,business,US,AS4546 
198.45.26.0,198.45.26.255,business,GB, 
198.45.27.0,198.45.31.255,business,US,AS4546 
198.45.32.0,198.45.47.255,business,US, 
198.45.48.0,198.45.63.255,business,US,AS2906 
198.45.64.0,198.45.113.255,business,US, 
198.45.114.0,198.45.114.255,hosting,US,AS398395 
198.45.115.0,198.45.115.255,business,US,AS398395 
198.45.116.0,198.45.119.255,isp,KZ,AS197556 
198.45.120.0,198.45.123.255,business,US,AS399541 
198.45.124.0,198.45.127.255,isp,US,AS399541 
198.45.128.0,198.45.226.255,isp,US,AS7155 
198.45.227.0,198.45.227.255,isp,GT,AS7155 
198.45.228.0,198.45.239.255,isp,US,AS7155 
198.45.240.0,198.45.241.255,isp,GT,AS7155 
198.45.242.0,198.45.242.31,isp,GY,AS7155 
198.45.242.32,198.45.242.63,isp,HN,AS7155 
198.45.242.64,198.45.242.95,isp,GT,AS7155 
198.45.242.96,198.45.242.127,isp,CO,AS7155 
198.45.242.128,198.45.242.255,isp,PE,AS7155 
198.45.243.0,198.45.243.31,isp,CO,AS7155 
198.45.243.32,198.45.255.255,isp,US,AS7155 
