198.166.1.0,198.166.1.255,education,CA 
198.166.143.144,198.166.143.167,isp,CA 
198.166.143.168,198.166.143.175,business,CA 
198.166.143.176,198.166.143.183,isp,CA 
198.166.143.184,198.166.143.191,business,CA 
198.166.143.192,198.166.188.15,isp,CA 
198.166.188.16,198.166.188.23,business,CA 
198.166.188.24,198.166.188.31,isp,CA 
198.166.188.32,198.166.188.55,business,CA 
198.166.188.56,198.166.188.71,isp,CA 
198.166.188.72,198.166.188.79,business,CA 
198.166.188.80,198.166.188.111,isp,CA 
198.166.188.112,198.166.188.143,business,CA 
198.166.188.144,198.166.188.167,isp,CA 
198.166.188.168,198.166.188.175,business,CA 
198.166.188.176,198.166.188.183,isp,CA 
198.166.188.184,198.166.188.191,business,CA 
198.166.188.192,198.166.188.199,isp,CA 
198.166.188.200,198.166.188.207,business,CA 
198.166.188.208,198.166.188.231,isp,CA 
198.166.188.232,198.166.188.239,business,CA 
198.166.188.240,198.166.189.7,isp,CA 
198.166.189.8,198.166.189.15,isp,US 
198.166.189.16,198.166.189.95,isp,CA 
198.166.189.96,198.166.189.103,isp,GB 
198.166.189.104,198.166.190.7,isp,CA 
198.166.190.8,198.166.190.31,business,CA 
198.166.190.32,198.166.190.47,isp,CA 
198.166.190.48,198.166.190.55,business,CA 
198.166.190.56,198.166.190.71,isp,CA 
198.166.190.72,198.166.190.79,business,CA 
198.166.190.80,198.166.190.95,isp,CA 
198.166.190.96,198.166.190.103,business,CA 
198.166.190.104,198.166.190.111,isp,CA 
198.166.190.112,198.166.190.119,business,CA 
198.166.190.120,198.166.190.151,isp,CA 
198.166.190.152,198.166.190.167,business,CA 
198.166.190.168,198.166.190.175,isp,CA 
198.166.190.176,198.166.190.183,business,CA 
198.166.190.184,198.166.190.199,isp,CA 
198.166.190.200,198.166.190.215,business,CA 
198.166.190.216,198.166.190.223,isp,CA 
198.166.190.224,198.166.190.239,business,CA 
198.166.190.240,198.166.190.247,isp,CA 
198.166.190.248,198.166.190.255,business,CA 
198.166.191.0,198.166.191.7,isp,CA 
198.166.191.8,198.166.191.15,business,CA 
198.166.191.16,198.166.191.31,isp,CA 
198.166.191.32,198.166.191.39,business,CA 
198.166.191.40,198.166.191.87,isp,CA 
198.166.191.88,198.166.191.95,business,CA 
198.166.191.96,198.166.191.103,isp,CA 
198.166.191.104,198.166.191.119,business,CA 
198.166.191.120,198.166.191.167,isp,CA 
198.166.191.168,198.166.191.175,business,CA 
198.166.191.176,198.166.191.207,isp,CA 
198.166.191.208,198.166.191.215,business,CA 
198.166.191.216,198.166.191.231,isp,CA 
198.166.191.232,198.166.191.239,business,CA 
198.166.191.240,198.166.211.255,isp,CA 
198.166.212.0,198.166.215.255,government,CA 
198.166.216.0,198.166.232.255,isp,CA 
198.166.233.0,198.166.233.255,business,CA 
198.166.234.0,198.166.255.255,isp,CA 
