198.244.0.0,198.244.9.255,education,US,AS18630 
198.244.10.0,198.244.11.255,business,AU, 
198.244.12.0,198.244.15.255,business,US, 
198.244.16.0,198.244.31.255,business,US,AS13990 
198.244.32.0,198.244.46.255,business,US, 
198.244.47.0,198.244.47.255,hosting,US,AS27029 
198.244.48.0,198.244.63.255,hosting,US,AS396479 
198.244.64.0,198.244.79.255,isp,PR, 
198.244.80.0,198.244.95.255,isp,US,AS54932 
198.244.96.0,198.244.111.255,isp,US,AS54858 
198.244.112.0,198.244.127.255,isp,US,AS32614 
198.244.128.0,198.244.134.255,hosting,GB,AS16276 
198.244.135.0,198.244.135.7,hosting,IT,AS16276 
198.244.135.8,198.244.135.111,hosting,GB,AS16276 
198.244.135.112,198.244.135.115,hosting,FR,AS16276 
198.244.135.116,198.244.136.63,hosting,GB,AS16276 
198.244.136.64,198.244.136.95,hosting,LT,AS16276 
198.244.136.96,198.244.136.127,hosting,IT,AS16276 
198.244.136.128,198.244.136.255,hosting,GB,AS16276 
198.244.137.0,198.244.137.127,hosting,FR,AS16276 
198.244.137.128,198.244.139.15,hosting,GB,AS16276 
198.244.139.16,198.244.139.19,education,GB,AS16276 
198.244.139.20,198.244.144.127,hosting,GB,AS16276 
198.244.144.128,198.244.144.143,hosting,NL,AS16276 
198.244.144.144,198.244.146.63,hosting,GB,AS16276 
198.244.146.64,198.244.146.95,business,GB,AS16276 
198.244.146.96,198.244.146.135,hosting,GB,AS16276 
198.244.146.136,198.244.146.143,business,GB,AS16276 
198.244.146.144,198.244.146.159,hosting,GB,AS16276 
198.244.146.160,198.244.146.183,business,GB,AS16276 
198.244.146.184,198.244.146.199,hosting,GB,AS16276 
198.244.146.200,198.244.146.207,business,GB,AS16276 
198.244.146.208,198.244.146.235,hosting,GB,AS16276 
198.244.146.236,198.244.146.255,business,GB,AS16276 
198.244.147.0,198.244.147.79,hosting,GB,AS16276 
198.244.147.80,198.244.147.83,hosting,IE,AS16276 
198.244.147.84,198.244.147.127,hosting,GB,AS16276 
198.244.147.128,198.244.147.135,hosting,NL,AS16276 
198.244.147.136,198.244.147.223,hosting,GB,AS16276 
198.244.147.224,198.244.147.227,hosting,LT,AS16276 
198.244.147.228,198.244.162.255,hosting,GB,AS16276 
198.244.163.0,198.244.163.255,business,GB,AS16276 
198.244.164.0,198.244.165.255,hosting,GB,AS16276 
198.244.166.0,198.244.166.255,business,GB,AS16276 
198.244.167.0,198.244.169.231,hosting,GB,AS16276 
198.244.169.232,198.244.169.235,hosting,FR,AS16276 
198.244.169.236,198.244.171.255,hosting,GB,AS16276 
198.244.172.0,198.244.172.255,business,GB,AS16276 
198.244.173.0,198.244.174.31,hosting,GB,AS16276 
198.244.174.32,198.244.174.63,hosting,FR,AS16276 
198.244.174.64,198.244.174.159,hosting,GB,AS16276 
198.244.174.160,198.244.174.191,hosting,ES,AS16276 
198.244.174.192,198.244.175.63,hosting,GB,AS16276 
198.244.175.64,198.244.175.95,business,NL,AS16276 
198.244.175.96,198.244.175.111,business,GB,AS16276 
198.244.175.112,198.244.175.127,business,FR,AS16276 
198.244.175.128,198.244.175.255,business,GB,AS16276 
198.244.176.0,198.244.180.99,hosting,GB,AS16276 
198.244.180.100,198.244.180.103,hosting,IT,AS16276 
198.244.180.104,198.244.182.223,hosting,GB,AS16276 
198.244.182.224,198.244.182.227,hosting,IT,AS16276 
198.244.182.228,198.244.186.255,hosting,GB,AS16276 
198.244.187.0,198.244.187.63,hosting,DE,AS16276 
198.244.187.64,198.244.187.127,hosting,GB,AS16276 
198.244.187.128,198.244.187.191,hosting,FR,AS16276 
198.244.187.192,198.244.187.207,hosting,GB,AS16276 
198.244.187.208,198.244.187.215,hosting,DE,AS16276 
198.244.187.216,198.244.191.255,hosting,GB,AS16276 
198.244.192.0,198.244.192.255,hosting,FR,AS16276 
198.244.193.0,198.244.193.103,hosting,GB,AS16276 
198.244.193.104,198.244.193.107,hosting,BE,AS16276 
198.244.193.108,198.244.193.127,hosting,GB,AS16276 
198.244.193.128,198.244.193.143,hosting,FR,AS16276 
198.244.193.144,198.244.195.7,hosting,GB,AS16276 
198.244.195.8,198.244.195.11,business,GB,AS16276 
198.244.195.12,198.244.195.35,hosting,GB,AS16276 
198.244.195.36,198.244.195.39,business,GB,AS16276 
198.244.195.40,198.244.195.47,hosting,GB,AS16276 
198.244.195.48,198.244.195.63,business,GB,AS16276 
198.244.195.64,198.244.195.71,hosting,GB,AS16276 
198.244.195.72,198.244.195.75,business,GB,AS16276 
198.244.195.76,198.244.195.95,hosting,GB,AS16276 
198.244.195.96,198.244.195.127,business,FR,AS16276 
198.244.195.128,198.244.195.207,business,GB,AS16276 
198.244.195.208,198.244.195.215,hosting,GB,AS16276 
198.244.195.216,198.244.195.223,business,GB,AS16276 
