198.183.0.0,198.183.1.255,business,US,AS15108 
198.183.2.0,198.183.2.255,business,US, 
198.183.3.0,198.183.7.255,business,US,AS15108 
198.183.8.0,198.183.15.255,isp,US,AS6079 
198.183.16.0,198.183.133.255,business,US, 
198.183.134.0,198.183.134.255,isp,US,AS174 
198.183.135.0,198.183.136.255,isp,US, 
198.183.137.0,198.183.138.255,isp,US,AS174 
198.183.139.0,198.183.139.255,education,US, 
198.183.140.0,198.183.143.255,business,US,AS26585 
198.183.144.0,198.183.145.255,business,US, 
198.183.146.0,198.183.147.255,business,US,AS3549 
198.183.148.0,198.183.151.255,business,US, 
198.183.152.0,198.183.153.255,education,US, 
198.183.154.0,198.183.155.255,business,US, 
198.183.156.0,198.183.156.255,education,US, 
198.183.157.0,198.183.158.255,business,US,AS7018 
198.183.159.0,198.183.163.255,business,US, 
198.183.164.0,198.183.167.255,hosting,US,AS13702 
198.183.168.0,198.183.168.255,business,US,AS4473 
198.183.169.0,198.183.169.255,education,US,AS46932 
198.183.170.0,198.183.170.255,hosting,US,AS62 
198.183.171.0,198.183.171.255,business,US, 
198.183.172.0,198.183.172.255,isp,US,AS19201 
198.183.173.0,198.183.174.255,business,US, 
198.183.175.0,198.183.177.255,education,US, 
198.183.178.0,198.183.179.255,business,US,AS32958 
198.183.180.0,198.183.183.255,business,US, 
198.183.184.0,198.183.188.255,business,US,AS53426 
198.183.189.0,198.183.196.255,business,US, 
198.183.197.0,198.183.198.255,government,US,AS12253 
198.183.199.0,198.183.199.255,business,US, 
198.183.200.0,198.183.202.255,business,US,AS3292 
198.183.203.0,198.183.203.255,business,US,AS27383 
198.183.204.0,198.183.205.255,business,US, 
198.183.206.0,198.183.206.255,isp,US,AS6950 
198.183.207.0,198.183.207.255,business,US,AS6950 
198.183.208.0,198.183.209.255,isp,US,AS6950 
198.183.210.0,198.183.215.255,business,US, 
198.183.216.0,198.183.216.255,education,US, 
198.183.217.0,198.183.218.255,business,US, 
198.183.219.0,198.183.219.255,business,US,AS54969 
198.183.220.0,198.183.223.255,hosting,US,AS11230 
198.183.224.0,198.183.224.255,business,US, 
198.183.225.0,198.183.225.255,business,CA, 
198.183.226.0,198.183.226.255,hosting,US,AS16509 
198.183.227.0,198.183.227.255,education,US,AS27304 
198.183.228.0,198.183.237.255,isp,US, 
198.183.238.0,198.183.240.255,business,US, 
198.183.241.0,198.183.241.255,government,US,AS62924 
198.183.242.0,198.183.247.255,business,US, 
198.183.248.0,198.183.249.255,education,US,AS395421 
198.183.250.0,198.183.250.255,business,US, 
198.183.251.0,198.183.251.255,hosting,US,AS14618 
198.183.252.0,198.183.253.255,education,US,AS397605 
198.183.254.0,198.183.254.255,business,US, 
198.183.255.0,198.183.255.255,business,US,AS36709 
