198.206.8.0,198.206.15.255,hosting,US 
198.206.16.0,198.206.31.255,education,US 
198.206.32.0,198.206.63.255,business,US 
198.206.64.0,198.206.127.255,isp,US 
198.206.128.0,198.206.131.255,business,US 
198.206.132.0,198.206.132.15,hosting,US 
198.206.132.16,198.206.132.23,hosting,JO 
198.206.132.24,198.206.132.31,hosting,US 
198.206.132.32,198.206.132.39,hosting,JO 
198.206.132.40,198.206.132.63,hosting,US 
198.206.132.64,198.206.132.127,hosting,UY 
198.206.132.128,198.206.132.191,hosting,PE 
198.206.132.192,198.206.132.223,hosting,US 
198.206.132.224,198.206.132.255,hosting, 
198.206.133.0,198.206.135.255,hosting,US 
198.206.136.0,198.206.138.255,business,US 
198.206.139.0,198.206.139.255,business,ES 
198.206.140.0,198.206.157.255,business,US 
198.206.158.0,198.206.159.255,business,CA 
198.206.160.0,198.206.160.255,isp,US 
198.206.161.0,198.206.161.255,business,US 
198.206.162.0,198.206.162.255,isp,US 
198.206.163.0,198.206.163.255,business,US 
198.206.164.0,198.206.164.255,hosting,US 
198.206.165.0,198.206.166.255,business,US 
198.206.167.0,198.206.167.255,education,US 
198.206.168.0,198.206.179.255,business,US 
198.206.180.0,198.206.180.255,education,US 
198.206.181.0,198.206.187.255,business,US 
198.206.188.0,198.206.188.255,isp,US 
198.206.189.0,198.206.190.255,business,US 
198.206.191.0,198.206.191.255,education,US 
198.206.192.0,198.206.192.255,isp,US 
198.206.193.0,198.206.196.255,business,US 
198.206.197.0,198.206.197.255,business,CH 
198.206.198.0,198.206.199.255,business,US 
198.206.200.0,198.206.202.255,business,CH 
198.206.203.0,198.206.204.255,business,US 
198.206.205.0,198.206.208.255,education,US 
198.206.209.0,198.206.218.255,business,US 
198.206.219.0,198.206.224.255,education,US 
198.206.225.0,198.206.236.255,business,US 
198.206.237.0,198.206.238.255,government,US 
198.206.239.0,198.206.243.255,education,US 
198.206.244.0,198.206.244.255,business,US 
198.206.245.0,198.206.245.255,business,CA 
198.206.246.0,198.206.247.255,business,US 
198.206.248.0,198.206.248.255,hosting,US 
198.206.249.0,198.206.249.7,business,US 
198.206.249.8,198.206.249.55,hosting,US 
198.206.249.56,198.206.249.71,business,US 
198.206.249.72,198.206.249.79,hosting,US 
198.206.249.80,198.206.249.87,business,US 
198.206.249.88,198.206.249.95,hosting,US 
198.206.249.96,198.206.249.103,business,US 
198.206.249.104,198.206.249.175,hosting,US 
198.206.249.176,198.206.249.183,business,US 
198.206.249.184,198.206.249.247,hosting,US 
198.206.249.248,198.206.249.255,education,US 
198.206.250.0,198.206.250.255,hosting,US 
198.206.251.0,198.206.251.23,business,US 
198.206.251.24,198.206.251.79,hosting,US 
198.206.251.80,198.206.251.87,business,US 
198.206.251.88,198.206.251.255,hosting,US 
198.206.252.0,198.206.254.255,business,US 
198.206.255.0,198.206.255.255,education,US 
