198.240.0.0,198.240.31.255,business,US, 
198.240.32.0,198.240.63.255,isp,US, 
198.240.64.0,198.240.127.255,hosting,US,AS203999 
198.240.128.0,198.240.128.255,hosting,GB,AS3096 
198.240.129.0,198.240.129.255,hosting,GB,AS8729 
198.240.130.0,198.240.130.255,hosting,US,AS3412 
198.240.131.0,198.240.131.255,business,HK,AS3095 
198.240.132.0,198.240.132.255,business,CH,AS8729 
198.240.133.0,198.240.133.255,business,SG,AS4410 
198.240.134.0,198.240.134.255,business,CH,AS8729 
198.240.135.0,198.240.136.255,business,SG,AS4410 
198.240.137.0,198.240.138.255,business,CH,AS8729 
198.240.139.0,198.240.140.255,business,GB,AS3096 
198.240.141.0,198.240.141.255,hosting,JP,AS3084 
198.240.142.0,198.240.142.255,business,CH,AS8729 
198.240.143.0,198.240.143.255,business,HK,AS3095 
198.240.144.0,198.240.144.255,business,SG,AS4410 
198.240.145.0,198.240.145.255,business,CH,AS8729 
198.240.146.0,198.240.146.255,business,AU, 
198.240.147.0,198.240.150.255,business,CH,AS8729 
198.240.151.0,198.240.151.255,business,US,AS3412 
198.240.152.0,198.240.169.255,business,CH,AS8729 
198.240.170.0,198.240.170.255,business,HK, 
198.240.171.0,198.240.177.255,business,CH,AS8729 
198.240.178.0,198.240.178.255,business,SG, 
198.240.179.0,198.240.201.255,business,CH,AS8729 
198.240.202.0,198.240.202.255,business,CH, 
198.240.203.0,198.240.211.255,business,CH,AS8729 
198.240.212.0,198.240.215.255,hosting,CH,AS8729 
198.240.216.0,198.240.255.255,business,CH,AS8729 
