198.103.0.0,198.103.95.255,business,CA,AS2675 
198.103.96.0,198.103.96.255,hosting,CA,AS2675 
198.103.97.0,198.103.107.255,business,CA,AS2675 
198.103.108.0,198.103.108.255,hosting,CA,AS2675 
198.103.109.0,198.103.109.255,business,CA,AS2675 
198.103.110.0,198.103.110.255,hosting,CA,AS2675 
198.103.111.0,198.103.133.255,business,CA,AS2675 
198.103.134.0,198.103.135.255,hosting,CA,AS2675 
198.103.136.0,198.103.136.255,business,CA,AS2675 
198.103.137.0,198.103.137.255,hosting,CA,AS2675 
198.103.138.0,198.103.144.255,business,CA,AS2675 
198.103.145.0,198.103.145.255,hosting,CA,AS2675 
198.103.146.0,198.103.255.255,business,CA,AS2675 
