198.182.0.0,198.182.7.255,business,US, 
198.182.8.0,198.182.15.255,business,US,AS393954 
198.182.16.0,198.182.31.255,government,US,AS270 
198.182.32.0,198.182.63.255,hosting,US,AS10209 
198.182.64.0,198.182.127.255,isp,US,AS22772 
198.182.128.0,198.182.129.255,isp,US, 
198.182.130.0,198.182.134.255,business,US,AS33745 
198.182.135.0,198.182.136.255,isp,US, 
198.182.137.0,198.182.137.255,business,US, 
198.182.138.0,198.182.138.255,isp,US, 
198.182.139.0,198.182.139.255,business,US, 
198.182.140.0,198.182.140.255,business,US,AS3446 
198.182.141.0,198.182.151.255,business,US, 
198.182.152.0,198.182.156.255,business,US,AS30000 
198.182.157.0,198.182.157.255,education,US,AS40722 
198.182.158.0,198.182.158.255,business,US, 
198.182.159.0,198.182.159.255,government,US,AS26439 
198.182.160.0,198.182.160.255,business,US, 
198.182.161.0,198.182.163.255,business,US,AS557 
198.182.164.0,198.182.165.255,business,US, 
198.182.166.0,198.182.166.255,education,US, 
198.182.167.0,198.182.167.255,hosting,US,AS42 
198.182.168.0,198.182.169.255,business,US, 
198.182.170.0,198.182.170.255,hosting,BM,AS23021 
198.182.171.0,198.182.174.255,business,US, 
198.182.175.0,198.182.175.255,hosting,US,AS32748 
198.182.176.0,198.182.179.255,business,US,AS36180 
198.182.180.0,198.182.181.255,hosting,US,AS54509 
198.182.182.0,198.182.182.255,business,US, 
198.182.183.0,198.182.183.255,education,US, 
198.182.184.0,198.182.190.255,business,US, 
198.182.191.0,198.182.194.255,business,US,AS22891 
198.182.195.0,198.182.195.255,business,US, 
198.182.196.0,198.182.196.255,isp,US, 
198.182.197.0,198.182.198.255,business,US, 
198.182.199.0,198.182.199.255,business,US,AS243 
198.182.200.0,198.182.204.255,business,US, 
198.182.205.0,198.182.205.255,education,US,AS30564 
198.182.206.0,198.182.206.255,business,US, 
198.182.207.0,198.182.208.255,hosting,US,AS13831 
198.182.209.0,198.182.213.255,business,US, 
198.182.214.0,198.182.215.255,business,CA,AS15290 
198.182.220.0,198.182.224.255,business,US, 
198.182.225.0,198.182.225.255,business,US,AS6140 
198.182.226.0,198.182.228.255,business,US, 
198.182.229.0,198.182.229.255,business,US,AS3356 
198.182.230.0,198.182.230.255,business,US,AS2687 
198.182.231.0,198.182.231.255,hosting,US,AS51758 
198.182.232.0,198.182.235.255,business,US, 
198.182.236.0,198.182.236.255,isp,US, 
198.182.237.0,198.182.238.255,business,US, 
198.182.239.0,198.182.239.255,education,US, 
198.182.240.0,198.182.243.255,education,US,AS15116 
198.182.244.0,198.182.244.255,education,US, 
198.182.245.0,198.182.245.255,business,US, 
198.182.246.0,198.182.246.255,hosting,US,AS55154 
198.182.247.0,198.182.247.255,business,US,AS6128 
198.182.248.0,198.182.250.255,business,US, 
198.182.251.0,198.182.252.255,education,US, 
198.182.253.0,198.182.253.255,business,US, 
198.182.254.0,198.182.255.255,isp,CA,AS396917 
