198.109.89.64,198.109.89.95,business,US 
198.109.89.96,198.109.105.255,education,US 
198.109.106.0,198.109.107.255,business,US 
198.109.108.0,198.109.139.255,education,US 
198.109.140.0,198.109.140.255,business,US 
198.109.141.0,198.109.141.63,education,US 
198.109.141.64,198.109.141.79,business,US 
198.109.141.80,198.109.171.255,education,US 
198.109.172.0,198.109.173.255,business,US 
198.109.174.0,198.109.194.255,education,US 
198.109.195.0,198.109.195.63,business,US 
198.109.195.64,198.109.211.255,education,US 
198.109.212.0,198.109.215.255,business,US 
198.109.216.0,198.110.85.15,education,US 
