198.174.0.0,198.174.0.255,education,US,AS33455 
198.174.1.0,198.174.2.31,hosting,US,AS5006 
198.174.2.32,198.174.2.63,business,US,AS5006 
198.174.2.64,198.174.35.255,hosting,US,AS5006 
198.174.36.0,198.174.37.255,isp,US,AS32264 
198.174.38.0,198.174.38.255,hosting,US,AS5006 
198.174.39.0,198.174.39.255,isp,US,AS5006 
198.174.40.0,198.174.56.255,hosting,US,AS5006 
198.174.57.0,198.174.57.255,isp,US,AS1347 
198.174.58.0,198.174.61.63,hosting,US,AS5006 
198.174.61.64,198.174.61.71,business,US,AS5006 
198.174.61.72,198.174.61.79,hosting,US,AS5006 
198.174.61.80,198.174.61.95,business,US,AS5006 
198.174.61.96,198.174.62.71,hosting,US,AS5006 
198.174.62.72,198.174.62.79,business,US,AS5006 
198.174.62.80,198.174.99.7,hosting,US,AS5006 
198.174.99.8,198.174.99.15,business,US,AS5006 
198.174.99.16,198.174.99.23,hosting,US,AS5006 
198.174.99.24,198.174.99.31,business,US,AS5006 
198.174.99.32,198.174.101.255,hosting,US,AS5006 
198.174.102.0,198.174.102.255,business,US,AS5006 
198.174.103.0,198.174.107.255,hosting,US,AS5006 
198.174.108.0,198.174.111.255,business,US,AS5006 
198.174.112.0,198.174.112.255,hosting,US,AS5006 
198.174.113.0,198.174.113.255,business,US,AS5006 
198.174.114.0,198.174.170.255,hosting,US,AS5006 
198.174.171.0,198.174.171.255,business,US,AS5006 
198.174.172.0,198.174.202.255,hosting,US,AS5006 
198.174.203.0,198.174.203.255,isp,US,AS5006 
198.174.204.0,198.174.211.255,hosting,US,AS5006 
198.174.212.0,198.174.215.255,isp,US,AS33362 
198.174.216.0,198.174.255.255,hosting,US,AS5006 
