109.188.0.0,109.188.63.255,business,RU,AS47395 
109.188.64.0,109.188.71.255,isp,RU,AS25159 
109.188.72.0,109.188.103.255,business,RU,AS25159 
109.188.104.0,109.188.111.255,isp,RU,AS31133 
109.188.112.0,109.188.114.255,business,RU,AS25159 
109.188.115.0,109.188.119.255,isp,RU,AS31133 
109.188.120.0,109.188.120.255,business,RU,AS47395 
109.188.121.0,109.188.121.255,isp,RU,AS47395 
109.188.122.0,109.188.122.255,business,RU,AS47395 
109.188.123.0,109.188.123.255,isp,RU,AS31133 
109.188.124.0,109.188.127.255,isp,RU,AS47395 
109.188.128.0,109.188.135.255,business,RU,AS31213 
109.188.136.0,109.188.136.255,isp,RU,AS31213 
109.188.137.0,109.188.137.255,isp,RU,AS31133 
109.188.138.0,109.188.159.255,business,RU,AS31213 
109.188.160.0,109.188.191.255,isp,RU,AS31213 
109.188.192.0,109.188.255.255,isp,RU,AS31133 
