109.230.0.0,109.230.63.255,isp,SK,AS15962 
109.230.64.0,109.230.71.255,isp,IR,AS206065 
109.230.72.0,109.230.79.255,hosting,IR,AS24631 
109.230.80.0,109.230.95.255,isp,IR,AS206065 
109.230.96.0,109.230.111.255,isp,DE,AS15943 
109.230.112.0,109.230.115.255,isp,IQ,AS57324 
109.230.116.0,109.230.123.255,isp,IQ,AS212330 
109.230.124.0,109.230.127.255,business,IQ,AS20940 
109.230.128.0,109.230.191.255,isp,RU,AS44882 
109.230.192.0,109.230.193.255,business,IR, 
109.230.194.0,109.230.194.255,hosting,ES,AS201942 
109.230.195.0,109.230.195.255,hosting,DE,AS197071 
109.230.196.0,109.230.196.255,hosting,TR,AS209711 
109.230.197.0,109.230.197.255,hosting,DE,AS199610 
109.230.198.0,109.230.198.255,hosting,DE,AS197071 
109.230.199.0,109.230.199.255,hosting,SE,AS42708 
109.230.200.0,109.230.200.255,isp,IR,AS16322 
109.230.201.0,109.230.202.255,isp,DE,AS9063 
109.230.203.0,109.230.203.255,isp,GB,AS25369 
109.230.204.0,109.230.207.255,isp,IR,AS16322 
109.230.208.0,109.230.208.255,hosting,US,AS199610 
109.230.209.0,109.230.209.255,isp,GB,AS25369 
109.230.210.0,109.230.210.255,business,AT, 
109.230.211.0,109.230.211.255,hosting,DE,AS199610 
109.230.212.0,109.230.212.255,isp,IT,AS56550 
109.230.213.0,109.230.213.255,business,DE,AS44592 
109.230.214.0,109.230.214.255,hosting,US,AS199610 
109.230.215.0,109.230.215.255,isp,GB,AS25369 
109.230.216.0,109.230.217.255,isp,ES,AS200738 
109.230.218.0,109.230.218.255,isp,GB,AS25369 
109.230.219.0,109.230.219.255,hosting,DE,AS48314 
109.230.220.0,109.230.220.255,isp,GB,AS25369 
109.230.221.0,109.230.221.255,hosting,IR,AS60976 
109.230.222.0,109.230.222.255,isp,ES, 
109.230.223.0,109.230.223.255,hosting,IR,AS60976 
109.230.224.0,109.230.225.207,hosting,DE,AS197071 
109.230.225.208,109.230.225.211,isp,DE,AS197071 
109.230.225.212,109.230.225.255,hosting,DE,AS197071 
109.230.226.0,109.230.226.3,isp,DE,AS197071 
109.230.226.4,109.230.226.31,hosting,DE,AS197071 
109.230.226.32,109.230.226.47,isp,DE,AS197071 
109.230.226.48,109.230.226.63,hosting,DE,AS197071 
109.230.226.64,109.230.226.71,isp,DE,AS197071 
109.230.226.72,109.230.227.47,hosting,DE,AS197071 
109.230.227.48,109.230.227.63,isp,DE,AS197071 
109.230.227.64,109.230.233.127,hosting,DE,AS197071 
109.230.233.128,109.230.233.159,isp,DE,AS197071 
109.230.233.160,109.230.233.255,hosting,DE,AS197071 
109.230.234.0,109.230.234.255,business,DE,AS197071 
109.230.235.0,109.230.235.7,hosting,DE,AS197071 
109.230.235.8,109.230.235.15,isp,DE,AS197071 
109.230.235.16,109.230.235.191,hosting,DE,AS197071 
109.230.235.192,109.230.235.255,isp,DE,AS197071 
109.230.236.0,109.230.236.255,hosting,DE,AS197071 
109.230.237.0,109.230.237.255,business,DE,AS197071 
109.230.238.0,109.230.238.255,hosting,DE,AS30823 
109.230.239.0,109.230.239.255,hosting,DE,AS197071 
109.230.240.0,109.230.241.255,business,SG,AS199610 
109.230.242.0,109.230.242.255,hosting,IR,AS60976 
109.230.243.0,109.230.243.255,hosting,US,AS199610 
109.230.244.0,109.230.245.255,hosting,DE,AS5539 
109.230.246.0,109.230.247.255,business,IR, 
109.230.248.0,109.230.249.255,hosting,AU,AS199610 
109.230.250.0,109.230.250.255,business,ES,AS201942 
109.230.251.0,109.230.251.255,hosting,IR,AS60976 
109.230.252.0,109.230.252.127,hosting,DE,AS197071 
109.230.252.128,109.230.252.255,business,DE,AS197071 
109.230.253.0,109.230.253.7,isp,DE,AS197071 
109.230.253.8,109.230.253.55,hosting,DE,AS197071 
109.230.253.56,109.230.253.63,isp,DE,AS197071 
109.230.253.64,109.230.255.255,hosting,DE,AS197071 
