109.127.0.0,109.127.63.255,isp,AZ 
109.127.64.0,109.127.85.207,isp,IQ 
109.127.85.208,109.127.85.223,education,IQ 
109.127.85.224,109.127.127.255,isp,IQ 
109.127.128.0,109.127.159.255,isp,RU 
109.127.160.0,109.127.175.255,business,RU 
109.127.176.0,109.127.191.255,isp,RU 
109.127.192.0,109.127.192.127,education,SI 
109.127.192.128,109.127.192.191,business,SI 
109.127.192.192,109.127.193.159,education,SI 
109.127.193.160,109.127.193.255,business,SI 
109.127.194.0,109.127.194.63,education,SI 
109.127.194.64,109.127.194.127,business,SI 
109.127.194.128,109.127.194.255,education,SI 
109.127.195.0,109.127.195.31,business,SI 
109.127.195.32,109.127.197.127,education,SI 
109.127.197.128,109.127.197.159,business,SI 
109.127.197.160,109.127.198.63,education,SI 
109.127.198.64,109.127.198.127,business,SI 
109.127.198.128,109.127.199.255,education,SI 
109.127.200.0,109.127.200.255,business,SI 
109.127.201.0,109.127.201.127,education,SI 
109.127.201.128,109.127.201.255,business,SI 
109.127.202.0,109.127.202.191,education,SI 
109.127.202.192,109.127.202.255,business,SI 
109.127.203.0,109.127.203.127,education,SI 
109.127.203.128,109.127.204.127,business,SI 
109.127.204.128,109.127.205.159,education,SI 
109.127.205.160,109.127.205.191,business,SI 
109.127.205.192,109.127.207.255,education,SI 
109.127.208.0,109.127.208.255,business,SI 
109.127.209.0,109.127.209.191,education,SI 
109.127.209.192,109.127.210.63,business,SI 
109.127.210.64,109.127.210.255,education,SI 
109.127.211.0,109.127.211.255,business,SI 
109.127.212.0,109.127.212.127,education,SI 
109.127.212.128,109.127.212.255,business,SI 
109.127.213.0,109.127.213.255,education,SI 
109.127.214.0,109.127.214.31,business,SI 
109.127.214.32,109.127.215.255,education,SI 
109.127.216.0,109.127.220.255,business,SI 
109.127.221.0,109.127.221.255,education,SI 
109.127.222.0,109.127.222.255,business,SI 
109.127.223.0,109.127.223.255,education,SI 
109.127.224.0,109.127.245.63,business,SI 
109.127.245.64,109.127.245.159,education,SI 
109.127.245.160,109.127.245.255,business,SI 
109.127.246.0,109.127.246.63,education,SI 
109.127.246.64,109.127.246.79,business,SI 
109.127.246.80,109.127.246.95,education,SI 
109.127.246.96,109.127.246.127,business,SI 
109.127.246.128,109.127.247.95,education,SI 
109.127.247.96,109.127.247.127,business,SI 
109.127.247.128,109.127.247.191,education,SI 
109.127.247.192,109.127.247.223,business,SI 
109.127.247.224,109.127.255.255,education,SI 
