109.166.0.0,109.166.31.255,isp,SA,AS25019 
109.166.32.0,109.166.35.255,hosting,JP,AS56940 
109.166.36.0,109.166.38.255,business,JP,AS212238 
109.166.39.0,109.166.39.255,business,US,AS32875 
109.166.40.0,109.166.55.255,business,US,AS3561 
109.166.56.0,109.166.87.255,isp,KZ,AS21299 
109.166.88.0,109.166.127.255,isp,SA,AS25019 
109.166.128.0,109.166.149.31,isp,RO,AS8953 
109.166.149.32,109.166.149.39,business,RO,AS8953 
109.166.149.40,109.166.149.63,isp,RO,AS8953 
109.166.149.64,109.166.149.71,business,RO,AS8953 
109.166.149.72,109.166.149.215,isp,RO,AS8953 
109.166.149.216,109.166.149.223,business,RO,AS8953 
109.166.149.224,109.166.149.255,isp,RO,AS8953 
109.166.150.0,109.166.150.7,business,RO,AS8953 
109.166.150.8,109.166.150.23,isp,RO,AS8953 
109.166.150.24,109.166.150.31,business,RO,AS8953 
109.166.150.32,109.166.150.95,isp,RO,AS8953 
109.166.150.96,109.166.150.103,business,RO,AS8953 
109.166.150.104,109.166.150.207,isp,RO,AS8953 
109.166.150.208,109.166.150.215,business,RO,AS8953 
109.166.150.216,109.166.151.135,isp,RO,AS8953 
109.166.151.136,109.166.151.143,business,RO,AS8953 
109.166.151.144,109.166.151.255,isp,RO,AS8953 
109.166.152.0,109.166.152.31,business,RO,AS8953 
109.166.152.32,109.166.152.63,isp,RO,AS8953 
109.166.152.64,109.166.152.79,business,RO,AS8953 
109.166.152.80,109.166.152.87,isp,RO,AS8953 
109.166.152.88,109.166.152.95,business,RO,AS8953 
109.166.152.96,109.166.152.111,isp,RO,AS8953 
109.166.152.112,109.166.152.135,business,RO,AS8953 
109.166.152.136,109.166.152.151,isp,RO,AS8953 
109.166.152.152,109.166.152.175,business,RO,AS8953 
109.166.152.176,109.166.152.183,education,RO,AS8953 
109.166.152.184,109.166.152.191,isp,RO,AS8953 
109.166.152.192,109.166.153.119,business,RO,AS8953 
109.166.153.120,109.166.153.127,isp,RO,AS8953 
109.166.153.128,109.166.153.143,business,RO,AS8953 
