109.202.0.0,109.202.7.255,hosting,RU,AS25549 
109.202.8.0,109.202.11.255,hosting,RU,AS8711 
109.202.12.0,109.202.31.255,hosting,RU,AS25549 
109.202.32.0,109.202.63.255,isp,RU,AS39812 
109.202.64.0,109.202.95.255,isp,CZ,AS50698 
109.202.96.0,109.202.97.255,isp,NL,AS57172 
109.202.98.0,109.202.104.255,hosting,NL,AS49453 
109.202.105.0,109.202.105.255,business,CY,AS58181 
109.202.106.0,109.202.109.255,hosting,NL,AS49453 
109.202.110.0,109.202.110.127,hosting,BE,AS49453 
109.202.110.128,109.202.110.255,hosting,NL,AS49453 
109.202.111.0,109.202.111.127,hosting,LT,AS49453 
109.202.111.128,109.202.111.255,hosting,NL,AS49453 
109.202.112.0,109.202.112.87,hosting,GI,AS14537 
109.202.112.88,109.202.112.111,hosting,US,AS14537 
109.202.112.112,109.202.112.175,hosting,GI,AS14537 
109.202.112.176,109.202.112.183,hosting,MT,AS14537 
109.202.112.184,109.202.113.23,hosting,GI,AS14537 
109.202.113.24,109.202.113.31,hosting,SE,AS14537 
109.202.113.32,109.202.113.255,hosting,GI,AS14537 
109.202.114.0,109.202.114.31,hosting,IM,AS14537 
109.202.114.32,109.202.114.47,hosting,GB,AS14537 
109.202.114.48,109.202.114.55,hosting,IM,AS14537 
109.202.114.56,109.202.114.63,hosting,GB,AS14537 
109.202.114.64,109.202.114.95,hosting,IM,AS14537 
109.202.114.96,109.202.114.111,hosting,GB,AS14537 
109.202.114.112,109.202.114.255,hosting,IM,AS14537 
109.202.115.0,109.202.115.255,hosting,IE,AS14537 
109.202.116.0,109.202.117.255,hosting,FR,AS14537 
109.202.118.0,109.202.118.63,hosting,IE,AS14537 
109.202.118.64,109.202.118.79,hosting,CY,AS14537 
109.202.118.80,109.202.118.95,hosting,IE,AS14537 
109.202.118.96,109.202.118.111,hosting,CY,AS14537 
109.202.118.112,109.202.118.255,hosting,IE,AS14537 
109.202.119.0,109.202.119.15,hosting,GB,AS14537 
109.202.119.16,109.202.119.23,hosting,GI,AS14537 
109.202.119.24,109.202.119.27,hosting,GB,AS14537 
109.202.119.28,109.202.119.55,hosting,GI,AS14537 
109.202.119.56,109.202.119.63,business,GI,AS14537 
109.202.119.64,109.202.119.111,hosting,GI,AS14537 
109.202.119.112,109.202.119.119,business,SE,AS14537 
109.202.119.120,109.202.119.127,hosting,GI,AS14537 
109.202.119.128,109.202.119.255,business,GI,AS14537 
109.202.120.0,109.202.123.255,hosting,SI,AS198213 
109.202.124.0,109.202.124.255,business,SI, 
109.202.125.0,109.202.125.255,hosting,SI,AS198213 
109.202.126.0,109.202.126.255,business,SI, 
109.202.127.0,109.202.127.255,hosting,SI,AS198213 
109.202.128.0,109.202.135.255,business,DK,AS28717 
109.202.136.0,109.202.137.191,hosting,DK,AS28717 
109.202.137.192,109.202.137.255,business,DK,AS28717 
109.202.138.0,109.202.139.47,hosting,DK,AS28717 
109.202.139.48,109.202.139.63,business,DK,AS28717 
109.202.139.64,109.202.139.191,hosting,DK,AS28717 
109.202.139.192,109.202.139.207,business,DK,AS28717 
109.202.139.208,109.202.140.255,hosting,DK,AS28717 
109.202.141.0,109.202.141.255,business,DK,AS28717 
109.202.142.0,109.202.143.255,hosting,DK,AS28717 
109.202.144.0,109.202.144.255,business,DK,AS28717 
109.202.145.0,109.202.146.255,hosting,DK,AS28717 
109.202.147.0,109.202.147.191,business,DK,AS28717 
109.202.147.192,109.202.150.255,hosting,DK,AS28717 
109.202.151.0,109.202.151.255,business,DK,AS28717 
109.202.152.0,109.202.153.255,hosting,DK,AS28717 
109.202.154.0,109.202.155.255,business,DK,AS28717 
109.202.156.0,109.202.158.255,hosting,DK,AS28717 
109.202.159.0,109.202.159.255,business,DK,AS28717 
109.202.160.0,109.202.191.255,isp,RU,AS25096 
109.202.192.0,109.202.192.127,hosting,CH,AS13030 
109.202.192.128,109.202.192.175,business,CH,AS13030 
109.202.192.176,109.202.193.111,hosting,CH,AS13030 
109.202.193.112,109.202.193.127,business,CH,AS13030 
109.202.193.128,109.202.194.7,hosting,CH,AS13030 
109.202.194.8,109.202.194.23,business,CH,AS13030 
109.202.194.24,109.202.194.31,hosting,CH,AS13030 
109.202.194.32,109.202.194.47,business,CH,AS13030 
109.202.194.48,109.202.194.63,hosting,CH,AS13030 
109.202.194.64,109.202.194.71,business,CH,AS13030 
109.202.194.72,109.202.195.79,hosting,CH,AS13030 
109.202.195.80,109.202.195.87,isp,CH,AS13030 
109.202.195.88,109.202.195.95,hosting,CH,AS13030 
109.202.195.96,109.202.195.127,isp,CH,AS13030 
109.202.195.128,109.202.199.119,hosting,CH,AS13030 
109.202.199.120,109.202.199.127,business,CH,AS13030 
109.202.199.128,109.202.199.199,hosting,CH,AS13030 
109.202.199.200,109.202.199.207,business,CH,AS13030 
109.202.199.208,109.202.223.255,hosting,CH,AS13030 
109.202.224.0,109.202.226.191,business,GB,AS42689 
109.202.226.192,109.202.226.255,isp,GB,AS42689 
109.202.227.0,109.202.247.111,business,GB,AS42689 
109.202.247.112,109.202.247.127,isp,GB,AS42689 
109.202.247.128,109.202.247.247,business,GB,AS42689 
109.202.247.248,109.202.247.255,isp,GB,AS42689 
109.202.248.0,109.202.248.103,business,GB,AS42689 
109.202.248.104,109.202.248.127,isp,GB,AS42689 
109.202.248.128,109.202.255.255,business,GB,AS42689 
